issue_id,title,ground_truth,prediction,raw_response,prompt_hash,model_version,temperature,timestamp_utc,project,input_mode,task,strategy
ISSUE-253177,Inconsistent output between java driver and mongo shell,0,1,Yes,3eb2176635a6cd06,mistral:7b,0,2026-06-17T20:52:11.400167,project_05,title_only,ambiguity,few_shot
ISSUE-253467,size not accepting $numberlong argument,0,1,Yes,8a5d9719ff42abce,mistral:7b,0,2026-06-17T20:52:11.880888,project_05,title_only,ambiguity,few_shot
ISSUE-253452,MongoCollection.insertOne throws NullPointerException with WriteConcern.UNACKNOWLEDGED & retryWrites=true,0,0,No,6da1f8b1ff1d3545,mistral:7b,0,2026-06-17T20:52:12.387915,project_05,title_only,ambiguity,few_shot
ISSUE-253505,Add an option to toggle SSL certificate validation,0,1,Yes,566e1c30ca8d853f,mistral:7b,0,2026-06-17T20:52:12.913792,project_05,title_only,ambiguity,few_shot
ISSUE-255080,JSON parser parses braces incorrectly,1,1,Yes,e7379c00d4858f46,mistral:7b,0,2026-06-17T20:52:13.397263,project_05,title_only,ambiguity,few_shot
ISSUE-255534,Looking for performance tips loading results from a find() with the java driver.,0,1,Yes,8e121f20a229f97f,mistral:7b,0,2026-06-17T20:52:13.885932,project_05,title_only,ambiguity,few_shot
ISSUE-255332,Binary field $type is represented in JSON as a number instead of a two-byte hex string,0,1,Yes,2f9700c3a10e8e44,mistral:7b,0,2026-06-17T20:52:14.385766,project_05,title_only,ambiguity,few_shot
ISSUE-254781,Iterable Codec,1,1,Yes,4c4f89546f9fa28c,mistral:7b,0,2026-06-17T20:52:14.884717,project_05,title_only,ambiguity,few_shot
ISSUE-254021,NettyStream does not handle clean socket closures from the server,0,1,Yes,3881a93e3d0502e1,mistral:7b,0,2026-06-17T20:52:15.400434,project_05,title_only,ambiguity,few_shot
ISSUE-255615,Include cursor-id in CursorNotFound exception,0,1,Yes,aa2eb1422ebb4abc,mistral:7b,0,2026-06-17T20:52:15.903737,project_05,title_only,ambiguity,few_shot
