issue_id,title,ground_truth,pred_llama3.1,pred_qwen2.5,n_models_voted,n_yes_votes,ensemble_prediction,project,input_mode,task,strategy
ISSUE-2087,CLI error when not specifying module type in module commands is cryptic an not helpful,0,0,0,2,0,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-2338,Error in correlation strategy in aggregator.xml,0,0,0,2,0,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-0972,deploy-working-dir is set to to root directory when container is started as service,0,0,0,2,0,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-2665,Spike to model the cluster nodes.,0,0,0,2,0,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-1414,Rename metrics repositories setValue(x,1,0,1,2,1,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-0394,Tasks Launcher should be able to record status to a central repository,0,0,0,2,0,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-2850,Richer module options metadata,0,0,0,2,0,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-0549,Port FTP as s-c-s source module,0,1,1,2,2,1,project_01,title_desc,ambiguity,zero_shot
ISSUE-2979,Change url to access UI from browser,0,0,0,2,0,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-0714,Add Logging to ZooKeeperContainerRepository,0,0,0,2,0,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-1907,DefaultContainerMatcher - Improve Logging and mention affected Module,0,0,0,2,0,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-1146,http-client Improvement (userDefinedHeaderPrefix),0,0,0,2,0,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-3079,Deploy a new job module *after* XD-singlenode container has started.,0,1,1,2,2,1,project_01,title_desc,ambiguity,zero_shot
ISSUE-0367,Spike: Study scope to add support for hdfs commands in shell,0,0,1,2,1,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-3374,Documentation for AggregateCounter,0,0,0,2,0,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-0460,First deploy/launch of Pig job that includes yarn-site.xml file fails,0,0,0,2,0,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-0456,Refactor Task parsing,0,0,0,2,0,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-3038,Add Spring XD Build Plan for Java 8 to Bamboo,0,0,1,2,1,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-0976,Create a gpload batch job,0,0,1,2,1,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-1548,Document the configuration of the JobRepository,0,0,0,2,0,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-1672,Add Basic Auth support,0,0,0,2,0,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-1002,Remove Reactor Stream processor from ref docs to spring-xd-modules,0,0,1,2,1,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-0927,Add support to deploy stream in a single container,0,1,1,2,2,1,project_01,title_desc,ambiguity,zero_shot
ISSUE-0336,[Int Tests] Enhance test coverage for Lattice SPI,0,0,1,2,1,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-2604,JobPlugin - Use containsKey when checking for Parameters,0,0,0,2,0,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-1900,Enable FtpHdfsTest,0,0,0,2,0,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-0514,Add PHD HDFS as s-c-s module,0,1,1,2,2,1,project_01,title_desc,ambiguity,zero_shot
ISSUE-1536,CompositeModuleDefinition should contain more than List<ModuleDefinition>,0,0,1,2,1,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-2545,Provide a clean way to get a reference to the MessageBus running in SingleNodeApplication,0,0,0,2,0,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-3424,Final review of REST API structure document for streams,1,1,1,2,2,1,project_01,title_desc,ambiguity,zero_shot
ISSUE-2913,Change default admin port from 8080,0,0,0,2,0,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-2866,Find runtime modules by type and/or name,0,0,0,2,0,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-1470,User wants to package and deploy an XD application,0,1,1,2,2,1,project_01,title_desc,ambiguity,zero_shot
ISSUE-0697,Create a spark standalone cluster on CI to run spark streaming tests,0,0,0,2,0,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-0518,Port Redis counter as s-c-s sink,0,0,1,2,1,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-1072,Large number of required options in jdbc sink definition,0,0,0,2,0,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-1097,Temp files for stream create not being cleaned,0,0,0,2,0,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-2832,The HDFS Sink should support compressing files as they are copied,0,1,0,2,1,1,project_01,title_desc,ambiguity,zero_shot
ISSUE-1088,HDFS StoreMessageHandlers are not very resilient,0,0,0,2,0,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-0993,XD on Lattice POC,0,0,1,2,1,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-3212,Parsing stream definition with parameter containing single quotes not working,0,0,0,2,0,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-0131,Support partitioning for Kafka even if count == 1,0,0,0,2,0,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-2806,User should be able to view the list of all the job definitions,0,0,0,2,0,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-3281,Create proper test coverage for Controllers,0,0,1,2,1,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-0114,Spring flo issue with unexpected char,0,0,0,2,0,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-2819,Create OOTB batch job for export and processing multiple files from HDFS to MongoDB,0,0,0,2,0,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-3583,Creating a tap throws an exception,0,1,0,2,1,1,project_01,title_desc,ambiguity,zero_shot
ISSUE-1320,Upgrade CI Acceptance AMI to HVM,0,0,1,2,1,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-3683,Sonar build is failing,0,0,0,2,0,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-0297,Port Mail as s-c-s sink,0,0,1,2,1,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-2837,User requires wiki page on how to use the XD EC2 Installer,0,0,0,2,0,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-0692,Document the new analytics tab features,0,0,1,2,1,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-1393,Workaround latest boot snapshot issue,0,1,1,2,2,1,project_01,title_desc,ambiguity,zero_shot
ISSUE-1213,Add test coverage for 'complex objects' as payload,0,1,1,2,2,1,project_01,title_desc,ambiguity,zero_shot
ISSUE-2096,Create documentation section for the shell,0,0,0,2,0,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-0695,Example hashtag-count MR job fails when running XD on YARN with PHD 3.0,0,0,0,2,0,0,project_01,title_desc,ambiguity,zero_shot
ISSUE-1859,Investigate deployed module context close upon container shutdown,0,0,1,2,1,0,project_01,title_desc,ambiguity,zero_shot
