issue_id,title,ground_truth,prediction,raw_response,prompt_hash,model_version,temperature,timestamp_utc,project,input_mode,task,strategy
ISSUE-251590,Test with latest versions of Boost,0,1,Yes,748837277df12edc,llama3.1:8b,0,2026-06-17T11:51:19.370911,project_04,title_desc,incompleteness,few_shot
ISSUE-252462,Determine C++ Driver version from examining the headers,0,1,Yes,5e85082e2f95aca1,llama3.1:8b,0,2026-06-17T11:51:20.256080,project_04,title_desc,incompleteness,few_shot
ISSUE-250680,Use cmake,0,0,No,72b672a0b83bdeda,llama3.1:8b,0,2026-06-17T11:51:21.187109,project_04,title_desc,incompleteness,few_shot
ISSUE-252307,Include regex elements in BSONArrayBuilder,0,1,Yes,ed6da7333df102ab,llama3.1:8b,0,2026-06-17T11:51:22.200158,project_04,title_desc,incompleteness,few_shot
ISSUE-250777,Defer checking if a deployment supports sessions until the session's first operation,0,1,Yes,c5df59e1c8f68a00,llama3.1:8b,0,2026-06-17T11:51:23.170276,project_04,title_desc,incompleteness,few_shot
ISSUE-252448,Static archive fails to force inclusion of global initializers,0,1,Yes,83d02644d2351de1,llama3.1:8b,0,2026-06-17T11:51:23.996375,project_04,title_desc,incompleteness,few_shot
ISSUE-251874,Add ordered option to insert_many,0,1,Yes,e2121f8fd1a973cc,llama3.1:8b,0,2026-06-17T11:51:24.839838,project_04,title_desc,incompleteness,few_shot
ISSUE-251692,Bug When Trying to 'Make',0,1,Yes,bea31a8a34c3d82d,llama3.1:8b,0,2026-06-17T11:51:25.756929,project_04,title_desc,incompleteness,few_shot
ISSUE-251622,Can't construct operation_exception without a server error,0,1,Yes,8f94027634fb321f,llama3.1:8b,0,2026-06-17T11:51:26.646118,project_04,title_desc,incompleteness,few_shot
ISSUE-252149,Polyfill stdx::string_view,0,1,Yes,9b25065c3394019f,llama3.1:8b,0,2026-06-17T11:51:27.473076,project_04,title_desc,incompleteness,few_shot
ISSUE-252321,Files dependent on make_shared should include make_shared.hpp,0,0,No,2e3b036dd780a224,llama3.1:8b,0,2026-06-17T11:51:28.316924,project_04,title_desc,incompleteness,few_shot
ISSUE-252438,Update travis configuration to run the client examples,0,0,No,2dcd643af961b867,llama3.1:8b,0,2026-06-17T11:51:29.145192,project_04,title_desc,incompleteness,few_shot
ISSUE-251649,Add support for MongoDB 3.4 to the legacy C++ driver.,0,1,Yes,518c34cba4dcfc95,llama3.1:8b,0,2026-06-17T11:51:29.968514,project_04,title_desc,incompleteness,few_shot
ISSUE-251049,Resync SDAM tests,0,1,Yes,6755eebac7386f03,llama3.1:8b,0,2026-06-17T11:51:30.847800,project_04,title_desc,incompleteness,few_shot
ISSUE-252416,rotatable_file_writer_test does not compile in C++11 mode with libc++,0,0,No,3a7c3b50944bb4ab,llama3.1:8b,0,2026-06-17T11:51:31.765709,project_04,title_desc,incompleteness,few_shot
ISSUE-251115,Implement SASLPrep,0,1,Yes,161513e49bc66ed2,llama3.1:8b,0,2026-06-17T11:51:32.760849,project_04,title_desc,incompleteness,few_shot
ISSUE-250886,Investigate alternatives to Catch2,0,1,Yes,3e18579da7b93b4d,llama3.1:8b,0,2026-06-17T11:51:33.648162,project_04,title_desc,incompleteness,few_shot
ISSUE-251990,missing bsoncxx::document::view::empty,0,1,Yes,062934767fba25ef,llama3.1:8b,0,2026-06-17T11:51:34.486398,project_04,title_desc,incompleteness,few_shot
ISSUE-252201,Create buildvariant for Ubuntu 12.04,0,1,Yes,cc5af071ad5629f2,llama3.1:8b,0,2026-06-17T11:51:35.387743,project_04,title_desc,incompleteness,few_shot
ISSUE-251862,Backport server r3.0.7..r3.0.8 changes,0,1,Yes,8ec465013d7263f7,llama3.1:8b,0,2026-06-17T11:51:36.231997,project_04,title_desc,incompleteness,few_shot
ISSUE-251902,Make special commands (inprog,1,1,Yes,4a05843eccb1550e,llama3.1:8b,0,2026-06-17T11:51:37.165035,project_04,title_desc,incompleteness,few_shot
ISSUE-250935,Create C++17 variants,0,1,Yes,1b55c80a4b2efba9,llama3.1:8b,0,2026-06-17T11:51:38.027043,project_04,title_desc,incompleteness,few_shot
