issue_id,title,ground_truth,prediction,raw_response,prompt_hash,model_version,temperature,timestamp_utc,project,input_mode,task,strategy
ISSUE-251590,Test with latest versions of Boost,1,1,Yes,4dcebf33ec11e482,llama3.1:8b,0,2026-06-17T11:28:53.774111,project_04,title_only,incompleteness,few_shot
ISSUE-252462,Determine C++ Driver version from examining the headers,0,1,Yes,c6c628c6b9384a6a,llama3.1:8b,0,2026-06-17T11:28:54.597780,project_04,title_only,incompleteness,few_shot
ISSUE-250680,Use cmake,1,1,Yes,0ef6633175176b61,llama3.1:8b,0,2026-06-17T11:28:55.482354,project_04,title_only,incompleteness,few_shot
ISSUE-252307,Include regex elements in BSONArrayBuilder,0,1,Yes,efeb329986890784,llama3.1:8b,0,2026-06-17T11:28:56.278338,project_04,title_only,incompleteness,few_shot
ISSUE-250777,Defer checking if a deployment supports sessions until the session's first operation,0,1,Yes,c1cbfeb7f70521a1,llama3.1:8b,0,2026-06-17T11:28:57.170750,project_04,title_only,incompleteness,few_shot
ISSUE-252448,Static archive fails to force inclusion of global initializers,0,1,Yes,447ce87aa89cd3c2,llama3.1:8b,0,2026-06-17T11:28:58.027016,project_04,title_only,incompleteness,few_shot
ISSUE-251874,Add ordered option to insert_many,1,1,Yes,9871476e886d8e04,llama3.1:8b,0,2026-06-17T11:28:58.886604,project_04,title_only,incompleteness,few_shot
ISSUE-251692,Bug When Trying to 'Make',1,1,Yes,a24521c05881c3be,llama3.1:8b,0,2026-06-17T11:28:59.782107,project_04,title_only,incompleteness,few_shot
ISSUE-251622,Can't construct operation_exception without a server error,0,1,Yes,bb7ace9a24b216ea,llama3.1:8b,0,2026-06-17T11:29:00.656066,project_04,title_only,incompleteness,few_shot
ISSUE-252149,Polyfill stdx::string_view,1,1,Yes,a00e81a31763e137,llama3.1:8b,0,2026-06-17T11:29:01.544311,project_04,title_only,incompleteness,few_shot
ISSUE-252321,Files dependent on make_shared should include make_shared.hpp,0,1,Yes,d369919f1d726b85,llama3.1:8b,0,2026-06-17T11:29:02.394157,project_04,title_only,incompleteness,few_shot
ISSUE-252438,Update travis configuration to run the client examples,0,1,Yes,29b24bbc78862926,llama3.1:8b,0,2026-06-17T11:29:03.298220,project_04,title_only,incompleteness,few_shot
ISSUE-251649,Add support for MongoDB 3.4 to the legacy C++ driver.,0,1,Yes,b4a84edd609a7bbd,llama3.1:8b,0,2026-06-17T11:29:04.150686,project_04,title_only,incompleteness,few_shot
ISSUE-251049,Resync SDAM tests,1,1,Yes,35a7bc417f007d8f,llama3.1:8b,0,2026-06-17T11:29:04.948625,project_04,title_only,incompleteness,few_shot
ISSUE-252416,rotatable_file_writer_test does not compile in C++11 mode with libc++,0,1,Yes,25a0a241c8d21aed,llama3.1:8b,0,2026-06-17T11:29:05.852017,project_04,title_only,incompleteness,few_shot
ISSUE-251115,Implement SASLPrep,1,1,Yes,7d5c489993a10114,llama3.1:8b,0,2026-06-17T11:29:06.712910,project_04,title_only,incompleteness,few_shot
ISSUE-250886,Investigate alternatives to Catch2,1,1,Yes,1598bfc4868ce9be,llama3.1:8b,0,2026-06-17T11:29:07.565314,project_04,title_only,incompleteness,few_shot
ISSUE-251990,missing bsoncxx::document::view::empty,1,1,Yes,c64027715faf8668,llama3.1:8b,0,2026-06-17T11:29:08.455176,project_04,title_only,incompleteness,few_shot
ISSUE-252201,Create buildvariant for Ubuntu 12.04,0,1,Yes,fc211a35240704db,llama3.1:8b,0,2026-06-17T11:29:09.306305,project_04,title_only,incompleteness,few_shot
ISSUE-251862,Backport server r3.0.7..r3.0.8 changes,0,1,Yes,27e0185aedb8ca6d,llama3.1:8b,0,2026-06-17T11:29:10.187512,project_04,title_only,incompleteness,few_shot
ISSUE-251902,Make special commands (inprog,1,1,Yes,498738e72a524651,llama3.1:8b,0,2026-06-17T11:29:11.289269,project_04,title_only,incompleteness,few_shot
ISSUE-250935,Create C++17 variants,1,1,Yes,0ba78c666eef0902,llama3.1:8b,0,2026-06-17T11:29:12.117648,project_04,title_only,incompleteness,few_shot
ISSUE-251484,collection::distinct return should allow iteration over results,0,1,Yes,095488c87c204703,llama3.1:8b,0,2026-06-17T11:29:12.949999,project_04,title_only,incompleteness,few_shot
ISSUE-251767,Fix TODO comments about linking to documentation when available,0,1,Yes,b41901dc43cc9813,llama3.1:8b,0,2026-06-17T11:29:13.992127,project_04,title_only,incompleteness,few_shot
ISSUE-252082,Reparent OperationException below DBException,0,1,Yes,c2aeafd4fa460f95,llama3.1:8b,0,2026-06-17T11:29:14.836261,project_04,title_only,incompleteness,few_shot
ISSUE-251826,Stream builder error for invalid context is unfriendly,0,1,Yes,2c31e0233eda5b5c,llama3.1:8b,0,2026-06-17T11:29:15.653056,project_04,title_only,incompleteness,few_shot
ISSUE-252418,Remove dependency on boost program_options,0,1,Yes,07afcab5772c1118,llama3.1:8b,0,2026-06-17T11:29:16.472924,project_04,title_only,incompleteness,few_shot
ISSUE-250681,WINDOWS | Release build,1,1,Yes,ba49d91cf26bced5,llama3.1:8b,0,2026-06-17T11:29:17.342719,project_04,title_only,incompleteness,few_shot
ISSUE-251940,auto_reconnect using ConnectionString API,1,1,Yes,d6aee1fd1a4f2475,llama3.1:8b,0,2026-06-17T11:29:18.253445,project_04,title_only,incompleteness,few_shot
ISSUE-252206,libmongoclient.so not generated when compling lateset c++ driver,0,1,Yes,483cb2a05efd6405,llama3.1:8b,0,2026-06-17T11:29:19.119691,project_04,title_only,incompleteness,few_shot
ISSUE-252474,Enforce /MD with Windows C++ DLL driver,0,1,Yes,feb7691c8cf40ca2,llama3.1:8b,0,2026-06-17T11:29:19.925410,project_04,title_only,incompleteness,few_shot
ISSUE-251467,Mutator methods which return non-void should document their return value,0,0,No,6a35a1cd2956e6fa,llama3.1:8b,0,2026-06-17T11:29:20.754240,project_04,title_only,incompleteness,few_shot
ISSUE-250928,Test with gcc 4.9?,1,1,Yes,10c16dc4021c7524,llama3.1:8b,0,2026-06-17T11:29:21.568679,project_04,title_only,incompleteness,few_shot
ISSUE-250906,Regenerate test certificates with SHA256 signatures,0,1,Yes,2ef9b96f3f4e2e39,llama3.1:8b,0,2026-06-17T11:29:22.429856,project_04,title_only,incompleteness,few_shot
ISSUE-251809,Allow configuration of SSL independently of the C driver,0,1,Yes,5181264b2d20cfcf,llama3.1:8b,0,2026-06-17T11:29:23.292733,project_04,title_only,incompleteness,few_shot
ISSUE-251443,Update release documentation to discuss moving releases/stable branch,0,1,Yes,dbf4a6621122e5fd,llama3.1:8b,0,2026-06-17T11:29:24.177523,project_04,title_only,incompleteness,few_shot
ISSUE-252069,Use of TARGET_OBJECTS in CMake build produces incorrect shared library,0,1,Yes,77d51796ccc43c51,llama3.1:8b,0,2026-06-17T11:29:24.997990,project_04,title_only,incompleteness,few_shot
ISSUE-251960,clang-format the legacy driver,1,1,Yes,e0ecba2b7746be88,llama3.1:8b,0,2026-06-17T11:29:25.808365,project_04,title_only,incompleteness,few_shot
ISSUE-252104,"improve handling of """"node is recovering"""" errors",0,1,Yes,f9fbbd83e2e43925,llama3.1:8b,0,2026-06-17T11:29:26.634292,project_04,title_only,incompleteness,few_shot
ISSUE-250562,BSON UDL for from_json,1,1,Yes,d22d6d1e4a36592c,llama3.1:8b,0,2026-06-17T11:29:27.430383,project_04,title_only,incompleteness,few_shot
ISSUE-251355,Move mongocxx::libbson code somewhere where bsoncxx can access it,0,1,Yes,f809d32459c77f4d,llama3.1:8b,0,2026-06-17T11:29:28.314902,project_04,title_only,incompleteness,few_shot
ISSUE-251652,Compile error with clang/libc++ on Linux due to ambiguous call to 'append' member function,0,0,No,3f6ee921f0ac0fae,llama3.1:8b,0,2026-06-17T11:29:29.185006,project_04,title_only,incompleteness,few_shot
ISSUE-251739,Backport server r3.0.8..r3.0.12 changes,1,1,Yes,f8f14eeac9978a12,llama3.1:8b,0,2026-06-17T11:29:30.006407,project_04,title_only,incompleteness,few_shot
ISSUE-250612,"Windows tasks failing with """"insufficient disk space"""" on Evergreen",0,0,No,6606cf14709a7271,llama3.1:8b,0,2026-06-17T11:29:30.889300,project_04,title_only,incompleteness,few_shot
ISSUE-252465,libmongoclient should not link db/commands.cpp,0,1,Yes,9c6b78f07cacc770,llama3.1:8b,0,2026-06-17T11:29:31.784688,project_04,title_only,incompleteness,few_shot
ISSUE-251807,Add VS2015 builders for legacy C++ driver,0,1,Yes,a5c42cf9812c2ec1,llama3.1:8b,0,2026-06-17T11:29:32.551328,project_04,title_only,incompleteness,few_shot
ISSUE-250752,Update FLE documentation for community version demonstrating explicit encryption/decryption,0,1,Yes,3546230d33ef9d38,llama3.1:8b,0,2026-06-17T11:29:33.460883,project_04,title_only,incompleteness,few_shot
ISSUE-251483,Create C++ driver benchmark suite,0,1,Yes,e95fa5671c483201,llama3.1:8b,0,2026-06-17T11:29:34.352457,project_04,title_only,incompleteness,few_shot
