issue_id,title,ground_truth,prediction,raw_response,prompt_hash,model_version,temperature,timestamp_utc
ISSUE-0001,Fix login bug #1,0,1,"Final Answer: Yes

Reasoning:
1. The issue is vague — 'sometimes' does not specify the frequency or conditions under which the login bug occurs.
2. It does not specify what component or part of the system is causing the problem.
3. No baseline or target metric for performance improvement is provided.
4. The description lacks clear context about the nature of the login bug and potential causes.
5. Without more information, it's unclear how to effectively address the issue.",e85c4f1056021658,mistral:7b,0,2026-06-08T19:18:44.743245+00:00
ISSUE-0002,Update UI #2,1,1,"Final Answer: Yes

Reasoning:
1. The issue is vague as it does not specify which parts of the UI need to be updated or what changes are expected.
2. There is no clear context provided about why the update is necessary or under what conditions it should occur.
3. The scope of the update is unclear, as it could potentially involve multiple components within the UI.
4. Without more information, the issue can be interpreted in multiple ways, making it ambiguous.",8d44c41bd7607d86,mistral:7b,0,2026-06-08T19:18:45.817749+00:00
ISSUE-0003,Add export feature #3,0,0,"Final Answer: No

Reasoning:
1. The issue title and description are specific - it mentions adding an export feature for CSV format from the reports page.
2. The context is clear as it refers to a specific action on the reports page.
3. The scope of the work can be determined by understanding the existing system's structure and implementing the necessary changes for data export in CSV format.
4. There is no ambiguity about what needs to be done or how it should be done, making it less likely to be interpreted in multiple ways.
5. Although not explicitly stated, it can be assumed that the target platform (web, mobile, etc.) and any specific requirements for the export feature (like handling large datasets, user authentication, etc.) might need further clarification during the analysis phase. However, the initial issue statement itself is clear enough to understand the basic requirement.",1be6320c98a74f2e,mistral:7b,0,2026-06-08T19:18:47.648750+00:00
ISSUE-0004,Performance issue #4,0,1,"Final Answer: Yes

Reasoning:
1. The issue does not specify what part of the application is slow or under which conditions the slowness occurs.
2. No baseline or target metric for performance improvement is provided.
3. The issue lacks clear context, making it difficult to determine the scope and focus of the required improvements.
4. The problem can be interpreted in multiple ways, as there could be various reasons for an application to run slowly (e.g., network issues, server-side problems, or code optimization needs).",ed7355da60680986,mistral:7b,0,2026-06-08T19:18:48.829056+00:00
ISSUE-0005,Null pointer exception #5,1,0,"Final Answer: No

Reasoning: The issue provides a clear description of the problem - it names the exact file, line, condition, and context. It does not use vague language or lack clear context, nor does it have an unclear scope or multiple interpretations.",2b9e011482bae8f3,mistral:7b,0,2026-06-08T19:18:49.492113+00:00
ISSUE-0006,Search not working #6,0,1,"Final Answer: Yes

Reasoning:
1. The issue is vague as it does not specify the context of the search (search bar, database query, API call, etc.), the expected results, or under what conditions the problem occurs.
2. There's no mention of the system, application, or component where this search function resides.
3. No baseline or target metric for performance is provided to determine if the current search functionality meets the requirements or not.
4. The issue does not provide any information about the search algorithm, indexing, or data structure used, which could affect the resolution process.
5. Without more context and details, it's difficult to pinpoint the exact cause of the problem and propose a solution.",026688ac86d3cab5,mistral:7b,0,2026-06-08T19:18:51.068669+00:00
ISSUE-0007,Add dark mode #7,0,0,"Final Answer: No

Reasoning:
1. The title clearly states the requirement for a ""dark mode"" feature.
2. The description specifies that this dark mode should be implemented as a toggle in settings and with persistent preference via localStorage.
3. Although it doesn't specify which parts of the application need to support the dark mode, the context is clear since the term ""settings"" implies that it will be an application-level feature.
4. The requirement for implementing dark mode does not seem to have multiple interpretations as it follows a standard pattern in software development.
5. There is no ambiguity regarding the scope or language used in this issue description.",561fab761a4ed113,mistral:7b,0,2026-06-08T19:18:52.512725+00:00
ISSUE-0008,Crash on startup #8,0,1,"Final Answer: Yes

Reasoning:
1. The issue is vague as it does not specify the cause of the crash or under what conditions the problem occurs.
2. It lacks clear context since there's no information about the operating system, device, or any other relevant details that could help identify the root cause.
3. The scope of the issue is unclear, as it doesn't specify which part of the app is causing the crash.
4. The issue can be interpreted in multiple ways, such as a problem with the user interface, database connection, or any other component within the app.
5. Without additional information, it would require further investigation to determine the exact cause and solution for this issue.",4d5663e500ea44c4,mistral:7b,0,2026-06-08T19:18:54.030661+00:00
ISSUE-0009,Email validation #9,1,0,"Final Answer: No

Reasoning:
1. The issue title clearly states the requirement - ""Email validation"". This is specific and unambiguous.
2. The description also provides a clear context - ""Validate email format on registration form and show inline error messages"". It specifies that the validation should occur during registration, the format to be validated, and the method of displaying errors (inline).
3. There is no ambiguity about what component or system this requirement applies to as it pertains to a registration form.
4. The scope of the requirement is also clear - it only involves email validation on the registration form and inline error messages.
5. There are no vague terms or unclear conditions that could lead to multiple interpretations.",0f21ef7d63386b9d,mistral:7b,0,2026-06-08T19:18:55.582969+00:00
ISSUE-0010,Database timeout #10,1,0,"Final Answer: No

Reasoning:
1. The issue clearly specifies the problem - database timeouts occur under specific conditions (heavy load and more than 500 concurrent users).
2. It mentions the context - the problem happens with DB queries.
3. Although not explicitly stated, it can be inferred that the scope is related to improving the performance or stability of the database under heavy loads.
4. The issue does not use vague language; instead, it provides a clear description of the problem and its conditions.
5. There is no ambiguity about how the issue should be addressed, as it involves investigating and potentially optimizing the database's behavior under heavy load with many concurrent users to reduce timeouts.",8635ed106c793162,mistral:7b,0,2026-06-08T19:18:57.177183+00:00
