issue_id,title,ground_truth,prediction,raw_response,prompt_hash,model_version,temperature,timestamp_utc,project,input_mode,task,strategy
ISSUE-38493,Review API Runtime Services Documentation,0,0,No,48425d9f1568fe4a,mistral:7b,0,2026-06-17T20:04:00.744474,project_02,title_desc,ambiguity,zero_shot
ISSUE-38975,Tutorial Series: Customize for Android,0,0,No,8e5fdafcb76d3edd,mistral:7b,0,2026-06-17T20:04:01.162618,project_02,title_desc,ambiguity,zero_shot
ISSUE-40855,APIDoc: Window.modalStyle and modalTransitionStyle properties are undocumented,0,1,Yes,583ebdbf61945d43,mistral:7b,0,2026-06-17T20:04:01.648317,project_02,title_desc,ambiguity,zero_shot
ISSUE-40336,APIDoc: Check all deprecated API members for appropriate message,0,1,Yes,04f390576cb878f4,mistral:7b,0,2026-06-17T20:04:02.270286,project_02,title_desc,ambiguity,zero_shot
ISSUE-38324,Create Appcelerator Studio Guide page,0,1,Yes,15a95151e078380f,mistral:7b,0,2026-06-17T20:04:02.673292,project_02,title_desc,ambiguity,zero_shot
ISSUE-39589,Update Android Menu docs re: overflow (...) menu on devices with hardware menu button,0,1,Yes,4e91c6221e7e74bc,mistral:7b,0,2026-06-17T20:04:03.190802,project_02,title_desc,ambiguity,zero_shot
ISSUE-38275,Rename AMPLIFY Appcelerator Services to Axway Mobile Analytics,0,0,No,c0ea4b9b7018b13e,mistral:7b,0,2026-06-17T20:04:03.687723,project_02,title_desc,ambiguity,zero_shot
ISSUE-38193,Remove very outdated Ti.Map documentation,0,0,No,b6e6383e97768949,mistral:7b,0,2026-06-17T20:04:04.181029,project_02,title_desc,ambiguity,zero_shot
ISSUE-40376,Docs: Code highlighting incorrectly applied to some example blocks,0,0,No,401aa8ce5b1874e8,mistral:7b,0,2026-06-17T20:04:04.676631,project_02,title_desc,ambiguity,zero_shot
ISSUE-39190,Fix link to View.touchEnabled from View.enabled,0,0,No,8dedad0fc963dc77,mistral:7b,0,2026-06-17T20:04:05.175249,project_02,title_desc,ambiguity,zero_shot
