issue_id,title,ground_truth,pred_llama3.1,pred_mistral,pred_qwen2.5,n_models_voted,n_yes_votes,ensemble_prediction,project,input_mode,task,strategy
ISSUE-207056,Build badges in several github repos have stopped working,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-206571,Indy-sdk integration,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-205754,Assist EV QA,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-206786,I should be able to load a .sovrin file from a URL directly into the CLI,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-206184,Configurations should contain certain version of pip,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-205916,read_ledger tool is not able to read the sovrin plugin ledger,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-206000,AttributeError: 'NoneType' object has no attribute 'request' during load,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-207179,Make sure Nodes upgrade eagerly,1,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-207175,Testing: do a lot of concurrent writes and reads to same values,1,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-205301,Responses to client validator info requests very slow on a StagingNet node,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-206412,Create Entity Relationship Diagram of current ledger objects including primary and secondary keys used to link each object together.,0,0,1,0,3,1,0,project_03,title_only,ambiguity,few_shot_cot
ISSUE-206580,Explore: Can doing a ping in the Getting Started Tutorial delete the active wallet,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-206497,Unclear messages appear during reading transactions,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-205266,1.10.0 Release,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-206591,Incubation: Remove all non-Indy branding from indy-anoncreds repo,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-207055,Make the tests working using pure pytest,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-206198,The node blacklisted the remaining nodes during network problems,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-205670,Tests using the sdk fail on the master branch,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-205185,Write a script to upgrade audit ledger for the new state recovered from ledger,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-205803,Find out maximal pool performance numbers for mixed mode (read and write),0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-206213,Read-ledger without storage copy in case of RocksDB (RocksDB read-only mode support),0,1,0,1,3,2,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-205553,Node that does not upgrade spams the config ledger,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-206193,[QA] Script for filling the ledger doesn't work,1,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-207334,Send NYM command is not executed on Shakedown Pool 1,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-206998,roll back default where zmq high water mark = 0,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-206222,Errors with configs during installation,1,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-207211,Node crashes if out of disk space,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-205565,Unable to choose volume type using pool automation scripts,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-205746,1.6.74 Release,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-207177,"Ledgers """"stall"""" gracefully",1,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-207246,Sovrin-Client: Show command cannot show files with space in the name,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-207346,Unexpected behavior of the testSendNodeSucceedsIfServicesIsMissed test,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-207079,Node with malformed ldb files has inconsistent behavior,1,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-205870,Node can't catch up large ledger,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-207163,F-value tests: How many nodes can I lose before the network stops? Is it 2f+1? Is it n-f?,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-205602,Write and Read request flow,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-207255,Sovrin-Client: Show file command of not much use,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-205400,Update docs for Transaction Author agreement,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-205519,Incorrect pool upgrade txn validation,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-205808,Performance of monitor should be improved,1,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-205232,PBFT View Change Debug: Part 2,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-206367,Knowledge transfer on Indy build processes,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-205283,Support ubuntu 20.04 in system tests,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-206407,generate_indy_pool_transactions can be run only by indy user,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-206381,ATTRIB transaction with ENC and HASH doesn't work,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-205817,Research performance of static validation against message schema,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-207214,The CLI initialization becomes too slow,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-205760,POA: Delegate issuance to a processor,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
ISSUE-205269,Implement helper script for AWS pool operations with snapshots,0,1,1,1,3,3,1,project_03,title_only,ambiguity,few_shot_cot
