issue_id,title,ground_truth,pred_llama3.1,pred_mistral,pred_qwen2.5,n_models_voted,n_yes_votes,ensemble_prediction,project,input_mode,task,strategy
ISSUE-251590,Test with latest versions of Boost,0,1,1,1,3,3,1,project_04,title_only,ambiguity,zero_shot
ISSUE-252462,Determine C++ Driver version from examining the headers,0,0,1,0,3,1,0,project_04,title_only,ambiguity,zero_shot
ISSUE-250680,Use cmake,0,1,1,1,3,3,1,project_04,title_only,ambiguity,zero_shot
ISSUE-252307,Include regex elements in BSONArrayBuilder,0,0,1,0,3,1,0,project_04,title_only,ambiguity,zero_shot
ISSUE-250777,Defer checking if a deployment supports sessions until the session's first operation,0,0,1,0,3,1,0,project_04,title_only,ambiguity,zero_shot
ISSUE-252448,Static archive fails to force inclusion of global initializers,0,0,1,0,3,1,0,project_04,title_only,ambiguity,zero_shot
ISSUE-251874,Add ordered option to insert_many,0,0,1,0,3,1,0,project_04,title_only,ambiguity,zero_shot
ISSUE-251692,Bug When Trying to 'Make',1,1,1,1,3,3,1,project_04,title_only,ambiguity,zero_shot
ISSUE-251622,Can't construct operation_exception without a server error,0,0,1,0,3,1,0,project_04,title_only,ambiguity,zero_shot
ISSUE-252149,Polyfill stdx::string_view,0,1,1,0,3,2,1,project_04,title_only,ambiguity,zero_shot
ISSUE-252321,Files dependent on make_shared should include make_shared.hpp,0,0,1,0,3,1,0,project_04,title_only,ambiguity,zero_shot
ISSUE-252438,Update travis configuration to run the client examples,0,0,1,0,3,1,0,project_04,title_only,ambiguity,zero_shot
ISSUE-251649,Add support for MongoDB 3.4 to the legacy C++ driver.,0,0,0,0,3,0,0,project_04,title_only,ambiguity,zero_shot
ISSUE-251049,Resync SDAM tests,1,0,1,1,3,2,1,project_04,title_only,ambiguity,zero_shot
ISSUE-252416,rotatable_file_writer_test does not compile in C++11 mode with libc++,0,0,1,0,3,1,0,project_04,title_only,ambiguity,zero_shot
ISSUE-251115,Implement SASLPrep,0,0,1,0,3,1,0,project_04,title_only,ambiguity,zero_shot
ISSUE-250886,Investigate alternatives to Catch2,1,0,1,0,3,1,0,project_04,title_only,ambiguity,zero_shot
ISSUE-251990,missing bsoncxx::document::view::empty,0,0,1,0,3,1,0,project_04,title_only,ambiguity,zero_shot
ISSUE-252201,Create buildvariant for Ubuntu 12.04,0,0,1,0,3,1,0,project_04,title_only,ambiguity,zero_shot
ISSUE-251862,Backport server r3.0.7..r3.0.8 changes,0,0,1,0,3,1,0,project_04,title_only,ambiguity,zero_shot
ISSUE-251902,Make special commands (inprog,1,1,1,1,3,3,1,project_04,title_only,ambiguity,zero_shot
ISSUE-250935,Create C++17 variants,0,0,1,0,3,1,0,project_04,title_only,ambiguity,zero_shot
ISSUE-251484,collection::distinct return should allow iteration over results,0,1,1,0,3,2,1,project_04,title_only,ambiguity,zero_shot
ISSUE-251767,Fix TODO comments about linking to documentation when available,0,0,1,0,3,1,0,project_04,title_only,ambiguity,zero_shot
ISSUE-252082,Reparent OperationException below DBException,0,1,1,0,3,2,1,project_04,title_only,ambiguity,zero_shot
ISSUE-251826,Stream builder error for invalid context is unfriendly,0,1,1,1,3,3,1,project_04,title_only,ambiguity,zero_shot
ISSUE-252418,Remove dependency on boost program_options,0,0,0,0,3,0,0,project_04,title_only,ambiguity,zero_shot
ISSUE-250681,WINDOWS | Release build,0,0,1,1,3,2,1,project_04,title_only,ambiguity,zero_shot
ISSUE-251940,auto_reconnect using ConnectionString API,0,0,1,0,3,1,0,project_04,title_only,ambiguity,zero_shot
