issue_id,title,ground_truth,prediction,raw_response,prompt_hash,model_version,temperature,timestamp_utc,project,input_mode,task,strategy
ISSUE-207056,Build badges in several github repos have stopped working,0,0,No,3f607a625e526726,mistral:7b,0,2026-06-17T20:22:43.551583,project_03,title_desc,ambiguity,few_shot
ISSUE-206571,Indy-sdk integration,0,1,Yes,67d21409de0adb12,mistral:7b,0,2026-06-17T20:22:43.971171,project_03,title_desc,ambiguity,few_shot
ISSUE-205754,Assist EV QA,0,0,No,9e9c967d127be173,mistral:7b,0,2026-06-17T20:22:44.486817,project_03,title_desc,ambiguity,few_shot
ISSUE-206786,I should be able to load a .sovrin file from a URL directly into the CLI,0,1,Yes,958d9d4f6365a853,mistral:7b,0,2026-06-17T20:22:44.945090,project_03,title_desc,ambiguity,few_shot
ISSUE-206184,Configurations should contain certain version of pip,0,1,Yes,473e3b855f374125,mistral:7b,0,2026-06-17T20:22:45.724902,project_03,title_desc,ambiguity,few_shot
ISSUE-205916,read_ledger tool is not able to read the sovrin plugin ledger,0,0,No,537491f2c499dfcd,mistral:7b,0,2026-06-17T20:22:46.151374,project_03,title_desc,ambiguity,few_shot
ISSUE-206000,AttributeError: 'NoneType' object has no attribute 'request' during load,0,1,Yes,2e876cfd32272776,mistral:7b,0,2026-06-17T20:22:46.531825,project_03,title_desc,ambiguity,few_shot
ISSUE-207179,Make sure Nodes upgrade eagerly,0,1,Yes,acb1d85408fa8b3b,mistral:7b,0,2026-06-17T20:22:47.011282,project_03,title_desc,ambiguity,few_shot
ISSUE-207175,Testing: do a lot of concurrent writes and reads to same values,0,1,Yes,89921fe894454dbd,mistral:7b,0,2026-06-17T20:22:47.515035,project_03,title_desc,ambiguity,few_shot
ISSUE-205301,Responses to client validator info requests very slow on a StagingNet node,0,0,No,d9a0445be25801c3,mistral:7b,0,2026-06-17T20:22:48.394510,project_03,title_desc,ambiguity,few_shot
ISSUE-206412,Create Entity Relationship Diagram of current ledger objects including primary and secondary keys used to link each object together.,0,1,Yes,86d6ac311bb26ae0,mistral:7b,0,2026-06-17T20:22:48.877098,project_03,title_desc,ambiguity,few_shot
ISSUE-206580,Explore: Can doing a ping in the Getting Started Tutorial delete the active wallet,0,1,Yes,9aee5ab235a62979,mistral:7b,0,2026-06-17T20:22:49.182564,project_03,title_desc,ambiguity,few_shot
ISSUE-206497,Unclear messages appear during reading transactions,0,1,Yes,183df161062d0c36,mistral:7b,0,2026-06-17T20:22:50.337631,project_03,title_desc,ambiguity,few_shot
ISSUE-205266,1.10.0 Release,0,0,No,70174dc8f943b504,mistral:7b,0,2026-06-17T20:22:50.953955,project_03,title_desc,ambiguity,few_shot
ISSUE-206591,Incubation: Remove all non-Indy branding from indy-anoncreds repo,0,1,Yes,8811e10cfb65923a,mistral:7b,0,2026-06-17T20:22:51.242693,project_03,title_desc,ambiguity,few_shot
ISSUE-207055,Make the tests working using pure pytest,0,1,Yes,66e9b3b1b72a5ad4,mistral:7b,0,2026-06-17T20:22:51.736917,project_03,title_desc,ambiguity,few_shot
ISSUE-206198,The node blacklisted the remaining nodes during network problems,0,1,Yes,86490a3473e20c0c,mistral:7b,0,2026-06-17T20:22:52.274421,project_03,title_desc,ambiguity,few_shot
ISSUE-205670,Tests using the sdk fail on the master branch,0,0,No,76a84e39c6547c1c,mistral:7b,0,2026-06-17T20:22:52.899606,project_03,title_desc,ambiguity,few_shot
ISSUE-205185,Write a script to upgrade audit ledger for the new state recovered from ledger,0,0,No,1ffad432c3d9a6cb,mistral:7b,0,2026-06-17T20:22:53.315172,project_03,title_desc,ambiguity,few_shot
ISSUE-205803,Find out maximal pool performance numbers for mixed mode (read and write),0,1,Yes,153bd560be833b71,mistral:7b,0,2026-06-17T20:22:53.727624,project_03,title_desc,ambiguity,few_shot
ISSUE-206213,Read-ledger without storage copy in case of RocksDB (RocksDB read-only mode support),0,0,No,70941543f523a742,mistral:7b,0,2026-06-17T20:22:54.231693,project_03,title_desc,ambiguity,few_shot
ISSUE-205553,Node that does not upgrade spams the config ledger,0,0,No,669cc222b5040a0c,mistral:7b,0,2026-06-17T20:22:54.760886,project_03,title_desc,ambiguity,few_shot
ISSUE-206193,[QA] Script for filling the ledger doesn't work,0,1,Yes,427b06c3bb5719c4,mistral:7b,0,2026-06-17T20:22:55.720480,project_03,title_desc,ambiguity,few_shot
ISSUE-207334,Send NYM command is not executed on Shakedown Pool 1,0,0,No,131b1d79d064a855,mistral:7b,0,2026-06-17T20:22:56.215622,project_03,title_desc,ambiguity,few_shot
ISSUE-206998,roll back default where zmq high water mark = 0,0,0,No,a96454f8502d4bd3,mistral:7b,0,2026-06-17T20:22:56.745965,project_03,title_desc,ambiguity,few_shot
ISSUE-206222,Errors with configs during installation,0,0,No,c25b40b377efb535,mistral:7b,0,2026-06-17T20:22:57.065887,project_03,title_desc,ambiguity,few_shot
ISSUE-207211,Node crashes if out of disk space,0,1,Yes,ff0cc5721fefe9f1,mistral:7b,0,2026-06-17T20:22:57.526863,project_03,title_desc,ambiguity,few_shot
ISSUE-205565,Unable to choose volume type using pool automation scripts,0,1,Yes,cc7147b2ac5aa191,mistral:7b,0,2026-06-17T20:22:58.017386,project_03,title_desc,ambiguity,few_shot
ISSUE-205746,1.6.74 Release,0,0,No,a1efae8cd2f46bd2,mistral:7b,0,2026-06-17T20:22:58.526855,project_03,title_desc,ambiguity,few_shot
ISSUE-207177,"Ledgers """"stall"""" gracefully",0,0,No,48ea4e4007a38aaa,mistral:7b,0,2026-06-17T20:22:59.048983,project_03,title_desc,ambiguity,few_shot
ISSUE-207246,Sovrin-Client: Show command cannot show files with space in the name,0,0,No,9b951612d42d6643,mistral:7b,0,2026-06-17T20:22:59.540080,project_03,title_desc,ambiguity,few_shot
ISSUE-207346,Unexpected behavior of the testSendNodeSucceedsIfServicesIsMissed test,0,1,Yes,23f1010b307f89e2,mistral:7b,0,2026-06-17T20:23:00.012715,project_03,title_desc,ambiguity,few_shot
ISSUE-207079,Node with malformed ldb files has inconsistent behavior,0,1,Yes,8051aadaf942fb27,mistral:7b,0,2026-06-17T20:23:00.580898,project_03,title_desc,ambiguity,few_shot
ISSUE-205870,Node can't catch up large ledger,0,1,Yes,188b1310a35cc9c3,mistral:7b,0,2026-06-17T20:23:01.215714,project_03,title_desc,ambiguity,few_shot
ISSUE-207163,F-value tests: How many nodes can I lose before the network stops? Is it 2f+1? Is it n-f?,0,1,Yes,e57490d2c31236b7,mistral:7b,0,2026-06-17T20:23:01.621446,project_03,title_desc,ambiguity,few_shot
ISSUE-205602,Write and Read request flow,0,0,No,d690d67a616023b3,mistral:7b,0,2026-06-17T20:23:02.015001,project_03,title_desc,ambiguity,few_shot
ISSUE-207255,Sovrin-Client: Show file command of not much use,0,1,Yes,ff2c70267dc221d2,mistral:7b,0,2026-06-17T20:23:02.524512,project_03,title_desc,ambiguity,few_shot
ISSUE-205400,Update docs for Transaction Author agreement,0,1,Yes,56100045312df691,mistral:7b,0,2026-06-17T20:23:03.054413,project_03,title_desc,ambiguity,few_shot
ISSUE-205519,Incorrect pool upgrade txn validation,0,1,Yes,a27efb47f3655479,mistral:7b,0,2026-06-17T20:23:03.528874,project_03,title_desc,ambiguity,few_shot
ISSUE-205808,Performance of monitor should be improved,0,0,No,b9e4aa5ad31a8794,mistral:7b,0,2026-06-17T20:23:03.989128,project_03,title_desc,ambiguity,few_shot
ISSUE-205232,PBFT View Change Debug: Part 2,0,0,No,678ad5fc6fa5be43,mistral:7b,0,2026-06-17T20:23:04.544436,project_03,title_desc,ambiguity,few_shot
ISSUE-206367,Knowledge transfer on Indy build processes,0,1,Yes,4e45dd16851bf89b,mistral:7b,0,2026-06-17T20:23:05.027566,project_03,title_desc,ambiguity,few_shot
ISSUE-205283,Support ubuntu 20.04 in system tests,0,0,No,e3c6600ba91db912,mistral:7b,0,2026-06-17T20:23:05.529931,project_03,title_desc,ambiguity,few_shot
ISSUE-206407,generate_indy_pool_transactions can be run only by indy user,0,1,Yes,a6c12ae64a147711,mistral:7b,0,2026-06-17T20:23:06.062515,project_03,title_desc,ambiguity,few_shot
ISSUE-206381,ATTRIB transaction with ENC and HASH doesn't work,0,1,Yes,6040af7be1dcdf5d,mistral:7b,0,2026-06-17T20:23:06.552425,project_03,title_desc,ambiguity,few_shot
ISSUE-205817,Research performance of static validation against message schema,0,1,Yes,5545e7d439c5d5ea,mistral:7b,0,2026-06-17T20:23:07.056222,project_03,title_desc,ambiguity,few_shot
ISSUE-207214,The CLI initialization becomes too slow,0,1,Yes,2cc5902ee4bb40a2,mistral:7b,0,2026-06-17T20:23:07.524893,project_03,title_desc,ambiguity,few_shot
ISSUE-205760,POA: Delegate issuance to a processor,0,0,No,e0ccc4a2ff9cbc08,mistral:7b,0,2026-06-17T20:23:08.141843,project_03,title_desc,ambiguity,few_shot
ISSUE-205269,Implement helper script for AWS pool operations with snapshots,0,1,Yes,1957a1b9407206f6,mistral:7b,0,2026-06-17T20:23:08.585514,project_03,title_desc,ambiguity,few_shot
ISSUE-207178,An upgrade should be idempotent,0,1,Yes,770773e3e9f81afd,mistral:7b,0,2026-06-17T20:23:09.070005,project_03,title_desc,ambiguity,few_shot
ISSUE-205965,Ledger upgrade transaction should specify a package name,0,0,No,ae959369d3590aad,mistral:7b,0,2026-06-17T20:23:09.565517,project_03,title_desc,ambiguity,few_shot
ISSUE-207326,Prove the pool upgrade mechanism by performing a noticeable upgrade test,0,1,Yes,3b9e16a5f80c3edc,mistral:7b,0,2026-06-17T20:23:10.050943,project_03,title_desc,ambiguity,few_shot
ISSUE-206117,Simple Timeout fixes of the current View Change protocol,0,1,Yes,8fe22a685ad7e8a3,mistral:7b,0,2026-06-17T20:23:10.551714,project_03,title_desc,ambiguity,few_shot
ISSUE-206655,As I Validator or Observer Node,0,1,Yes,c8a19c12e291c354,mistral:7b,0,2026-06-17T20:23:11.029472,project_03,title_desc,ambiguity,few_shot
ISSUE-207231,eliminate runtime warnings that show during tests,0,1,Yes,36a85b258fdbfb7f,mistral:7b,0,2026-06-17T20:23:11.521800,project_03,title_desc,ambiguity,few_shot
ISSUE-206217,Clarify current permissible actions with DID's roles,0,1,Yes,361b5a93ea912d01,mistral:7b,0,2026-06-17T20:23:12.040165,project_03,title_desc,ambiguity,few_shot
ISSUE-205635,Enable PreViewChange Strategy,0,0,No,72caf1930b5c93bc,mistral:7b,0,2026-06-17T20:23:12.543985,project_03,title_desc,ambiguity,few_shot
ISSUE-205719,Validator info tool should show windowed throughput statistics,0,1,Yes,b0a0a81b5058a2f6,mistral:7b,0,2026-06-17T20:23:13.067249,project_03,title_desc,ambiguity,few_shot
ISSUE-205358,indy-node upgrade problem - No such directory,0,0,No,c9ecd23b076ee8a3,mistral:7b,0,2026-06-17T20:23:13.691761,project_03,title_desc,ambiguity,few_shot
ISSUE-206471,Validator-info tool is not working with build 1.2.49,0,0,No,7305ecf5f5576312,mistral:7b,0,2026-06-17T20:23:14.136775,project_03,title_desc,ambiguity,few_shot
ISSUE-207259,[send NYM] Add verkey and update verkey commands don't work,0,0,No,c89f5a20dfe165df,mistral:7b,0,2026-06-17T20:23:14.553315,project_03,title_desc,ambiguity,few_shot
ISSUE-206618,Allow a steward to update his node entry in the ledger - including the verkey,0,1,Yes,a65747bcf6f1ea13,mistral:7b,0,2026-06-17T20:23:15.413942,project_03,title_desc,ambiguity,few_shot
ISSUE-205847,Fail to update pool ledger if no connection to a node in the genesis file in old cli,0,0,No,33e2f1fa3e7fa9cb,mistral:7b,0,2026-06-17T20:23:15.902297,project_03,title_desc,ambiguity,few_shot
