issue_id,title,ground_truth,prediction,raw_response,prompt_hash,model_version,temperature,timestamp_utc
ISSUE-0001,Fix login bug #1,0,1,Yes,a52a6108cfd5d85f,qwen2.5:14b,0,2026-06-08T18:57:20.051920+00:00
ISSUE-0002,Update UI #2,0,1,Yes,7e31ca1221981da7,qwen2.5:14b,0,2026-06-08T18:57:20.953806+00:00
ISSUE-0003,Add export feature #3,0,1,Yes,2b5bbec090c28cde,qwen2.5:14b,0,2026-06-08T18:57:21.963492+00:00
ISSUE-0004,Performance issue #4,0,1,Yes,c5a37dc02a2d1670,qwen2.5:14b,0,2026-06-08T18:57:22.972308+00:00
ISSUE-0005,Null pointer exception #5,0,1,Yes,9bc78bfbbe3c2154,qwen2.5:14b,0,2026-06-08T18:57:23.980408+00:00
ISSUE-0006,Search not working #6,0,1,Yes,3c4dc773bf8857d9,qwen2.5:14b,0,2026-06-08T18:57:24.949491+00:00
ISSUE-0007,Add dark mode #7,0,1,Yes,93288fc0a7d7cb74,qwen2.5:14b,0,2026-06-08T18:57:25.989410+00:00
ISSUE-0008,Crash on startup #8,0,1,Yes,cbf40a0240161134,qwen2.5:14b,0,2026-06-08T18:57:26.970586+00:00
ISSUE-0009,Email validation #9,0,1,Yes,82d9cdd0958e5cb9,qwen2.5:14b,0,2026-06-08T18:57:28.023929+00:00
ISSUE-0010,Database timeout #10,1,1,Yes,701e5241112dc10b,qwen2.5:14b,0,2026-06-08T18:57:28.974969+00:00
ISSUE-0011,Missing error handling #11,0,1,Yes,cfd90f2da8c9148f,qwen2.5:14b,0,2026-06-08T18:57:29.997819+00:00
ISSUE-0012,API rate limiting #12,1,1,Yes,f390c5b3b504f297,qwen2.5:14b,0,2026-06-08T18:57:30.983090+00:00
ISSUE-0013,Button color #13,0,1,Yes,1aba9241057976fe,qwen2.5:14b,0,2026-06-08T18:57:31.981168+00:00
ISSUE-0014,Memory leak #14,1,1,Yes,ae278a8625494a98,qwen2.5:14b,0,2026-06-08T18:57:33.003150+00:00
ISSUE-0015,Update docs #15,0,1,Yes,13507430b3b75060,qwen2.5:14b,0,2026-06-08T18:57:33.987474+00:00
ISSUE-0016,File upload fails #16,0,0,No,d18a920229ebd3e4,qwen2.5:14b,0,2026-06-08T18:57:35.035839+00:00
ISSUE-0017,Wrong total #17,1,1,Yes,31906a82531270aa,qwen2.5:14b,0,2026-06-08T18:57:36.020563+00:00
ISSUE-0018,Session expiry #18,0,1,Yes,db5a1f12a3965e8a,qwen2.5:14b,0,2026-06-08T18:57:36.977246+00:00
ISSUE-0019,Fix typo #19,0,1,Yes,7adcd5a6e64337f3,qwen2.5:14b,0,2026-06-08T18:57:37.991808+00:00
