issue_id,title,ground_truth,prediction,raw_response,prompt_hash,model_version,temperature,timestamp_utc,project,input_mode,task,strategy
ISSUE-38493,Review API Runtime Services Documentation,1,0,No,768e83620572a45c,llama3.1:8b,0,2026-06-17T09:57:34.525459,project_02,title_only,incompleteness,zero_shot
ISSUE-38975,Tutorial Series: Customize for Android,1,0,No,ed63927e4b5b2017,llama3.1:8b,0,2026-06-17T09:57:35.486651,project_02,title_only,incompleteness,zero_shot
ISSUE-40855,APIDoc: Window.modalStyle and modalTransitionStyle properties are undocumented,0,0,No,b4679861d57f4a64,llama3.1:8b,0,2026-06-17T09:57:36.333198,project_02,title_only,incompleteness,zero_shot
ISSUE-40336,APIDoc: Check all deprecated API members for appropriate message,0,0,No,6d5d5ac29e4e9633,llama3.1:8b,0,2026-06-17T09:57:37.144207,project_02,title_only,incompleteness,zero_shot
ISSUE-38324,Create Appcelerator Studio Guide page,1,0,No,df91a25b74cf679f,llama3.1:8b,0,2026-06-17T09:57:38.133742,project_02,title_only,incompleteness,zero_shot
ISSUE-39589,Update Android Menu docs re: overflow (...) menu on devices with hardware menu button,0,0,No,e85e4c60354ff429,llama3.1:8b,0,2026-06-17T09:57:39.021492,project_02,title_only,incompleteness,zero_shot
ISSUE-38275,Rename AMPLIFY Appcelerator Services to Axway Mobile Analytics,0,0,No,b8844395be211e71,llama3.1:8b,0,2026-06-17T09:57:39.835788,project_02,title_only,incompleteness,zero_shot
ISSUE-38193,Remove very outdated Ti.Map documentation,0,0,No,d1fc102cd9dd30d8,llama3.1:8b,0,2026-06-17T09:57:40.624286,project_02,title_only,incompleteness,zero_shot
ISSUE-40376,Docs: Code highlighting incorrectly applied to some example blocks,1,0,No,850bf66a9190a102,llama3.1:8b,0,2026-06-17T09:57:41.473256,project_02,title_only,incompleteness,zero_shot
ISSUE-39190,Fix link to View.touchEnabled from View.enabled,1,0,No,c0086c62664aad2b,llama3.1:8b,0,2026-06-17T09:57:42.302248,project_02,title_only,incompleteness,zero_shot
ISSUE-38138,Create and publish release note for SDK 7.3.1.RC,0,0,No,b999eae0fd4cf72b,llama3.1:8b,0,2026-06-17T09:57:43.194195,project_02,title_only,incompleteness,zero_shot
ISSUE-38570,Create and publish release note for Arrow 1.10.0,0,0,No,19234ce58625c648,llama3.1:8b,0,2026-06-17T09:57:44.050600,project_02,title_only,incompleteness,zero_shot
ISSUE-39606,APIDoc: Geolocation documentation - potential error add remove event listener,1,0,No,6e59862dd3a2a4d5,llama3.1:8b,0,2026-06-17T09:57:44.892397,project_02,title_only,incompleteness,zero_shot
ISSUE-40579,Doc BUG: Titanium.UI.iPad.Popover explicitly requires a View as child but in fact requires a Window,0,0,No,716640c1161aa8b8,llama3.1:8b,0,2026-06-17T09:57:45.755144,project_02,title_only,incompleteness,zero_shot
ISSUE-40465,APIDOC: Ti.UI.TableViewSection.borderRadius does not work,1,0,No,dd323c3c2e7850ab,llama3.1:8b,0,2026-06-17T09:57:46.629292,project_02,title_only,incompleteness,zero_shot
ISSUE-38497,New documentation page needed for API Builder -> Swagger Specifications,0,0,No,1c4b509426b18130,llama3.1:8b,0,2026-06-17T09:57:47.424964,project_02,title_only,incompleteness,zero_shot
ISSUE-39864,ACS User - need to be able to delete user without logging in as that user,0,0,No,e9c23d9f8de91f86,llama3.1:8b,0,2026-06-17T09:57:48.293123,project_02,title_only,incompleteness,zero_shot
ISSUE-38249,Create and publish release note for API Builder 3.0.0,0,0,No,47bc277a69126b4a,llama3.1:8b,0,2026-06-17T09:57:49.109824,project_02,title_only,incompleteness,zero_shot
ISSUE-38348,Improve the doc navigation,1,0,No,82327abc6bbd0bdb,llama3.1:8b,0,2026-06-17T09:57:49.984204,project_02,title_only,incompleteness,zero_shot
ISSUE-38714,incorrect link,1,0,No,f87a680cdf249ece,llama3.1:8b,0,2026-06-17T09:57:50.796443,project_02,title_only,incompleteness,zero_shot
ISSUE-38876,404 page is (unformatted) landing page,1,0,No,6a585ae9653ec273,llama3.1:8b,0,2026-06-17T09:57:51.629554,project_02,title_only,incompleteness,zero_shot
ISSUE-38300,Add a migration banner to all pages in the guides2 space,1,0,No,8bf70de92cfad2de,llama3.1:8b,0,2026-06-17T09:57:52.517317,project_02,title_only,incompleteness,zero_shot
ISSUE-38460,web site link doesn't exist,1,0,No,d210af36a73393b4,llama3.1:8b,0,2026-06-17T09:57:53.331109,project_02,title_only,incompleteness,zero_shot
ISSUE-40544,Android: documentation about how to handle Android app first run is missing,0,0,No,1defc0e171e46c52,llama3.1:8b,0,2026-06-17T09:57:54.182550,project_02,title_only,incompleteness,zero_shot
ISSUE-39279,iOS: createEmailDialog method doesn't work on some devices,1,0,No,52df64896554b58e,llama3.1:8b,0,2026-06-17T09:57:55.007965,project_02,title_only,incompleteness,zero_shot
ISSUE-38926,Update iOS Interactive Notifications guide for Apple Watch,0,0,No,452de8df6584634b,llama3.1:8b,0,2026-06-17T09:57:55.899797,project_02,title_only,incompleteness,zero_shot
ISSUE-40983,APIDoc: Remove click type events for mapview,0,0,No,a4c12a7a27d03542,llama3.1:8b,0,2026-06-17T09:57:56.773056,project_02,title_only,incompleteness,zero_shot
ISSUE-40873,APIDoc: ImageView Documentation clarification,1,0,No,bff5c9c442a41160,llama3.1:8b,0,2026-06-17T09:57:57.625159,project_02,title_only,incompleteness,zero_shot
ISSUE-38583,Nodejs reset password token,1,0,No,f22e2cf81a2ef05d,llama3.1:8b,0,2026-06-17T09:57:58.491166,project_02,title_only,incompleteness,zero_shot
ISSUE-38547,Create and publish release note for Alloy 1.9.2,0,0,No,60c121c605bb4032,llama3.1:8b,0,2026-06-17T09:57:59.370549,project_02,title_only,incompleteness,zero_shot
ISSUE-39410,"Doctools: hide ACS REST API """"pseudo types"""" in API reference TOC",0,0,No,112d2f08bc5401b7,llama3.1:8b,0,2026-06-17T09:58:00.226198,project_02,title_only,incompleteness,zero_shot
ISSUE-38316,Remove Mobile Web Support Reference from documentation,0,0,No,f01d9c6c1f486f9d,llama3.1:8b,0,2026-06-17T09:58:01.102037,project_02,title_only,incompleteness,zero_shot
ISSUE-40070,DocTools: Allow linking to guides sections by name in Cloud docs,0,0,No,2a40c4030cdd8361,llama3.1:8b,0,2026-06-17T09:58:01.974471,project_02,title_only,incompleteness,zero_shot
ISSUE-38806,Alloy Map sample code needs to be updated,1,0,No,844f35ef8914a04a,llama3.1:8b,0,2026-06-17T09:58:02.863749,project_02,title_only,incompleteness,zero_shot
ISSUE-40752,As a Titanium developer,1,0,No,22da7794148e924f,llama3.1:8b,0,2026-06-17T09:58:03.691345,project_02,title_only,incompleteness,zero_shot
ISSUE-38413,Update API Builder Doc landing page on Axway Doc Portal,0,0,No,8124360a6be4e07d,llama3.1:8b,0,2026-06-17T09:58:04.591524,project_02,title_only,incompleteness,zero_shot
ISSUE-40079,APIDoc: iOS: Sound player volume -- setting device volume,1,0,No,437f13c3ddb7a93d,llama3.1:8b,0,2026-06-17T09:58:05.467993,project_02,title_only,incompleteness,zero_shot
ISSUE-39208,Clarify 'autoStyle' docs,1,0,No,2d528e59d487b37b,llama3.1:8b,0,2026-06-17T09:58:06.318642,project_02,title_only,incompleteness,zero_shot
ISSUE-38600,Confirm and/or update Migrating Node.ACS Applications to Arrow page,0,0,No,16ef8533374162fa,llama3.1:8b,0,2026-06-17T09:58:07.194870,project_02,title_only,incompleteness,zero_shot
ISSUE-40801,APIDoc: Background Gradient options not documented,0,0,No,e477b755da8c90a0,llama3.1:8b,0,2026-06-17T09:58:08.074654,project_02,title_only,incompleteness,zero_shot
ISSUE-40937,APIDoc: Facebook code snippet not being rendered,0,0,No,c1841ce5844036d5,llama3.1:8b,0,2026-06-17T09:58:09.085329,project_02,title_only,incompleteness,zero_shot
ISSUE-38132,Create and publish release note for CLI 7.0.6.RC,0,0,No,549ecd0bea3fdafd,llama3.1:8b,0,2026-06-17T09:58:09.857735,project_02,title_only,incompleteness,zero_shot
ISSUE-38986,Android Themes guide needs serious updating,1,0,No,82815355819948c2,llama3.1:8b,0,2026-06-17T09:58:10.683534,project_02,title_only,incompleteness,zero_shot
ISSUE-38790,Update and extend guide on Transitions,1,0,No,35bbb431580de793,llama3.1:8b,0,2026-06-17T09:58:11.467499,project_02,title_only,incompleteness,zero_shot
ISSUE-38051,Ti.Platform.id documentation needs clarification,0,0,No,89fc6abfaef0420a,llama3.1:8b,0,2026-06-17T09:58:12.312006,project_02,title_only,incompleteness,zero_shot
ISSUE-38667,Create and publish Studio 4.7.1.GA release note,0,0,No,5069b6bab071852b,llama3.1:8b,0,2026-06-17T09:58:13.219788,project_02,title_only,incompleteness,zero_shot
ISSUE-38004,Link for 'Titanium.UI.iOS.SystemButton' seems to be broken,0,0,No,e5efc5a519bc11ff,llama3.1:8b,0,2026-06-17T09:58:14.106978,project_02,title_only,incompleteness,zero_shot
ISSUE-38293,Create and publish release note for SDK 6.3.0.GA,0,0,No,f049fa7b1c627b39,llama3.1:8b,0,2026-06-17T09:58:14.979233,project_02,title_only,incompleteness,zero_shot
ISSUE-39823,Guides: Update Launch options,1,0,No,7ead0d66012cfd78,llama3.1:8b,0,2026-06-17T09:58:15.839189,project_02,title_only,incompleteness,zero_shot
ISSUE-38256,Document required Android modules changes due to V8 changes,1,0,No,d93dc177d7d10800,llama3.1:8b,0,2026-06-17T09:58:16.680168,project_02,title_only,incompleteness,zero_shot
ISSUE-39381,Node.ACS cannot catch stdout & stderr from child processes forked by app,0,0,No,a7d0417bf0791231,llama3.1:8b,0,2026-06-17T09:58:17.533326,project_02,title_only,incompleteness,zero_shot
ISSUE-40888,APIDoc: remove from docs advice about passing functions cross-context,0,0,No,441c3767ea256a80,llama3.1:8b,0,2026-06-17T09:58:18.349161,project_02,title_only,incompleteness,zero_shot
ISSUE-39024,Migration: Node.ACS instructions should link new guide,0,0,No,fb7cc2be416d8059,llama3.1:8b,0,2026-06-17T09:58:19.391813,project_02,title_only,incompleteness,zero_shot
ISSUE-38189,Update Pull Request Guide and Building SDK From source,0,0,No,aa6f19e66bae2d57,llama3.1:8b,0,2026-06-17T09:58:20.287410,project_02,title_only,incompleteness,zero_shot
ISSUE-38180,Ti.UI.WebView documentation broken/missing,0,0,No,574183833ab4f626,llama3.1:8b,0,2026-06-17T09:58:21.048808,project_02,title_only,incompleteness,zero_shot
ISSUE-40251,"JDT install directions reference """"Helios"""" not """"Indigo"""" Eclipse platform",0,0,No,0e4941accbe4a730,llama3.1:8b,0,2026-06-17T09:58:21.895643,project_02,title_only,incompleteness,zero_shot
ISSUE-38133,Create and publish release note for CLI 7.0.5.GA,0,0,No,56affca7112ee11b,llama3.1:8b,0,2026-06-17T09:58:22.772707,project_02,title_only,incompleteness,zero_shot
ISSUE-40671,APIDoc: Filesystem.File.createTimestamp returns 0 on Android for resource files,0,0,No,288cbbc87eb3c0a9,llama3.1:8b,0,2026-06-17T09:58:23.635574,project_02,title_only,incompleteness,zero_shot
ISSUE-40346,APIDoc: Analytics doc should mention raw data export,0,0,No,e948cb53328a2090,llama3.1:8b,0,2026-06-17T09:58:24.517696,project_02,title_only,incompleteness,zero_shot
ISSUE-39667,ACS Custom Object Documentation Needs Corrected,0,0,No,72433fb4cf6fdcb3,llama3.1:8b,0,2026-06-17T09:58:25.351531,project_02,title_only,incompleteness,zero_shot
ISSUE-38873,Ti.UI.Android.openPreferences: Does not explain how to get a preference value,0,1,Yes,4a2d9c7919b7e8e9,llama3.1:8b,0,2026-06-17T09:58:26.195879,project_02,title_only,incompleteness,zero_shot
ISSUE-39183,Please help review the error messages of on-demand-pricing node.ACS part,0,0,No,eb333ae259afdffa,llama3.1:8b,0,2026-06-17T09:58:26.980942,project_02,title_only,incompleteness,zero_shot
ISSUE-38123,Create and publish release note for SDK 7.4.0.GA,0,0,No,243f5f4531278424,llama3.1:8b,0,2026-06-17T09:58:27.874485,project_02,title_only,incompleteness,zero_shot
ISSUE-40183,Guides: Enhance doc for installing/using modules,1,0,No,f2dc524bb23b48c1,llama3.1:8b,0,2026-06-17T09:58:28.766768,project_02,title_only,incompleteness,zero_shot
ISSUE-38293,Create and publish release note for SDK 6.3.0.GA,0,0,No,f049fa7b1c627b39,llama3.1:8b,0,2026-06-17T09:58:29.659616,project_02,title_only,incompleteness,zero_shot
ISSUE-38201,Fix/Replace links to /cloud in the wiki docs,0,0,No,a5629a4069ab9b26,llama3.1:8b,0,2026-06-17T09:58:30.509687,project_02,title_only,incompleteness,zero_shot
ISSUE-39132,Update docs template to better match new Dashboard look and feel,0,0,No,24af43b8fbe1332e,llama3.1:8b,0,2026-06-17T09:58:31.372949,project_02,title_only,incompleteness,zero_shot
ISSUE-39524,Create a new method likes/query.json,1,0,No,a00ac65fe4be2406,llama3.1:8b,0,2026-06-17T09:58:32.276120,project_02,title_only,incompleteness,zero_shot
