issue_id,title,ground_truth,prediction,raw_response,prompt_hash,model_version,temperature,timestamp_utc,project,input_mode,task,strategy
ISSUE-207056,Build badges in several github repos have stopped working,0,0,No,c0ee7328b0dcedcd,llama3.1:8b,0,2026-06-17T10:31:52.430709,project_03,title_only,ambiguity,zero_shot
ISSUE-206571,Indy-sdk integration,0,0,No,721c525bb0178507,llama3.1:8b,0,2026-06-17T10:31:53.203581,project_03,title_only,ambiguity,zero_shot
ISSUE-205754,Assist EV QA,0,0,No,429042a8e643a971,llama3.1:8b,0,2026-06-17T10:31:54.066229,project_03,title_only,ambiguity,zero_shot
ISSUE-206786,I should be able to load a .sovrin file from a URL directly into the CLI,0,0,No,cf1b12cf9f36fbbd,llama3.1:8b,0,2026-06-17T10:31:54.937909,project_03,title_only,ambiguity,zero_shot
ISSUE-206184,Configurations should contain certain version of pip,0,1,Yes,6ef3c2e9b3a035f1,llama3.1:8b,0,2026-06-17T10:31:55.783650,project_03,title_only,ambiguity,zero_shot
ISSUE-205916,read_ledger tool is not able to read the sovrin plugin ledger,0,1,Yes,420290e6ac0a2ad7,llama3.1:8b,0,2026-06-17T10:31:56.648897,project_03,title_only,ambiguity,zero_shot
ISSUE-206000,AttributeError: 'NoneType' object has no attribute 'request' during load,0,0,No,c7a9427c36adbe87,llama3.1:8b,0,2026-06-17T10:31:57.440107,project_03,title_only,ambiguity,zero_shot
ISSUE-207179,Make sure Nodes upgrade eagerly,1,1,Yes,4713d20afdab90b5,llama3.1:8b,0,2026-06-17T10:31:58.293395,project_03,title_only,ambiguity,zero_shot
ISSUE-207175,Testing: do a lot of concurrent writes and reads to same values,1,1,Yes,861d4f58956ceab2,llama3.1:8b,0,2026-06-17T10:31:59.316166,project_03,title_only,ambiguity,zero_shot
ISSUE-205301,Responses to client validator info requests very slow on a StagingNet node,0,0,No,044eaa5b7ad3a70d,llama3.1:8b,0,2026-06-17T10:32:00.067127,project_03,title_only,ambiguity,zero_shot
ISSUE-206412,Create Entity Relationship Diagram of current ledger objects including primary and secondary keys used to link each object together.,0,1,Yes,ea182d32de98729b,llama3.1:8b,0,2026-06-17T10:32:00.885993,project_03,title_only,ambiguity,zero_shot
ISSUE-206580,Explore: Can doing a ping in the Getting Started Tutorial delete the active wallet,0,1,Yes,71dbe3cd5488267b,llama3.1:8b,0,2026-06-17T10:32:01.778772,project_03,title_only,ambiguity,zero_shot
ISSUE-206497,Unclear messages appear during reading transactions,0,1,Yes,0ec33622b8796232,llama3.1:8b,0,2026-06-17T10:32:02.583411,project_03,title_only,ambiguity,zero_shot
ISSUE-205266,1.10.0 Release,0,0,No,d7f88c132af69acd,llama3.1:8b,0,2026-06-17T10:32:03.428083,project_03,title_only,ambiguity,zero_shot
ISSUE-206591,Incubation: Remove all non-Indy branding from indy-anoncreds repo,0,0,No,ee0831443878e57f,llama3.1:8b,0,2026-06-17T10:32:04.294330,project_03,title_only,ambiguity,zero_shot
ISSUE-207055,Make the tests working using pure pytest,0,1,Yes,9b79d5b821f814d3,llama3.1:8b,0,2026-06-17T10:32:05.195839,project_03,title_only,ambiguity,zero_shot
ISSUE-206198,The node blacklisted the remaining nodes during network problems,0,1,Yes,205ba77033eac152,llama3.1:8b,0,2026-06-17T10:32:06.004329,project_03,title_only,ambiguity,zero_shot
ISSUE-205670,Tests using the sdk fail on the master branch,0,0,No,89040180101aeade,llama3.1:8b,0,2026-06-17T10:32:06.871640,project_03,title_only,ambiguity,zero_shot
ISSUE-205185,Write a script to upgrade audit ledger for the new state recovered from ledger,0,1,Yes,6eef2143913de75d,llama3.1:8b,0,2026-06-17T10:32:07.700310,project_03,title_only,ambiguity,zero_shot
ISSUE-205803,Find out maximal pool performance numbers for mixed mode (read and write),0,1,Yes,be41968b28a2206f,llama3.1:8b,0,2026-06-17T10:32:08.578459,project_03,title_only,ambiguity,zero_shot
ISSUE-206213,Read-ledger without storage copy in case of RocksDB (RocksDB read-only mode support),0,1,Yes,52d393a5f5771ebe,llama3.1:8b,0,2026-06-17T10:32:09.400150,project_03,title_only,ambiguity,zero_shot
ISSUE-205553,Node that does not upgrade spams the config ledger,0,1,Yes,63b96d1ba855256f,llama3.1:8b,0,2026-06-17T10:32:10.271918,project_03,title_only,ambiguity,zero_shot
ISSUE-206193,[QA] Script for filling the ledger doesn't work,1,0,No,2cf0c040a69dcf21,llama3.1:8b,0,2026-06-17T10:32:11.093225,project_03,title_only,ambiguity,zero_shot
ISSUE-207334,Send NYM command is not executed on Shakedown Pool 1,0,0,No,c0017b413c018407,llama3.1:8b,0,2026-06-17T10:32:11.975233,project_03,title_only,ambiguity,zero_shot
ISSUE-206998,roll back default where zmq high water mark = 0,0,1,Yes,14a8b25d95f428d9,llama3.1:8b,0,2026-06-17T10:32:12.821203,project_03,title_only,ambiguity,zero_shot
ISSUE-206222,Errors with configs during installation,1,0,No,90a2394087d18078,llama3.1:8b,0,2026-06-17T10:32:13.652538,project_03,title_only,ambiguity,zero_shot
ISSUE-207211,Node crashes if out of disk space,0,0,No,95b6b84db79f9681,llama3.1:8b,0,2026-06-17T10:32:14.436329,project_03,title_only,ambiguity,zero_shot
ISSUE-205565,Unable to choose volume type using pool automation scripts,0,0,No,7ca20af79f14ee06,llama3.1:8b,0,2026-06-17T10:32:15.297504,project_03,title_only,ambiguity,zero_shot
ISSUE-205746,1.6.74 Release,0,0,No,150660c21d224d27,llama3.1:8b,0,2026-06-17T10:32:16.093335,project_03,title_only,ambiguity,zero_shot
ISSUE-207177,"Ledgers """"stall"""" gracefully",1,1,Yes,a6a6bc49e70de71a,llama3.1:8b,0,2026-06-17T10:32:16.915387,project_03,title_only,ambiguity,zero_shot
ISSUE-207246,Sovrin-Client: Show command cannot show files with space in the name,0,1,Yes,0e9a78c7816b6abb,llama3.1:8b,0,2026-06-17T10:32:17.792628,project_03,title_only,ambiguity,zero_shot
ISSUE-207346,Unexpected behavior of the testSendNodeSucceedsIfServicesIsMissed test,0,1,Yes,64648c5cd159f0cb,llama3.1:8b,0,2026-06-17T10:32:18.621489,project_03,title_only,ambiguity,zero_shot
ISSUE-207079,Node with malformed ldb files has inconsistent behavior,1,0,No,eeafc696bef2cea1,llama3.1:8b,0,2026-06-17T10:32:19.444280,project_03,title_only,ambiguity,zero_shot
ISSUE-205870,Node can't catch up large ledger,0,1,Yes,f40120e9f5ed3917,llama3.1:8b,0,2026-06-17T10:32:20.275360,project_03,title_only,ambiguity,zero_shot
ISSUE-207163,F-value tests: How many nodes can I lose before the network stops? Is it 2f+1? Is it n-f?,0,1,Yes,9061a3828af17475,llama3.1:8b,0,2026-06-17T10:32:21.466358,project_03,title_only,ambiguity,zero_shot
ISSUE-205602,Write and Read request flow,0,1,Yes,3170d75a16a1d67c,llama3.1:8b,0,2026-06-17T10:32:22.327251,project_03,title_only,ambiguity,zero_shot
ISSUE-207255,Sovrin-Client: Show file command of not much use,0,1,Yes,e7e2c5476537f4f7,llama3.1:8b,0,2026-06-17T10:32:23.109221,project_03,title_only,ambiguity,zero_shot
ISSUE-205400,Update docs for Transaction Author agreement,0,0,No,0ec9b5f5b5c685aa,llama3.1:8b,0,2026-06-17T10:32:23.914143,project_03,title_only,ambiguity,zero_shot
ISSUE-205519,Incorrect pool upgrade txn validation,0,0,No,1955285ee865ad00,llama3.1:8b,0,2026-06-17T10:32:24.787221,project_03,title_only,ambiguity,zero_shot
ISSUE-205808,Performance of monitor should be improved,1,1,Yes,c7e8c3494922c941,llama3.1:8b,0,2026-06-17T10:32:25.655014,project_03,title_only,ambiguity,zero_shot
ISSUE-205232,PBFT View Change Debug: Part 2,0,0,No,59394fda10becdac,llama3.1:8b,0,2026-06-17T10:32:26.556400,project_03,title_only,ambiguity,zero_shot
