issue_id,title,ground_truth,prediction,raw_response,prompt_hash,model_version,temperature,timestamp_utc,project,input_mode,task,strategy
ISSUE-253177,Inconsistent output between java driver and mongo shell,0,0,No,3eb2176635a6cd06,qwen2.5:14b,0,2026-06-17T18:27:12.527967,project_05,title_only,ambiguity,few_shot
ISSUE-253467,size not accepting $numberlong argument,0,0,No,8a5d9719ff42abce,qwen2.5:14b,0,2026-06-17T18:27:13.507373,project_05,title_only,ambiguity,few_shot
ISSUE-253452,MongoCollection.insertOne throws NullPointerException with WriteConcern.UNACKNOWLEDGED & retryWrites=true,0,0,No,6da1f8b1ff1d3545,qwen2.5:14b,0,2026-06-17T18:27:14.557987,project_05,title_only,ambiguity,few_shot
ISSUE-253505,Add an option to toggle SSL certificate validation,0,0,No,566e1c30ca8d853f,qwen2.5:14b,0,2026-06-17T18:27:15.557428,project_05,title_only,ambiguity,few_shot
ISSUE-255080,JSON parser parses braces incorrectly,1,0,No,e7379c00d4858f46,qwen2.5:14b,0,2026-06-17T18:27:16.519773,project_05,title_only,ambiguity,few_shot
ISSUE-255534,Looking for performance tips loading results from a find() with the java driver.,0,0,No,8e121f20a229f97f,qwen2.5:14b,0,2026-06-17T18:27:17.555881,project_05,title_only,ambiguity,few_shot
ISSUE-255332,Binary field $type is represented in JSON as a number instead of a two-byte hex string,0,0,No,2f9700c3a10e8e44,qwen2.5:14b,0,2026-06-17T18:27:18.539571,project_05,title_only,ambiguity,few_shot
ISSUE-254781,Iterable Codec,1,1,Yes,4c4f89546f9fa28c,qwen2.5:14b,0,2026-06-17T18:27:19.549249,project_05,title_only,ambiguity,few_shot
ISSUE-254021,NettyStream does not handle clean socket closures from the server,0,0,No,3881a93e3d0502e1,qwen2.5:14b,0,2026-06-17T18:27:20.564672,project_05,title_only,ambiguity,few_shot
ISSUE-255615,Include cursor-id in CursorNotFound exception,0,0,No,aa2eb1422ebb4abc,qwen2.5:14b,0,2026-06-17T18:27:21.591924,project_05,title_only,ambiguity,few_shot
ISSUE-254855,Discrimination in Jackson-Codec,1,1,Yes,bd105827ab8cef4c,qwen2.5:14b,0,2026-06-17T18:27:22.532722,project_05,title_only,ambiguity,few_shot
ISSUE-256012,Add w/wtimeout to WriteConcern (getLastError),0,0,No,f4588bc06a7faf85,qwen2.5:14b,0,2026-06-17T18:27:23.569774,project_05,title_only,ambiguity,few_shot
ISSUE-253265,Provide an option to use pooled NIO direct buffers to minimise impact on GC,0,0,No,a6ffb22471a6dc99,qwen2.5:14b,0,2026-06-17T18:27:24.538899,project_05,title_only,ambiguity,few_shot
ISSUE-254440,DocumentCodec and DBObjectCodec treat nested Maps/Iterables differently,0,0,No,a03b412a88f65897,qwen2.5:14b,0,2026-06-17T18:27:25.549894,project_05,title_only,ambiguity,few_shot
ISSUE-255480,Secondary reads on lists of mongos fail until first write,0,0,No,7fd18ca54b7af513,qwen2.5:14b,0,2026-06-17T18:27:26.557500,project_05,title_only,ambiguity,few_shot
ISSUE-255171,Saved extra fields for Gridfs does not go in metadata sub-document,0,0,No,52628fe853ecab63,qwen2.5:14b,0,2026-06-17T18:27:27.431663,project_05,title_only,ambiguity,few_shot
ISSUE-254446,Repeated connection with expected authentication errors is not deterministic,0,1,Yes,4014ba513693c9ec,qwen2.5:14b,0,2026-06-17T18:27:28.567636,project_05,title_only,ambiguity,few_shot
ISSUE-254233,Custom logging implementation,1,1,Yes,dc3f567f2294357c,qwen2.5:14b,0,2026-06-17T18:27:29.526927,project_05,title_only,ambiguity,few_shot
ISSUE-252701,Update documentation for Text Search,0,0,No,5acef341c418eb6b,qwen2.5:14b,0,2026-06-17T18:27:30.544322,project_05,title_only,ambiguity,few_shot
ISSUE-255572,Morphia Integration in java driver,0,1,Yes,c1a40fef8dbdca61,qwen2.5:14b,0,2026-06-17T18:27:31.514306,project_05,title_only,ambiguity,few_shot
ISSUE-255511,Respect the QueryFailure response flag in OP_REPLY,0,0,No,aee84262cef9d58c,qwen2.5:14b,0,2026-06-17T18:27:32.480682,project_05,title_only,ambiguity,few_shot
ISSUE-254614,2.12.x breaks compatibility with mongoDB v1.8,0,0,No,a3ea514412f9d778,qwen2.5:14b,0,2026-06-17T18:27:33.516735,project_05,title_only,ambiguity,few_shot
ISSUE-253354,Deprecate DBCursor#addSpecial,0,0,No,d47d1cba02a7bd19,qwen2.5:14b,0,2026-06-17T18:27:34.503299,project_05,title_only,ambiguity,few_shot
ISSUE-255153,update description of fsync write concern flag,0,0,No,6e83f9aabec56f69,qwen2.5:14b,0,2026-06-17T18:27:35.559643,project_05,title_only,ambiguity,few_shot
ISSUE-255938,DBCursor.copy() does not copy batch size,0,0,No,f23bb141521dbbd3,qwen2.5:14b,0,2026-06-17T18:27:36.569318,project_05,title_only,ambiguity,few_shot
ISSUE-253697,"upload mo artifacts"""" Evergreen post-task is failing",0,1,Yes,a80ab1ef9b02d16e,qwen2.5:14b,0,2026-06-17T18:27:37.556207,project_05,title_only,ambiguity,few_shot
ISSUE-253111,minWireVersion is 1 but it should be 2,0,0,No,9108bf6d1d0d9862,qwen2.5:14b,0,2026-06-17T18:27:38.554311,project_05,title_only,ambiguity,few_shot
ISSUE-252640,Documentation links 404,0,0,No,78d7d8a52157d2c5,qwen2.5:14b,0,2026-06-17T18:27:39.596827,project_05,title_only,ambiguity,few_shot
ISSUE-255236,DBObject.equals can fail when binary data exists,0,0,No,9c09067f4e6cb68c,qwen2.5:14b,0,2026-06-17T18:27:40.575530,project_05,title_only,ambiguity,few_shot
ISSUE-255324,Increase GridFS max chunk size,0,0,No,deca84f8c2708c90,qwen2.5:14b,0,2026-06-17T18:27:41.563471,project_05,title_only,ambiguity,few_shot
ISSUE-254743,Server selection exception should chain exceptions from server monitors,0,0,No,db2a4870ea97e5ae,qwen2.5:14b,0,2026-06-17T18:27:42.596872,project_05,title_only,ambiguity,few_shot
ISSUE-253069,Remove mongodb-driver-embedded-android package,0,0,No,c6f6b79611b94110,qwen2.5:14b,0,2026-06-17T18:27:43.541977,project_05,title_only,ambiguity,few_shot
ISSUE-254867,Add type-safe jsMode support in MapReduceCommand,0,0,No,a3d0f9bebf91d3c9,qwen2.5:14b,0,2026-06-17T18:27:44.573625,project_05,title_only,ambiguity,few_shot
ISSUE-252707,Storing unsigned integer to Mongodb from java,0,0,No,a6ba3b4397736f40,qwen2.5:14b,0,2026-06-17T18:27:45.568644,project_05,title_only,ambiguity,few_shot
ISSUE-255700,Possible bug with JSON parser,0,1,Yes,58916cde3b83bbb9,qwen2.5:14b,0,2026-06-17T18:27:46.562880,project_05,title_only,ambiguity,few_shot
ISSUE-253917,$geoNear Aggregation pipeline in Mongo JAVA driver,0,0,No,41e4655c964490d9,qwen2.5:14b,0,2026-06-17T18:27:47.478001,project_05,title_only,ambiguity,few_shot
ISSUE-254894,The aggregation method is inaccurately showing type,0,1,Yes,0dc95372efa0782a,qwen2.5:14b,0,2026-06-17T18:27:48.578135,project_05,title_only,ambiguity,few_shot
ISSUE-253334,Deprecate MongoIterable#forEach,1,0,No,9f5b39e4a1d4e5cf,qwen2.5:14b,0,2026-06-17T18:27:49.581846,project_05,title_only,ambiguity,few_shot
ISSUE-255443,Errors when DBRef's $id is Object instead of simple value,0,0,No,60c1167455ea1b50,qwen2.5:14b,0,2026-06-17T18:27:50.590815,project_05,title_only,ambiguity,few_shot
ISSUE-253221,mongodb+srv schema can cause NullPointerException,0,0,No,663b64bff7b5540b,qwen2.5:14b,0,2026-06-17T18:27:51.779365,project_05,title_only,ambiguity,few_shot
ISSUE-253502,Re-enable write concern tests for dropDatabase command,0,0,No,c7392fe9ed1bb76c,qwen2.5:14b,0,2026-06-17T18:27:52.584617,project_05,title_only,ambiguity,few_shot
ISSUE-255435,Thread Locals not being freed in thread pool,0,0,No,ce32b2e62a223aed,qwen2.5:14b,0,2026-06-17T18:27:53.775853,project_05,title_only,ambiguity,few_shot
ISSUE-255744,authentication for replica set fails frequently because 'getnonce' and 'authenticate' command is issued to different server,0,0,No,3c0dd415f1562b41,qwen2.5:14b,0,2026-06-17T18:27:54.609775,project_05,title_only,ambiguity,few_shot
ISSUE-255326,No Such Method Exception When Instantiating Mongo Client,0,0,No,0d95df763d155b64,qwen2.5:14b,0,2026-06-17T18:27:55.573393,project_05,title_only,ambiguity,few_shot
ISSUE-255548,Stackoverflow when querying document with cycle reference using DBRef,0,0,No,cf31cdcbfc8987db,qwen2.5:14b,0,2026-06-17T18:27:56.575179,project_05,title_only,ambiguity,few_shot
ISSUE-254528,Add MongoCollection.dropIndex(Bson keys),0,0,No,985b8ad5bc004e6f,qwen2.5:14b,0,2026-06-17T18:27:57.593052,project_05,title_only,ambiguity,few_shot
ISSUE-254203,Add equals() and toString() to Updates,0,0,No,dc50c499a46c336d,qwen2.5:14b,0,2026-06-17T18:27:58.597726,project_05,title_only,ambiguity,few_shot
ISSUE-254082,Connection and thread leakage in DefaultServerMonitor,0,0,No,bb4c08ab13b64470,qwen2.5:14b,0,2026-06-17T18:27:59.593226,project_05,title_only,ambiguity,few_shot
ISSUE-253763,Reduce size of Evergreen matrix,0,1,Yes,d90993ce54aad202,qwen2.5:14b,0,2026-06-17T18:28:00.568616,project_05,title_only,ambiguity,few_shot
ISSUE-254130,Ensure Loggers are past to ErrorHandlingCallbacks,0,1,Yes,ccabc7cdd4cd0aa7,qwen2.5:14b,0,2026-06-17T18:28:01.644898,project_05,title_only,ambiguity,few_shot
ISSUE-253459,how to implement nested query in java API,0,1,Yes,a1c88b4e3b6f0719,qwen2.5:14b,0,2026-06-17T18:28:02.617775,project_05,title_only,ambiguity,few_shot
ISSUE-255998,Tried to save too large of an object. max size: 2098176,0,0,No,2022e270a0dff941,qwen2.5:14b,0,2026-06-17T18:28:03.636120,project_05,title_only,ambiguity,few_shot
ISSUE-254903,REPLICA_ACKNOWLEDGED not working at the time of arbiter Node,0,0,No,8f31b48b827231c5,qwen2.5:14b,0,2026-06-17T18:28:04.611171,project_05,title_only,ambiguity,few_shot
ISSUE-253040,mavenLocal should be first repository,0,0,No,d087c22d1e3fa88c,qwen2.5:14b,0,2026-06-17T18:28:05.572811,project_05,title_only,ambiguity,few_shot
ISSUE-255829,Publish maven SNAPSHOTs,0,1,Yes,a4b8f531479a1aeb,qwen2.5:14b,0,2026-06-17T18:28:06.597848,project_05,title_only,ambiguity,few_shot
ISSUE-253678,Document new Pojo updates,0,1,Yes,055def2b912cd6fe,qwen2.5:14b,0,2026-06-17T18:28:07.587095,project_05,title_only,ambiguity,few_shot
ISSUE-255807,Allow bson decoder per operation (find/cusor),0,0,No,3dc86768c53a9219,qwen2.5:14b,0,2026-06-17T18:28:08.598331,project_05,title_only,ambiguity,few_shot
ISSUE-252979,Remove CLIRR support from the build,0,0,No,7a92c1d198e8cc14,qwen2.5:14b,0,2026-06-17T18:28:09.562887,project_05,title_only,ambiguity,few_shot
ISSUE-252775,Multiple reads of BsonBinary UUID return different results,0,0,No,03a0abba8095f172,qwen2.5:14b,0,2026-06-17T18:28:10.622232,project_05,title_only,ambiguity,few_shot
ISSUE-254111,Allow setting of standard server selection and server monitoring options in the connection string,0,0,No,aea0cf9c3dad8684,qwen2.5:14b,0,2026-06-17T18:28:11.550933,project_05,title_only,ambiguity,few_shot
ISSUE-255459,Aggregate and mapReduce commands sent to mongos break when setting read preference,0,0,No,507f503a954d13c7,qwen2.5:14b,0,2026-06-17T18:28:12.596680,project_05,title_only,ambiguity,few_shot
ISSUE-253919,DBCollection.distinct() fails when a null value is in the result,0,0,No,00246b4dcbe89673,qwen2.5:14b,0,2026-06-17T18:28:13.624842,project_05,title_only,ambiguity,few_shot
ISSUE-254628,Force slaveOK on a direct connection to a replica set membe,0,0,No,b3438e429a15fbc4,qwen2.5:14b,0,2026-06-17T18:28:14.596002,project_05,title_only,ambiguity,few_shot
ISSUE-255956,Use weakrefs for static list of Mongo instances,0,0,No,ebce45d252e68cd4,qwen2.5:14b,0,2026-06-17T18:28:15.553407,project_05,title_only,ambiguity,few_shot
ISSUE-253509,Make Java driver spec compliant - FY2019Q2,0,0,No,993e2eba859faab4,qwen2.5:14b,0,2026-06-17T18:28:16.609440,project_05,title_only,ambiguity,few_shot
ISSUE-252673,GetMore not closing cursor after exception leading mongos to OOM,0,0,No,423c546bb8529691,qwen2.5:14b,0,2026-06-17T18:28:17.605276,project_05,title_only,ambiguity,few_shot
ISSUE-254365,Remove errant Javadoc for w = -1 in WriteConcern constructors.,0,0,No,1a324e64f76f550d,qwen2.5:14b,0,2026-06-17T18:28:18.584023,project_05,title_only,ambiguity,few_shot
ISSUE-253861,Add to Enum<JsonMode>,1,1,Yes,6228e4e099637998,qwen2.5:14b,0,2026-06-17T18:28:19.597844,project_05,title_only,ambiguity,few_shot
ISSUE-254940,Consider supporting writetimeout for sockets implementations that support it,0,1,Yes,a826df4b39c07707,qwen2.5:14b,0,2026-06-17T18:28:20.572656,project_05,title_only,ambiguity,few_shot
ISSUE-252879,MongoClient.listCollectionNames() returns truncated names,0,0,No,a4d475c0eb726324,qwen2.5:14b,0,2026-06-17T18:28:21.627265,project_05,title_only,ambiguity,few_shot
