issue_id,title,ground_truth,prediction,raw_response,prompt_hash,model_version,temperature,timestamp_utc,project,input_mode,task,strategy
ISSUE-2087,CLI error when not specifying module type in module commands is cryptic an not helpful,0,0,No,2f33fa903c8a0d0d,qwen2.5:14b,0,2026-06-17T15:14:38.987409,project_01,title_desc,incompleteness,few_shot
ISSUE-2338,Error in correlation strategy in aggregator.xml,0,1,Yes,0b14529efe9d3f17,qwen2.5:14b,0,2026-06-17T15:14:39.871538,project_01,title_desc,incompleteness,few_shot
ISSUE-0972,deploy-working-dir is set to to root directory when container is started as service,0,0,No,472305edacffd464,qwen2.5:14b,0,2026-06-17T15:14:41.377421,project_01,title_desc,incompleteness,few_shot
ISSUE-2665,Spike to model the cluster nodes.,0,1,Yes,ec1a860c5bd5221b,qwen2.5:14b,0,2026-06-17T15:14:42.400705,project_01,title_desc,incompleteness,few_shot
ISSUE-1414,Rename metrics repositories setValue(x,1,1,Yes,887fa56a7efe6e09,qwen2.5:14b,0,2026-06-17T15:14:43.176199,project_01,title_desc,incompleteness,few_shot
ISSUE-0394,Tasks Launcher should be able to record status to a central repository,0,1,Yes,c0818ddc2ff087fd,qwen2.5:14b,0,2026-06-17T15:14:44.246182,project_01,title_desc,incompleteness,few_shot
ISSUE-2850,Richer module options metadata,0,0,No,44d43e341c3d0fcf,qwen2.5:14b,0,2026-06-17T15:14:45.311261,project_01,title_desc,incompleteness,few_shot
ISSUE-0549,Port FTP as s-c-s source module,0,1,Yes,07f67769cd6fb8ef,qwen2.5:14b,0,2026-06-17T15:14:46.275554,project_01,title_desc,incompleteness,few_shot
ISSUE-2979,Change url to access UI from browser,0,1,Yes,2e7128ff36d86f6d,qwen2.5:14b,0,2026-06-17T15:14:47.187752,project_01,title_desc,incompleteness,few_shot
ISSUE-0714,Add Logging to ZooKeeperContainerRepository,0,0,No,e98096a1d9815d40,qwen2.5:14b,0,2026-06-17T15:14:48.216573,project_01,title_desc,incompleteness,few_shot
ISSUE-1907,DefaultContainerMatcher - Improve Logging and mention affected Module,0,0,No,80ba76a812974813,qwen2.5:14b,0,2026-06-17T15:14:49.206774,project_01,title_desc,incompleteness,few_shot
ISSUE-1146,http-client Improvement (userDefinedHeaderPrefix),0,1,Yes,cee2ed2eb3760ecd,qwen2.5:14b,0,2026-06-17T15:14:50.206668,project_01,title_desc,incompleteness,few_shot
ISSUE-3079,Deploy a new job module *after* XD-singlenode container has started.,0,1,Yes,d0596d6318e8c0d1,qwen2.5:14b,0,2026-06-17T15:14:51.216695,project_01,title_desc,incompleteness,few_shot
ISSUE-0367,Spike: Study scope to add support for hdfs commands in shell,0,1,Yes,93af8f53b242c39c,qwen2.5:14b,0,2026-06-17T15:14:52.226817,project_01,title_desc,incompleteness,few_shot
ISSUE-3374,Documentation for AggregateCounter,0,1,Yes,094cc6595d35883a,qwen2.5:14b,0,2026-06-17T15:14:53.219236,project_01,title_desc,incompleteness,few_shot
ISSUE-0460,First deploy/launch of Pig job that includes yarn-site.xml file fails,0,0,No,23592b16cd4f2fb6,qwen2.5:14b,0,2026-06-17T15:14:54.219121,project_01,title_desc,incompleteness,few_shot
ISSUE-0456,Refactor Task parsing,0,0,No,fb5ba724db728b52,qwen2.5:14b,0,2026-06-17T15:14:55.178017,project_01,title_desc,incompleteness,few_shot
ISSUE-3038,Add Spring XD Build Plan for Java 8 to Bamboo,0,1,Yes,4b541f1997cd3bec,qwen2.5:14b,0,2026-06-17T15:14:56.201732,project_01,title_desc,incompleteness,few_shot
ISSUE-0976,Create a gpload batch job,0,1,Yes,64c9405b5dca1c08,qwen2.5:14b,0,2026-06-17T15:14:57.187070,project_01,title_desc,incompleteness,few_shot
ISSUE-1548,Document the configuration of the JobRepository,0,1,Yes,5960636eedc9788f,qwen2.5:14b,0,2026-06-17T15:14:58.201588,project_01,title_desc,incompleteness,few_shot
ISSUE-1672,Add Basic Auth support,0,0,No,c953fd32bdd89432,qwen2.5:14b,0,2026-06-17T15:14:59.157959,project_01,title_desc,incompleteness,few_shot
ISSUE-1002,Remove Reactor Stream processor from ref docs to spring-xd-modules,0,1,Yes,79c9827e5a94d2db,qwen2.5:14b,0,2026-06-17T15:15:00.192385,project_01,title_desc,incompleteness,few_shot
ISSUE-0927,Add support to deploy stream in a single container,0,1,Yes,92c845fd15f6d8fc,qwen2.5:14b,0,2026-06-17T15:15:01.206273,project_01,title_desc,incompleteness,few_shot
ISSUE-0336,[Int Tests] Enhance test coverage for Lattice SPI,0,1,Yes,f08414461d63dceb,qwen2.5:14b,0,2026-06-17T15:15:02.188822,project_01,title_desc,incompleteness,few_shot
ISSUE-2604,JobPlugin - Use containsKey when checking for Parameters,0,1,Yes,37f852c7155def7d,qwen2.5:14b,0,2026-06-17T15:15:03.171832,project_01,title_desc,incompleteness,few_shot
ISSUE-1900,Enable FtpHdfsTest,0,1,Yes,1a1e4582d75a3dcf,qwen2.5:14b,0,2026-06-17T15:15:04.198950,project_01,title_desc,incompleteness,few_shot
ISSUE-0514,Add PHD HDFS as s-c-s module,0,1,Yes,0a14249244b8745e,qwen2.5:14b,0,2026-06-17T15:15:05.190243,project_01,title_desc,incompleteness,few_shot
ISSUE-1536,CompositeModuleDefinition should contain more than List<ModuleDefinition>,0,1,Yes,9ee1b86921ffbbfa,qwen2.5:14b,0,2026-06-17T15:15:06.177540,project_01,title_desc,incompleteness,few_shot
ISSUE-2545,Provide a clean way to get a reference to the MessageBus running in SingleNodeApplication,0,1,Yes,fce71c53f451fed6,qwen2.5:14b,0,2026-06-17T15:15:07.347581,project_01,title_desc,incompleteness,few_shot
ISSUE-3424,Final review of REST API structure document for streams,0,1,Yes,7d9c38add4e701f9,qwen2.5:14b,0,2026-06-17T15:15:08.168641,project_01,title_desc,incompleteness,few_shot
ISSUE-2913,Change default admin port from 8080,0,1,Yes,b884d7f915bf5dc3,qwen2.5:14b,0,2026-06-17T15:15:09.348585,project_01,title_desc,incompleteness,few_shot
ISSUE-2866,Find runtime modules by type and/or name,0,1,Yes,a1d214003c09de59,qwen2.5:14b,0,2026-06-17T15:15:10.205134,project_01,title_desc,incompleteness,few_shot
ISSUE-1470,User wants to package and deploy an XD application,0,1,Yes,fbd616f9550d53fe,qwen2.5:14b,0,2026-06-17T15:15:11.172970,project_01,title_desc,incompleteness,few_shot
ISSUE-0697,Create a spark standalone cluster on CI to run spark streaming tests,0,1,Yes,12dc3f1c4f6ce455,qwen2.5:14b,0,2026-06-17T15:15:12.139087,project_01,title_desc,incompleteness,few_shot
ISSUE-0518,Port Redis counter as s-c-s sink,0,1,Yes,5dfa656c7c53ef2d,qwen2.5:14b,0,2026-06-17T15:15:13.176300,project_01,title_desc,incompleteness,few_shot
ISSUE-1072,Large number of required options in jdbc sink definition,0,0,No,d15f0a4890b18716,qwen2.5:14b,0,2026-06-17T15:15:14.256973,project_01,title_desc,incompleteness,few_shot
ISSUE-1097,Temp files for stream create not being cleaned,0,0,No,0aa62f5d54ee30b9,qwen2.5:14b,0,2026-06-17T15:15:15.396362,project_01,title_desc,incompleteness,few_shot
ISSUE-2832,The HDFS Sink should support compressing files as they are copied,0,1,Yes,cbc2fcdd814ade51,qwen2.5:14b,0,2026-06-17T15:15:16.304385,project_01,title_desc,incompleteness,few_shot
ISSUE-1088,HDFS StoreMessageHandlers are not very resilient,0,0,No,372e0aa0e69eb56d,qwen2.5:14b,0,2026-06-17T15:15:17.211607,project_01,title_desc,incompleteness,few_shot
ISSUE-0993,XD on Lattice POC,0,1,Yes,73842c386dd86b21,qwen2.5:14b,0,2026-06-17T15:15:18.194529,project_01,title_desc,incompleteness,few_shot
ISSUE-3212,Parsing stream definition with parameter containing single quotes not working,0,0,No,ac622eec4669ba30,qwen2.5:14b,0,2026-06-17T15:15:19.250249,project_01,title_desc,incompleteness,few_shot
ISSUE-0131,Support partitioning for Kafka even if count == 1,0,1,Yes,5bcddec273c47bae,qwen2.5:14b,0,2026-06-17T15:15:20.231865,project_01,title_desc,incompleteness,few_shot
ISSUE-2806,User should be able to view the list of all the job definitions,0,0,No,880eda25f3bcf7ef,qwen2.5:14b,0,2026-06-17T15:15:21.199567,project_01,title_desc,incompleteness,few_shot
