issue_id,title,ground_truth,prediction,raw_response,prompt_hash,model_version,temperature,timestamp_utc
ISSUE-0001,Fix login bug #1,0,1,Yes,d835c94a8bb69a97,qwen2.5:14b,0,2026-06-08T18:43:08.810311+00:00
ISSUE-0002,Update UI #2,1,1,Yes,b007a1bb748c41c9,qwen2.5:14b,0,2026-06-08T18:43:09.320689+00:00
ISSUE-0003,Add export feature #3,0,0,No,591815170004b5fa,qwen2.5:14b,0,2026-06-08T18:43:10.278932+00:00
ISSUE-0004,Performance issue #4,0,1,Yes,9d3fd0c3d80534e4,qwen2.5:14b,0,2026-06-08T18:43:11.271484+00:00
ISSUE-0005,Null pointer exception #5,1,0,No,2a0e7d25476c3dda,qwen2.5:14b,0,2026-06-08T18:43:12.317230+00:00
ISSUE-0006,Search not working #6,0,1,Yes,eb162b31c6df02ed,qwen2.5:14b,0,2026-06-08T18:43:13.313595+00:00
ISSUE-0007,Add dark mode #7,0,0,No,3b8175408a5cb36b,qwen2.5:14b,0,2026-06-08T18:43:14.276563+00:00
ISSUE-0008,Crash on startup #8,0,0,No,2ebd11b0c074bb35,qwen2.5:14b,0,2026-06-08T18:43:15.324412+00:00
ISSUE-0009,Email validation #9,1,0,No,2a2e081451881784,qwen2.5:14b,0,2026-06-08T18:43:16.310747+00:00
ISSUE-0010,Database timeout #10,1,0,No,649c2ff73bfe5cbf,qwen2.5:14b,0,2026-06-08T18:43:17.297114+00:00
ISSUE-0011,Missing error handling #11,0,1,Yes,8968b9cb1e36ccce,qwen2.5:14b,0,2026-06-08T18:43:18.317752+00:00
ISSUE-0012,API rate limiting #12,1,0,No,65935fbd0ee2335d,qwen2.5:14b,0,2026-06-08T18:43:19.349869+00:00
ISSUE-0013,Button color #13,1,1,Yes,7274547c12c52bb2,qwen2.5:14b,0,2026-06-08T18:43:20.338869+00:00
ISSUE-0014,Memory leak #14,0,0,No,85d276f624c954ae,qwen2.5:14b,0,2026-06-08T18:43:21.340006+00:00
ISSUE-0015,Update docs #15,0,1,Yes,3973cc4b5c2c91e0,qwen2.5:14b,0,2026-06-08T18:43:22.330960+00:00
ISSUE-0016,File upload fails #16,1,0,No,91c41fed6cb2698a,qwen2.5:14b,0,2026-06-08T18:43:23.341669+00:00
ISSUE-0017,Wrong total #17,1,1,Yes,462f23ec6fdf5e4e,qwen2.5:14b,0,2026-06-08T18:43:24.332600+00:00
ISSUE-0018,Session expiry #18,1,0,No,e2afb4e0dbaf6d3a,qwen2.5:14b,0,2026-06-08T18:43:25.370287+00:00
ISSUE-0019,Fix typo #19,1,1,Yes,69b9bc9ca747910e,qwen2.5:14b,0,2026-06-08T18:43:26.381844+00:00
ISSUE-0020,Pagination broken #20,1,0,No,5d99db23f460b059,qwen2.5:14b,0,2026-06-08T18:43:27.338989+00:00
ISSUE-0021,Add logging #21,1,1,Yes,6588fedb86daa66f,qwen2.5:14b,0,2026-06-08T18:43:28.385990+00:00
ISSUE-0022,Two-factor auth #22,0,0,No,e8a6c97bc97cadd4,qwen2.5:14b,0,2026-06-08T18:43:29.344563+00:00
ISSUE-0023,Improve something #23,0,1,Yes,b02361127d3d50ad,qwen2.5:14b,0,2026-06-08T18:43:30.334143+00:00
ISSUE-0024,CSV import fails #24,1,0,No,6df27052eea7d10d,qwen2.5:14b,0,2026-06-08T18:43:31.339891+00:00
ISSUE-0025,Profile page slow #25,0,0,No,fda5d21b7bfc34d9,qwen2.5:14b,0,2026-06-08T18:43:32.353946+00:00
