issue_id,title,ground_truth,prediction,raw_response,prompt_hash,model_version,temperature,timestamp_utc,project,input_mode,task,strategy
ISSUE-251590,Test with latest versions of Boost,0,1,Yes,432fbde9468a00c3,qwen2.5:14b,0,2026-06-17T17:28:07.019328,project_04,title_only,ambiguity,zero_shot
ISSUE-252462,Determine C++ Driver version from examining the headers,0,0,No,b445f426dee36144,qwen2.5:14b,0,2026-06-17T17:28:07.757002,project_04,title_only,ambiguity,zero_shot
ISSUE-250680,Use cmake,0,1,Yes,3e02608e81b1286b,qwen2.5:14b,0,2026-06-17T17:28:08.760883,project_04,title_only,ambiguity,zero_shot
ISSUE-252307,Include regex elements in BSONArrayBuilder,0,0,No,b7feef4dbd5a7661,qwen2.5:14b,0,2026-06-17T17:28:09.756740,project_04,title_only,ambiguity,zero_shot
ISSUE-250777,Defer checking if a deployment supports sessions until the session's first operation,0,0,No,b5ccd96f53be3ef1,qwen2.5:14b,0,2026-06-17T17:28:10.766406,project_04,title_only,ambiguity,zero_shot
ISSUE-252448,Static archive fails to force inclusion of global initializers,0,0,No,5faf8942e7a41753,qwen2.5:14b,0,2026-06-17T17:28:11.832626,project_04,title_only,ambiguity,zero_shot
ISSUE-251874,Add ordered option to insert_many,0,0,No,affe8da82c6a9f86,qwen2.5:14b,0,2026-06-17T17:28:12.752248,project_04,title_only,ambiguity,zero_shot
ISSUE-251692,Bug When Trying to 'Make',1,1,Yes,2171b56c4f5bb4d9,qwen2.5:14b,0,2026-06-17T17:28:13.688053,project_04,title_only,ambiguity,zero_shot
ISSUE-251622,Can't construct operation_exception without a server error,0,0,No,0298b40c9f6ff830,qwen2.5:14b,0,2026-06-17T17:28:14.787677,project_04,title_only,ambiguity,zero_shot
ISSUE-252149,Polyfill stdx::string_view,0,0,No,31ee8d17d7334db5,qwen2.5:14b,0,2026-06-17T17:28:15.763863,project_04,title_only,ambiguity,zero_shot
ISSUE-252321,Files dependent on make_shared should include make_shared.hpp,0,0,No,838de2b13c3f6c65,qwen2.5:14b,0,2026-06-17T17:28:16.762748,project_04,title_only,ambiguity,zero_shot
ISSUE-252438,Update travis configuration to run the client examples,0,0,No,678c0790219dbbb6,qwen2.5:14b,0,2026-06-17T17:28:17.759022,project_04,title_only,ambiguity,zero_shot
ISSUE-251649,Add support for MongoDB 3.4 to the legacy C++ driver.,0,0,No,0efe41b279850923,qwen2.5:14b,0,2026-06-17T17:28:18.757906,project_04,title_only,ambiguity,zero_shot
ISSUE-251049,Resync SDAM tests,1,1,Yes,f1fb3240be3d1aca,qwen2.5:14b,0,2026-06-17T17:28:19.760227,project_04,title_only,ambiguity,zero_shot
ISSUE-252416,rotatable_file_writer_test does not compile in C++11 mode with libc++,0,0,No,1833f3f66e8d9a26,qwen2.5:14b,0,2026-06-17T17:28:20.755062,project_04,title_only,ambiguity,zero_shot
ISSUE-251115,Implement SASLPrep,0,0,No,215d8e5145fc6952,qwen2.5:14b,0,2026-06-17T17:28:21.781254,project_04,title_only,ambiguity,zero_shot
ISSUE-250886,Investigate alternatives to Catch2,1,0,No,cd99eabe1c549409,qwen2.5:14b,0,2026-06-17T17:28:22.793274,project_04,title_only,ambiguity,zero_shot
ISSUE-251990,missing bsoncxx::document::view::empty,0,0,No,30518799861d8f95,qwen2.5:14b,0,2026-06-17T17:28:23.791367,project_04,title_only,ambiguity,zero_shot
ISSUE-252201,Create buildvariant for Ubuntu 12.04,0,0,No,1261cd8ee8a43457,qwen2.5:14b,0,2026-06-17T17:28:24.792641,project_04,title_only,ambiguity,zero_shot
ISSUE-251862,Backport server r3.0.7..r3.0.8 changes,0,0,No,011adb04554b5a25,qwen2.5:14b,0,2026-06-17T17:28:25.765819,project_04,title_only,ambiguity,zero_shot
ISSUE-251902,Make special commands (inprog,1,1,Yes,9e782dfffd8ac2e3,qwen2.5:14b,0,2026-06-17T17:28:26.798469,project_04,title_only,ambiguity,zero_shot
ISSUE-250935,Create C++17 variants,0,0,No,2de9646168f36c78,qwen2.5:14b,0,2026-06-17T17:28:27.762916,project_04,title_only,ambiguity,zero_shot
ISSUE-251484,collection::distinct return should allow iteration over results,0,0,No,ecab5a185b91ca36,qwen2.5:14b,0,2026-06-17T17:28:28.795966,project_04,title_only,ambiguity,zero_shot
ISSUE-251767,Fix TODO comments about linking to documentation when available,0,0,No,447560b3693eda08,qwen2.5:14b,0,2026-06-17T17:28:29.776412,project_04,title_only,ambiguity,zero_shot
ISSUE-252082,Reparent OperationException below DBException,0,0,No,e607051d3bfef22f,qwen2.5:14b,0,2026-06-17T17:28:30.745799,project_04,title_only,ambiguity,zero_shot
ISSUE-251826,Stream builder error for invalid context is unfriendly,0,1,Yes,f2882bca1d9c00d4,qwen2.5:14b,0,2026-06-17T17:28:31.780848,project_04,title_only,ambiguity,zero_shot
ISSUE-252418,Remove dependency on boost program_options,0,0,No,1c93a8e593e2b323,qwen2.5:14b,0,2026-06-17T17:28:32.750854,project_04,title_only,ambiguity,zero_shot
ISSUE-250681,WINDOWS | Release build,0,1,Yes,2449ccdd4eaa0614,qwen2.5:14b,0,2026-06-17T17:28:33.793250,project_04,title_only,ambiguity,zero_shot
ISSUE-251940,auto_reconnect using ConnectionString API,0,0,No,17fe8f7cb1d495e8,qwen2.5:14b,0,2026-06-17T17:28:34.775933,project_04,title_only,ambiguity,zero_shot
ISSUE-252206,libmongoclient.so not generated when compling lateset c++ driver,0,1,Yes,6ed1815baccba695,qwen2.5:14b,0,2026-06-17T17:28:35.808018,project_04,title_only,ambiguity,zero_shot
ISSUE-252474,Enforce /MD with Windows C++ DLL driver,0,0,No,faa5c0f0aa08ae11,qwen2.5:14b,0,2026-06-17T17:28:36.759011,project_04,title_only,ambiguity,zero_shot
ISSUE-251467,Mutator methods which return non-void should document their return value,0,0,No,dbb970624bfdd201,qwen2.5:14b,0,2026-06-17T17:28:37.792791,project_04,title_only,ambiguity,zero_shot
ISSUE-250928,Test with gcc 4.9?,1,1,Yes,1ee959558c11d966,qwen2.5:14b,0,2026-06-17T17:28:38.801883,project_04,title_only,ambiguity,zero_shot
