issue_id,title,ground_truth,pred_llama3.1,pred_mistral,pred_qwen2.5,n_models_voted,n_yes_votes,ensemble_prediction,project,input_mode,task,strategy
ISSUE-38493,Review API Runtime Services Documentation,0,0,0,0,3,0,0,project_02,title_desc,incompleteness,zero_shot
ISSUE-38975,Tutorial Series: Customize for Android,0,1,1,1,3,3,1,project_02,title_desc,incompleteness,zero_shot
ISSUE-40855,APIDoc: Window.modalStyle and modalTransitionStyle properties are undocumented,0,0,1,0,3,1,0,project_02,title_desc,incompleteness,zero_shot
ISSUE-40336,APIDoc: Check all deprecated API members for appropriate message,0,0,1,0,3,1,0,project_02,title_desc,incompleteness,zero_shot
ISSUE-38324,Create Appcelerator Studio Guide page,0,1,1,1,3,3,1,project_02,title_desc,incompleteness,zero_shot
ISSUE-39589,Update Android Menu docs re: overflow (...) menu on devices with hardware menu button,0,0,1,1,3,2,1,project_02,title_desc,incompleteness,zero_shot
ISSUE-38275,Rename AMPLIFY Appcelerator Services to Axway Mobile Analytics,0,0,1,1,3,2,1,project_02,title_desc,incompleteness,zero_shot
ISSUE-38193,Remove very outdated Ti.Map documentation,0,0,0,0,3,0,0,project_02,title_desc,incompleteness,zero_shot
ISSUE-40376,Docs: Code highlighting incorrectly applied to some example blocks,0,0,1,1,3,2,1,project_02,title_desc,incompleteness,zero_shot
ISSUE-39190,Fix link to View.touchEnabled from View.enabled,0,0,0,0,3,0,0,project_02,title_desc,incompleteness,zero_shot
ISSUE-38138,Create and publish release note for SDK 7.3.1.RC,0,0,1,1,3,2,1,project_02,title_desc,incompleteness,zero_shot
ISSUE-38570,Create and publish release note for Arrow 1.10.0,0,0,1,1,3,2,1,project_02,title_desc,incompleteness,zero_shot
ISSUE-39606,APIDoc: Geolocation documentation - potential error add remove event listener,0,0,1,0,3,1,0,project_02,title_desc,incompleteness,zero_shot
ISSUE-40579,Doc BUG: Titanium.UI.iPad.Popover explicitly requires a View as child but in fact requires a Window,0,0,0,0,3,0,0,project_02,title_desc,incompleteness,zero_shot
ISSUE-40465,APIDOC: Ti.UI.TableViewSection.borderRadius does not work,0,0,1,1,3,2,1,project_02,title_desc,incompleteness,zero_shot
ISSUE-38497,New documentation page needed for API Builder -> Swagger Specifications,0,1,1,1,3,3,1,project_02,title_desc,incompleteness,zero_shot
ISSUE-39864,ACS User - need to be able to delete user without logging in as that user,0,0,1,1,3,2,1,project_02,title_desc,incompleteness,zero_shot
ISSUE-38249,Create and publish release note for API Builder 3.0.0,0,0,1,1,3,2,1,project_02,title_desc,incompleteness,zero_shot
ISSUE-38348,Improve the doc navigation,0,0,0,0,3,0,0,project_02,title_desc,incompleteness,zero_shot
ISSUE-38714,incorrect link,0,0,1,0,3,1,0,project_02,title_desc,incompleteness,zero_shot
ISSUE-38876,404 page is (unformatted) landing page,0,0,1,1,3,2,1,project_02,title_desc,incompleteness,zero_shot
ISSUE-38300,Add a migration banner to all pages in the guides2 space,0,0,1,1,3,2,1,project_02,title_desc,incompleteness,zero_shot
ISSUE-38460,web site link doesn't exist,0,0,1,1,3,2,1,project_02,title_desc,incompleteness,zero_shot
ISSUE-40544,Android: documentation about how to handle Android app first run is missing,0,0,0,1,3,1,0,project_02,title_desc,incompleteness,zero_shot
ISSUE-39279,iOS: createEmailDialog method doesn't work on some devices,0,0,1,0,3,1,0,project_02,title_desc,incompleteness,zero_shot
ISSUE-38926,Update iOS Interactive Notifications guide for Apple Watch,0,0,0,0,3,0,0,project_02,title_desc,incompleteness,zero_shot
ISSUE-40983,APIDoc: Remove click type events for mapview,0,0,0,0,3,0,0,project_02,title_desc,incompleteness,zero_shot
ISSUE-40873,APIDoc: ImageView Documentation clarification,0,0,0,0,3,0,0,project_02,title_desc,incompleteness,zero_shot
ISSUE-38583,Nodejs reset password token,0,0,1,0,3,1,0,project_02,title_desc,incompleteness,zero_shot
ISSUE-38547,Create and publish release note for Alloy 1.9.2,0,1,1,1,3,3,1,project_02,title_desc,incompleteness,zero_shot
ISSUE-39410,"Doctools: hide ACS REST API """"pseudo types"""" in API reference TOC",0,0,0,1,3,1,0,project_02,title_desc,incompleteness,zero_shot
ISSUE-38316,Remove Mobile Web Support Reference from documentation,0,0,0,0,3,0,0,project_02,title_desc,incompleteness,zero_shot
ISSUE-40070,DocTools: Allow linking to guides sections by name in Cloud docs,0,0,1,1,3,2,1,project_02,title_desc,incompleteness,zero_shot
ISSUE-38806,Alloy Map sample code needs to be updated,0,0,1,1,3,2,1,project_02,title_desc,incompleteness,zero_shot
ISSUE-40752,As a Titanium developer,0,0,1,1,3,2,1,project_02,title_desc,incompleteness,zero_shot
ISSUE-38413,Update API Builder Doc landing page on Axway Doc Portal,0,0,1,1,3,2,1,project_02,title_desc,incompleteness,zero_shot
ISSUE-40079,APIDoc: iOS: Sound player volume -- setting device volume,0,0,1,1,3,2,1,project_02,title_desc,incompleteness,zero_shot
ISSUE-39208,Clarify 'autoStyle' docs,0,0,1,0,3,1,0,project_02,title_desc,incompleteness,zero_shot
ISSUE-38600,Confirm and/or update Migrating Node.ACS Applications to Arrow page,0,0,1,1,3,2,1,project_02,title_desc,incompleteness,zero_shot
ISSUE-40801,APIDoc: Background Gradient options not documented,0,0,1,1,3,2,1,project_02,title_desc,incompleteness,zero_shot
ISSUE-40937,APIDoc: Facebook code snippet not being rendered,0,0,1,1,3,2,1,project_02,title_desc,incompleteness,zero_shot
ISSUE-38132,Create and publish release note for CLI 7.0.6.RC,0,0,1,1,3,2,1,project_02,title_desc,incompleteness,zero_shot
ISSUE-38986,Android Themes guide needs serious updating,0,0,1,0,3,1,0,project_02,title_desc,incompleteness,zero_shot
ISSUE-38790,Update and extend guide on Transitions,0,0,0,1,3,1,0,project_02,title_desc,incompleteness,zero_shot
ISSUE-38051,Ti.Platform.id documentation needs clarification,0,0,1,0,3,1,0,project_02,title_desc,incompleteness,zero_shot
ISSUE-38667,Create and publish Studio 4.7.1.GA release note,0,0,1,1,3,2,1,project_02,title_desc,incompleteness,zero_shot
ISSUE-38004,Link for 'Titanium.UI.iOS.SystemButton' seems to be broken,0,0,1,0,3,1,0,project_02,title_desc,incompleteness,zero_shot
ISSUE-38293,Create and publish release note for SDK 6.3.0.GA,0,1,1,1,3,3,1,project_02,title_desc,incompleteness,zero_shot
ISSUE-39823,Guides: Update Launch options,0,0,1,1,3,2,1,project_02,title_desc,incompleteness,zero_shot
ISSUE-38256,Document required Android modules changes due to V8 changes,0,0,1,1,3,2,1,project_02,title_desc,incompleteness,zero_shot
ISSUE-39381,Node.ACS cannot catch stdout & stderr from child processes forked by app,0,0,1,1,3,2,1,project_02,title_desc,incompleteness,zero_shot
ISSUE-40888,APIDoc: remove from docs advice about passing functions cross-context,0,0,0,0,3,0,0,project_02,title_desc,incompleteness,zero_shot
ISSUE-39024,Migration: Node.ACS instructions should link new guide,0,0,0,1,3,1,0,project_02,title_desc,incompleteness,zero_shot
ISSUE-38189,Update Pull Request Guide and Building SDK From source,0,0,0,0,3,0,0,project_02,title_desc,incompleteness,zero_shot
ISSUE-38180,Ti.UI.WebView documentation broken/missing,0,0,1,1,3,2,1,project_02,title_desc,incompleteness,zero_shot
ISSUE-40251,"JDT install directions reference """"Helios"""" not """"Indigo"""" Eclipse platform",0,0,1,1,3,2,1,project_02,title_desc,incompleteness,zero_shot
ISSUE-38133,Create and publish release note for CLI 7.0.5.GA,0,0,1,1,3,2,1,project_02,title_desc,incompleteness,zero_shot
ISSUE-40671,APIDoc: Filesystem.File.createTimestamp returns 0 on Android for resource files,0,0,1,1,3,2,1,project_02,title_desc,incompleteness,zero_shot
ISSUE-40346,APIDoc: Analytics doc should mention raw data export,0,0,1,1,3,2,1,project_02,title_desc,incompleteness,zero_shot
ISSUE-39667,ACS Custom Object Documentation Needs Corrected,0,0,1,0,3,1,0,project_02,title_desc,incompleteness,zero_shot
ISSUE-38873,Ti.UI.Android.openPreferences: Does not explain how to get a preference value,0,0,1,0,3,1,0,project_02,title_desc,incompleteness,zero_shot
ISSUE-39183,Please help review the error messages of on-demand-pricing node.ACS part,0,0,1,0,3,1,0,project_02,title_desc,incompleteness,zero_shot
ISSUE-38123,Create and publish release note for SDK 7.4.0.GA,0,0,1,1,3,2,1,project_02,title_desc,incompleteness,zero_shot
ISSUE-40183,Guides: Enhance doc for installing/using modules,0,0,0,0,3,0,0,project_02,title_desc,incompleteness,zero_shot
ISSUE-38201,Fix/Replace links to /cloud in the wiki docs,0,0,1,1,3,2,1,project_02,title_desc,incompleteness,zero_shot
ISSUE-39132,Update docs template to better match new Dashboard look and feel,0,0,1,1,3,2,1,project_02,title_desc,incompleteness,zero_shot
ISSUE-39524,Create a new method likes/query.json,0,0,0,1,3,1,0,project_02,title_desc,incompleteness,zero_shot
ISSUE-39749,Localization of app name for Android is out-of-date,0,0,0,0,3,0,0,project_02,title_desc,incompleteness,zero_shot
ISSUE-39943,BlackBerry : Path for getting the logs from simulator is incorrect,0,0,0,0,3,0,0,project_02,title_desc,incompleteness,zero_shot
ISSUE-40067,DocTools: validate script is broken due to docgen changes,0,0,1,0,3,1,0,project_02,title_desc,incompleteness,zero_shot
ISSUE-39723,Support new Node.ACS command : download,0,0,1,1,3,2,1,project_02,title_desc,incompleteness,zero_shot
ISSUE-38628,Specify supported Arrow Model Field data types,0,0,0,1,3,1,0,project_02,title_desc,incompleteness,zero_shot
ISSUE-38181,Review and revise the APS documentation,0,0,0,0,3,0,0,project_02,title_desc,incompleteness,zero_shot
ISSUE-39239,"Android: TableView: SearchBar not working if """"filterAttribute"""" is an arbitrary property",0,0,1,1,3,2,1,project_02,title_desc,incompleteness,zero_shot
ISSUE-38938,Docs: Ti.UI.View.add supports an array of views as well as single Ti.Ui.View,0,0,0,0,3,0,0,project_02,title_desc,incompleteness,zero_shot
ISSUE-40941,APIDoc: remove period from platform list,0,0,1,0,3,1,0,project_02,title_desc,incompleteness,zero_shot
ISSUE-40635,APIDoc: Update docs for medium-priority iPad modules,0,0,1,1,3,2,1,project_02,title_desc,incompleteness,zero_shot
ISSUE-39299,Updates guides to show how to localise NSLocationAlwaysUsageDescription,0,0,1,1,3,2,1,project_02,title_desc,incompleteness,zero_shot
ISSUE-40438,Poor grammar in Ti.UI.TabGroup,0,0,1,1,3,2,1,project_02,title_desc,incompleteness,zero_shot
ISSUE-38738,There is an error in Positioning and dimensions of elements section of the documentation,0,0,0,0,3,0,0,project_02,title_desc,incompleteness,zero_shot
ISSUE-39253,we will no longer show the listed information,0,0,1,0,3,1,0,project_02,title_desc,incompleteness,zero_shot
ISSUE-39534,Alloy: missing Style in the Style priorities description,0,0,0,0,3,0,0,project_02,title_desc,incompleteness,zero_shot
ISSUE-39218,Move Cloud and CloudPush to Modules namespace,0,0,1,0,3,1,0,project_02,title_desc,incompleteness,zero_shot
ISSUE-39395,Provides detailed steps to import/run ti.cloud example,0,0,1,0,3,1,0,project_02,title_desc,incompleteness,zero_shot
ISSUE-39480,Guides: Document offline installation of Appcelerator Platform,0,0,1,1,3,2,1,project_02,title_desc,incompleteness,zero_shot
ISSUE-39599,Node.ACS organization support,0,1,1,1,3,3,1,project_02,title_desc,incompleteness,zero_shot
ISSUE-38337,Create Alloy Framework How-tos page,0,0,1,1,3,2,1,project_02,title_desc,incompleteness,zero_shot
ISSUE-38517,Create and publish release note for SDK 6.0.2.RC,0,0,1,1,3,2,1,project_02,title_desc,incompleteness,zero_shot
ISSUE-40653,APIDoc: Ti.UI.orientationModes property should mention Ti.Gesture.orientation,0,0,1,1,3,2,1,project_02,title_desc,incompleteness,zero_shot
ISSUE-40413,Link takes you to the wiki creation page,0,0,0,0,3,0,0,project_02,title_desc,incompleteness,zero_shot
ISSUE-40608,Guides: MW overview should reference MW limitations page,0,0,1,0,3,1,0,project_02,title_desc,incompleteness,zero_shot
ISSUE-40894,APIDoc: Documentation missing for MaskedImage,0,0,1,1,3,2,1,project_02,title_desc,incompleteness,zero_shot
