Issue_ID,Title,Description,amb_f_T,amb_f_TD,inc_f_T,inc_f_TD,amb_d_T,amb_d_TD,inc_d_T,inc_d_TD,amb_a_T,amb_a_TD,inc_a_T,inc_a_TD,amb_s_T,amb_s_TD,inc_s_T,inc_s_TD,sum_amb_T,sum_amb_TD,sum_inc_T,sum_inc_TD,Final_amb_T,Final_amb_TD,Final_inc_T,Final_inc_TD
ISSUE-253177,Inconsistent output between java driver and mongo shell,Mongo Shell version: 4.x [https://github.com/mongodb/mongo-java-driver/blob/master/bson/src/main/org/bson/BsonBinaryReader.java#L139-L145] I have noticed this code is causing conflicts with binData from mongoshell. To test the issue,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,2,0,0,0,1
ISSUE-253467,size not accepting $numberlong argument,"We are using a command to create the oplog (as part of resizing the oplog). db.runCommand(\{ """"create"""" : """"oplog.rs",0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,3,2,0,0,1,1
ISSUE-253452,MongoCollection.insertOne throws NullPointerException with WriteConcern.UNACKNOWLEDGED & retryWrites=true,"The following code throws a NullPointerException at com.mongodb.internal.connection.ProtocolHelper.getErrorCode(ProtocolHelper.java:183). It appears retryWrites needs to be disabled in order to use WriteConcern.UNACKNOWLEDGED for insert/update operations. MongoClient mongoClient = MongoClients.create(""""mongodb://username:password@localhost:27017/?retryWrites=true""""); MongoDatabase db = mongoClient.getDatabase(""""foo""""); db.getCollection(""""bar"""").withWriteConcern(WriteConcern.UNACKNOWLEDGED).insertOne(new Document(""""_id",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ISSUE-253505,Add an option to toggle SSL certificate validation,At present Java driver does not provide an option for } or } that could be used to enable/disable SSL certificate validation. This seems inconsistent with other drivers (e.g. } in C#,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,2,0,0,0,1
ISSUE-255080,JSON parser parses braces incorrectly,"when parsing the following JSON with too many braces: } The JSON parser from the driver parsed it in a very strange way with a key """"{{{{{""""$oid"""""""". So Looks like there is a bug in the parser when '{' are back to back. This is with the strict extended JSON parser",0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,2,0,1,1,1,0,0,0
ISSUE-255534,Looking for performance tips loading results from a find() with the java driver.,"I had a question about improving the performance of loading data from Mongo. I'm doing a query as follows: val prefixString = """"^"""" + Pattern.quote(path); val prefixPattern: Pattern = Pattern.compile(prefixString); val query: BasicDBObject = new BasicDBObject(ID_FIELD_NAME",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,2,0,0,0,1
ISSUE-255332,Binary field $type is represented in JSON as a number instead of a two-byte hex string,When converting a binary field to JSON (using the 'strict' converter),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ISSUE-254781,Iterable Codec,Need to provide a codec that supports decoding into an iterable. For example an array is a valid top level JSON object and we should be able to take a JSON array string and decode it correctly.,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,3,0,3,0,1,0,1,0
ISSUE-254021,NettyStream does not handle clean socket closures from the server,When restarting the server the NettyStream's channel does not capture socket closed events and any pending readers are left hanging. Was: h6. After restart server,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ISSUE-255615,Include cursor-id in CursorNotFound exception,This will help immensely during testing and diagnostics.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
