issue_id,title,ground_truth,prediction,raw_response,prompt_hash,model_version,temperature,timestamp_utc
ISSUE-0001,Fix login bug #1,0,1,"Final Answer: Yes

Reasoning: The issue description mentions a login bug but does not provide essential information such as steps to reproduce the issue, expected vs actual behaviour, affected components, or environment details. This makes it an INCOMPLETE issue report.",5877a38fe628d06c,mistral:7b,0,2026-06-08T19:23:36.643735+00:00
ISSUE-0002,Update UI #2,0,1,"Final Answer: Yes

Reasoning: Missing essential information such as which specific parts of the interface need to be updated, what changes are expected, and under what conditions these updates should occur. Additionally, there is no mention of affected components or environment details.",0fccaf441275c223,mistral:7b,0,2026-06-08T19:23:37.312342+00:00
ISSUE-0003,Add export feature #3,0,1,"Final Answer: Yes

Reasoning: Missing essential information such as who triggers the export, acceptance criteria, and possibly affected components or environment details.",faccdbbfb2560e4b,mistral:7b,0,2026-06-08T19:23:37.776449+00:00
ISSUE-0004,Performance issue #4,0,1,"Final Answer: Yes

Reasoning: Missing essential information such as affected components, specific performance metrics (e.g., response time, load time), environment details (e.g., device types, operating systems, network conditions), and steps to reproduce the issue.",225fc7c77f423ad0,mistral:7b,0,2026-06-08T19:23:38.481634+00:00
ISSUE-0005,Null pointer exception #5,0,0,"Final Answer: No

Reasoning: The issue provides the title, the class and line number where the error occurs, and the type of error (NullPointerException). It also implies that the problem is related to handling a null value for userId. However, it would be beneficial if additional information such as the expected behavior, potential causes, or suggested solutions were included for better understanding and resolution of the issue.",469598ab25b48cf8,mistral:7b,0,2026-06-08T19:23:39.412432+00:00
ISSUE-0006,Search not working #6,0,1,"Final Answer: Yes

Reasoning: Missing essential information such as the search endpoint or function being used, the expected vs actual behaviour, the type of data being searched, and the environment details where this issue occurs.",34e50234e4ec9c63,mistral:7b,0,2026-06-08T19:23:39.994192+00:00
ISSUE-0007,Add dark mode #7,0,1,"The given issue ""Add dark mode #7 - Implement dark mode toggle in settings with persistent preference via localStorage"" is more complete compared to the example 3 you provided. It includes the following details:

1. Scope: Dark mode implementation
2. UI specs: Dark mode toggle in settings
3. Persistence requirements: via localStorage
4. Affected components: Settings

However, it lacks the acceptance criteria which could be defined as specific conditions or tests to determine when the feature is considered complete. For example, what should happen when the user toggles the dark mode on and off, or how the dark mode affects different parts of the UI.

Final Answer: Yes (The issue is more complete but still missing acceptance criteria)",811616f4e8e5b3e3,mistral:7b,0,2026-06-08T19:23:41.595015+00:00
ISSUE-0008,Crash on startup #8,0,1,"Final Answer: Yes

Reasoning: The issue is missing essential information such as the platform or device where the crash occurs, the exact error message or stack trace, and any specific conditions that trigger the crash. Without this information, it's difficult to diagnose and reproduce the problem effectively.",d1f617b5014c946e,mistral:7b,0,2026-06-08T19:23:42.320115+00:00
ISSUE-0009,Email validation #9,0,0,"The provided issue ""Email validation #9 - Validate email format on registration form and show inline error messages"" is generally considered complete as it contains the following essential information:

1. Title clearly states the purpose of the issue.
2. Description explains what needs to be done, i.e., validate email format and display inline error messages.
3. Affected component (registration form) is mentioned.
4. Expected behavior (validating email format and showing inline error messages) is also provided.

However, it would be beneficial if the issue included more specific details such as:

- Acceptance criteria for valid and invalid email formats.
- The exact registration form fields involved.
- Any specific environment details or edge cases to consider during implementation.

Final Answer: No (The issue is not incomplete, but providing additional information would make it more comprehensive.)",e1c829b289c6c281,mistral:7b,0,2026-06-08T19:23:44.249467+00:00
ISSUE-0010,Database timeout #10,1,1,"Final Answer: Yes

Reasoning: Although the issue describes the problem and the conditions under which it occurs, it lacks essential information such as the affected components (which database specifically), the environment details (database configuration, server setup, etc.), and potential acceptance criteria (what constitutes a successful resolution). Additionally, there is no mention of the steps to reproduce the issue or any suggested solutions.",5f9cce70752d661a,mistral:7b,0,2026-06-08T19:23:45.177905+00:00
ISSUE-0011,Missing error handling #11,0,1,"Final Answer: Yes

Reasoning: The issue description ""Missing error handling #11"" is missing essential information such as the specific errors to be handled, the context or affected components, and the expected behavior after proper error handling. It would be beneficial to have more details about the types of errors, where they occur, and what the desired outcome should be for each error scenario.",ab6d013100c00e85,mistral:7b,0,2026-06-08T19:23:46.078316+00:00
ISSUE-0012,API rate limiting #12,1,0,"The given issue is not INCOMPLETE. It contains essential information such as the requirement for rate limiting, the number of requests per minute, the scope (per API key), and the expected response (429) in case of exceeding the limit.

Final Answer: No",c099373dd5f9a315,mistral:7b,0,2026-06-08T19:23:46.807455+00:00
ISSUE-0013,Button color #13,0,1,Final Answer: Yes,85d65c13f0bf4cda,mistral:7b,0,2026-06-08T19:23:47.041823+00:00
ISSUE-0014,Memory leak #14,1,1,"Final Answer: Yes

Reasoning: The issue description mentions a memory leak and growth of memory usage over 24 hours in the background sync service, but it lacks essential information such as steps to reproduce the problem, expected vs actual behaviour, affected components, or environment details. For example, it would be helpful to know which specific operations cause the memory leak, what the normal memory usage should be, and under what conditions the issue occurs. Additionally, knowing the operating system, device type, and any relevant code snippets could help in diagnosing and resolving the issue more effectively.",e83631116687bd29,mistral:7b,0,2026-06-08T19:23:48.574696+00:00
ISSUE-0015,Update docs #15,0,1,"Final Answer: Yes

Reasoning: The issue description mentions that the documentation is outdated but does not specify which parts of the documentation need to be updated, what the new content should be, or any acceptance criteria for the updated documentation. Therefore, it lacks essential information and can be classified as INCOMPLETE.",d3b6391d60b9adf2,mistral:7b,0,2026-06-08T19:23:49.357372+00:00
ISSUE-0016,File upload fails #16,0,1,"The issue ""File upload fails #16"" provides details about the problem (file upload failure), the error encountered (413), and the affected endpoint (/upload). However, it is missing information on what format the files are, the expected behaviour for larger files, and possibly the environment or conditions under which the issue occurs.

Final Answer: Yes",2fbb5212bfd02d09,mistral:7b,0,2026-06-08T19:23:50.235010+00:00
ISSUE-0017,Wrong total #17,1,1,"Final Answer: Yes

Reasoning: Missing essential information such as steps to reproduce the issue, expected vs actual behaviour, and affected components or environment details.",c8f8ef7068b0e1ba,mistral:7b,0,2026-06-08T19:23:50.734330+00:00
ISSUE-0018,Session expiry #18,0,0,"The given issue is not INCOMPLETE. It contains the following essential information:

1. Title: Session expiry #18 - Clear about the feature being requested.
2. Description: Implement automatic session expiry after 30 minutes of inactivity with a warning dialog. - Provides details about the expected behavior and the condition for triggering it (inactivity).
3. Reasoning: Missing: acceptance criteria, affected components, or environment details. However, these are not explicitly required in this case as they can be assumed based on the context of the issue description.

Final Answer: No",c14b5145ff4c5586,mistral:7b,0,2026-06-08T19:23:52.085254+00:00
ISSUE-0019,Fix typo #19,0,1,Final Answer: Yes,c1f6ad3da3952e80,mistral:7b,0,2026-06-08T19:23:52.324322+00:00
ISSUE-0020,Pagination broken #20,0,1,"Final Answer: Yes

Reasoning: The issue description mentions that pagination doesn't work when a filter is applied on the user management table, but it lacks essential information such as steps to reproduce the problem, expected vs actual behaviour, affected components, and environment details.",bfdb5287f9ac636f,mistral:7b,0,2026-06-08T19:23:53.287540+00:00
ISSUE-0021,Add logging #21,1,1,"Final Answer: Yes

Reasoning: The issue is missing essential information such as the specific logs to be added, the format of the logs, where the logs will be stored, under what conditions the logs should be triggered, and acceptance criteria for the logging functionality.",ca871d60d80dd83e,mistral:7b,0,2026-06-08T19:23:53.948278+00:00
ISSUE-0022,Two-factor auth #22,0,0,"The issue ""Two-factor auth #22 - Add TOTP-based 2FA support for admin accounts with backup codes"" is not INCOMPLETE. It contains the following essential information:

1. Title clearly states the requirement.
2. Description specifies the type of two-factor authentication (TOTP) and the accounts it applies to (admin).
3. It also mentions the inclusion of backup codes, which provides additional details about the functionality.

However, there are still some missing pieces of information that could be beneficial for a complete understanding:

1. Acceptance criteria or success metrics for the implementation.
2. Detailed steps on how to implement and configure the 2FA support.
3. Any specific libraries or APIs to use for TOTP-based authentication.
4. Information about the environment where this feature will be implemented (e.g., web, mobile, API).

Final Answer: No (The issue is not INCOMPLETE, but it could still benefit from additional information.)",efbb89f954774827,mistral:7b,0,2026-06-08T19:23:56.074130+00:00
