issue_id,title,ground_truth,prediction,raw_response,prompt_hash,model_version,temperature,timestamp_utc
ISSUE-0001,Fix login bug #1,0,1,Yes,a52a6108cfd5d85f,llama3.1:8b,0,2026-06-08T18:04:59.455616+00:00
ISSUE-0002,Update UI #2,0,1,Yes,7e31ca1221981da7,llama3.1:8b,0,2026-06-08T18:05:00.009854+00:00
ISSUE-0003,Add export feature #3,0,1,Yes,2b5bbec090c28cde,llama3.1:8b,0,2026-06-08T18:05:00.578727+00:00
ISSUE-0004,Performance issue #4,0,1,Yes,c5a37dc02a2d1670,llama3.1:8b,0,2026-06-08T18:05:01.155822+00:00
ISSUE-0005,Null pointer exception #5,0,0,No,9bc78bfbbe3c2154,llama3.1:8b,0,2026-06-08T18:05:01.722916+00:00
ISSUE-0006,Search not working #6,0,0,No,3c4dc773bf8857d9,llama3.1:8b,0,2026-06-08T18:05:02.310187+00:00
ISSUE-0007,Add dark mode #7,0,0,No,93288fc0a7d7cb74,llama3.1:8b,0,2026-06-08T18:05:02.836605+00:00
ISSUE-0008,Crash on startup #8,0,0,No,cbf40a0240161134,llama3.1:8b,0,2026-06-08T18:05:03.447362+00:00
ISSUE-0009,Email validation #9,0,0,No,82d9cdd0958e5cb9,llama3.1:8b,0,2026-06-08T18:05:04.000010+00:00
ISSUE-0010,Database timeout #10,1,0,No,701e5241112dc10b,llama3.1:8b,0,2026-06-08T18:05:04.587095+00:00
ISSUE-0011,Missing error handling #11,0,0,No,cfd90f2da8c9148f,llama3.1:8b,0,2026-06-08T18:05:05.147910+00:00
ISSUE-0012,API rate limiting #12,1,0,No,f390c5b3b504f297,llama3.1:8b,0,2026-06-08T18:05:05.709881+00:00
ISSUE-0013,Button color #13,0,1,Yes,1aba9241057976fe,llama3.1:8b,0,2026-06-08T18:05:06.270979+00:00
ISSUE-0014,Memory leak #14,1,0,No,ae278a8625494a98,llama3.1:8b,0,2026-06-08T18:05:06.878957+00:00
ISSUE-0015,Update docs #15,0,0,No,13507430b3b75060,llama3.1:8b,0,2026-06-08T18:05:07.448912+00:00
ISSUE-0016,File upload fails #16,0,0,No,d18a920229ebd3e4,llama3.1:8b,0,2026-06-08T18:05:07.985933+00:00
ISSUE-0017,Wrong total #17,1,0,No,31906a82531270aa,llama3.1:8b,0,2026-06-08T18:05:08.531301+00:00
ISSUE-0018,Session expiry #18,0,0,No,db5a1f12a3965e8a,llama3.1:8b,0,2026-06-08T18:05:09.122080+00:00
ISSUE-0019,Fix typo #19,0,1,Yes,7adcd5a6e64337f3,llama3.1:8b,0,2026-06-08T18:05:09.685614+00:00
ISSUE-0020,Pagination broken #20,0,0,No,5718718c2b5dd2b1,llama3.1:8b,0,2026-06-08T18:05:10.240693+00:00
ISSUE-0021,Add logging #21,1,1,Yes,00d90f74c4b3a042,llama3.1:8b,0,2026-06-08T18:05:10.754430+00:00
ISSUE-0022,Two-factor auth #22,0,0,No,9c4c1dc22acf8684,llama3.1:8b,0,2026-06-08T18:05:11.351745+00:00
ISSUE-0023,Improve something #23,0,1,Yes,ca55c9072ff2b17d,llama3.1:8b,0,2026-06-08T18:05:11.927878+00:00
ISSUE-0024,CSV import fails #24,0,0,No,247319624372a017,llama3.1:8b,0,2026-06-08T18:05:12.503658+00:00
ISSUE-0025,Profile page slow #25,0,0,No,0a612d2f394ee34f,llama3.1:8b,0,2026-06-08T18:05:13.060342+00:00
ISSUE-0026,Notifications broken #26,1,0,No,55fa89caaa9675bf,llama3.1:8b,0,2026-06-08T18:05:13.645381+00:00
ISSUE-0027,Timezone bug #27,1,0,No,0f6f41ac8a0212ad,llama3.1:8b,0,2026-06-08T18:05:14.201463+00:00
ISSUE-0028,Dropdown empty #28,1,0,No,bd2582dd7ad0a23e,llama3.1:8b,0,2026-06-08T18:05:14.764393+00:00
ISSUE-0029,Report generation #29,0,0,No,bade4b44be5cfd57,llama3.1:8b,0,2026-06-08T18:05:15.349999+00:00
ISSUE-0030,Missing feature #30,0,1,Yes,ccf86c5d25e17e10,llama3.1:8b,0,2026-06-08T18:05:15.910334+00:00
ISSUE-0031,Concurrent edit conflict #31,0,0,No,d5b76ef23ac19697,llama3.1:8b,0,2026-06-08T18:05:16.489076+00:00
ISSUE-0032,Wrong redirect #32,1,0,No,74f26373444f4c02,llama3.1:8b,0,2026-06-08T18:05:17.061182+00:00
ISSUE-0033,Image resize #33,1,0,No,7a1a22f1dab571be,llama3.1:8b,0,2026-06-08T18:05:17.601370+00:00
ISSUE-0034,Filter not saving #34,1,0,No,c6e035a29a3123c0,llama3.1:8b,0,2026-06-08T18:05:18.384258+00:00
ISSUE-0035,Audit log missing #35,0,0,No,2759287f922df1a0,llama3.1:8b,0,2026-06-08T18:05:18.948108+00:00
ISSUE-0036,Language switch broken #36,1,0,No,4d831180703abff0,llama3.1:8b,0,2026-06-08T18:05:19.492591+00:00
ISSUE-0037,Role permission #37,1,0,No,f95a724a5d4da044,llama3.1:8b,0,2026-06-08T18:05:20.225922+00:00
ISSUE-0038,Broken link #38,0,1,Yes,2686bbc721304155,llama3.1:8b,0,2026-06-08T18:05:20.767350+00:00
ISSUE-0039,Chart rendering #39,0,0,No,ed63ecf436160412,llama3.1:8b,0,2026-06-08T18:05:21.345888+00:00
ISSUE-0040,Delete confirmation #40,1,0,No,71e977e3d844f7ac,llama3.1:8b,0,2026-06-08T18:05:21.900476+00:00
ISSUE-0041,Fix login bug #41,0,1,Yes,c73b65f7443ca96c,llama3.1:8b,0,2026-06-08T18:05:22.466302+00:00
ISSUE-0042,Update UI #42,0,1,Yes,2c1783d278a1711a,llama3.1:8b,0,2026-06-08T18:05:23.021654+00:00
ISSUE-0043,Add export feature #43,1,1,Yes,484390feafbaac03,llama3.1:8b,0,2026-06-08T18:05:23.583009+00:00
ISSUE-0044,Performance issue #44,1,1,Yes,2f20c25c2bc34972,llama3.1:8b,0,2026-06-08T18:05:24.148279+00:00
ISSUE-0045,Null pointer exception #45,0,0,No,b6d9d8cdb27c0aef,llama3.1:8b,0,2026-06-08T18:05:24.667183+00:00
ISSUE-0046,Search not working #46,1,0,No,5ab7036a4a6e8462,llama3.1:8b,0,2026-06-08T18:05:25.223686+00:00
