issue_id,title,ground_truth,prediction,raw_response,prompt_hash,model_version,temperature,timestamp_utc,project,input_mode,task,strategy
ISSUE-2087,CLI error when not specifying module type in module commands is cryptic an not helpful,0,0,No,6ae2ba581e259a2f,llama3.1:8b,0,2026-06-17T09:35:01.070368,project_01,title_desc,incompleteness,zero_shot
ISSUE-2338,Error in correlation strategy in aggregator.xml,0,0,No,358b441f1f4dc0b6,llama3.1:8b,0,2026-06-17T09:35:01.918094,project_01,title_desc,incompleteness,zero_shot
ISSUE-0972,deploy-working-dir is set to to root directory when container is started as service,0,0,No,b5cc9fa75e54814a,llama3.1:8b,0,2026-06-17T09:35:02.970629,project_01,title_desc,incompleteness,zero_shot
ISSUE-2665,Spike to model the cluster nodes.,0,0,No,5afdce422d9f9c2e,llama3.1:8b,0,2026-06-17T09:35:03.881899,project_01,title_desc,incompleteness,zero_shot
ISSUE-1414,Rename metrics repositories setValue(x,1,0,No,19ac4ccbdb364377,llama3.1:8b,0,2026-06-17T09:35:04.724959,project_01,title_desc,incompleteness,zero_shot
ISSUE-0394,Tasks Launcher should be able to record status to a central repository,0,0,No,dbe2863e48e80893,llama3.1:8b,0,2026-06-17T09:35:05.507073,project_01,title_desc,incompleteness,zero_shot
ISSUE-2850,Richer module options metadata,0,0,No,a1bc4b3824960d09,llama3.1:8b,0,2026-06-17T09:35:06.499736,project_01,title_desc,incompleteness,zero_shot
ISSUE-0549,Port FTP as s-c-s source module,0,1,Yes,910e3b5d99fde26b,llama3.1:8b,0,2026-06-17T09:35:07.420733,project_01,title_desc,incompleteness,zero_shot
ISSUE-2979,Change url to access UI from browser,0,0,No,9d27f1c4d3a5317c,llama3.1:8b,0,2026-06-17T09:35:08.283272,project_01,title_desc,incompleteness,zero_shot
ISSUE-0714,Add Logging to ZooKeeperContainerRepository,0,0,No,2721e1bd7aedc5e0,llama3.1:8b,0,2026-06-17T09:35:09.146967,project_01,title_desc,incompleteness,zero_shot
ISSUE-1907,DefaultContainerMatcher - Improve Logging and mention affected Module,0,0,No,f5673bb22eba212c,llama3.1:8b,0,2026-06-17T09:35:10.027607,project_01,title_desc,incompleteness,zero_shot
ISSUE-1146,http-client Improvement (userDefinedHeaderPrefix),0,0,No,585c0dec8ea205ab,llama3.1:8b,0,2026-06-17T09:35:10.928189,project_01,title_desc,incompleteness,zero_shot
ISSUE-3079,Deploy a new job module *after* XD-singlenode container has started.,0,0,No,743acf12f17326aa,llama3.1:8b,0,2026-06-17T09:35:12.067043,project_01,title_desc,incompleteness,zero_shot
ISSUE-0367,Spike: Study scope to add support for hdfs commands in shell,0,1,Yes (incomplete),dfd3c96755593146,llama3.1:8b,0,2026-06-17T09:35:12.927205,project_01,title_desc,incompleteness,zero_shot
ISSUE-3374,Documentation for AggregateCounter,0,0,No,f38c86787c3c8ae1,llama3.1:8b,0,2026-06-17T09:35:13.980575,project_01,title_desc,incompleteness,zero_shot
ISSUE-0460,First deploy/launch of Pig job that includes yarn-site.xml file fails,0,0,No,04934b0a86ca9f77,llama3.1:8b,0,2026-06-17T09:35:14.883024,project_01,title_desc,incompleteness,zero_shot
ISSUE-0456,Refactor Task parsing,0,0,No,eaf4ddd9c0793d25,llama3.1:8b,0,2026-06-17T09:35:15.759248,project_01,title_desc,incompleteness,zero_shot
ISSUE-3038,Add Spring XD Build Plan for Java 8 to Bamboo,0,1,Yes,6914c19c35de987d,llama3.1:8b,0,2026-06-17T09:35:16.600707,project_01,title_desc,incompleteness,zero_shot
ISSUE-0976,Create a gpload batch job,0,0,No,7a495ac611754cb0,llama3.1:8b,0,2026-06-17T09:35:17.437249,project_01,title_desc,incompleteness,zero_shot
ISSUE-1548,Document the configuration of the JobRepository,0,0,No,ae21752240918d51,llama3.1:8b,0,2026-06-17T09:35:18.180369,project_01,title_desc,incompleteness,zero_shot
