issue_id,title,ground_truth,prediction,raw_response,prompt_hash,model_version,temperature,timestamp_utc,project,input_mode,task,strategy
ISSUE-2087,CLI error when not specifying module type in module commands is cryptic an not helpful,1,1,"- The title mentions a ""CLI error,"" which indicates that there's an issue with command-line interface.
- It specifies the condition under which this error occurs: when ""not specifying module type in module commands.""
- However, it describes the nature of the error as being ""cryptic and not helpful,"" but does not provide any specific details about what makes the error cryptic or how it is unhelpful.
- The title lacks clear context regarding the expected behavior or the exact nature of the error message that users encounter.
- Without more detail, one cannot determine if this refers to a lack of informative error messages or something else entirely.

Final Answer: Yes",45fe432cdb4ac061,qwen2.5:14b,0,2026-06-17T14:39:31.809581,project_01,title_only,ambiguity,few_shot_cot
ISSUE-2338,Error in correlation strategy in aggregator.xml,1,1,"- The title mentions an ""Error,"" which is a general term that does not specify what kind of error it is.
- It specifies the location as ""correlation strategy"" within ""aggregator.xml"", but this alone doesn't clarify if it's about syntax, logic, or configuration issues.
- Without additional context, such as specific symptoms or conditions under which the error occurs, the scope remains unclear.
- The term ""strategy"" can be interpreted in multiple ways depending on its implementation details and usage within the system.
- Given these points, the title does not provide enough detail to understand the exact nature of the issue.

Final Answer: Yes",8ebe04a56e1cef32,qwen2.5:14b,0,2026-06-17T14:39:34.840859,project_01,title_only,ambiguity,few_shot_cot
ISSUE-0972,deploy-working-dir is set to to root directory when container is started as service,0,1,"- The title mentions a specific environment condition (""when container is started as service"").
- It specifies a particular setting that is incorrect (""deploy-working-dir is set to to root directory"").
- However, the phrasing ""is set to to"" contains a typo and could be interpreted in multiple ways.
- Without additional context or clarification about what should be the correct value for ""deploy-working-dir"", it's unclear if this is an issue with configuration settings or a bug in how the container starts as a service.
- The ambiguity arises from the potential misinterpretation due to the typo and lack of clear expected behavior.

Final Answer: Yes",9bbe144e0d0de071,qwen2.5:14b,0,2026-06-17T14:39:37.902649,project_01,title_only,ambiguity,few_shot_cot
ISSUE-2665,Spike to model the cluster nodes.,1,1,"- The term ""Spike"" is often used in software development to refer to a short-term effort to understand or implement something quickly. However, it does not specify what exactly needs to be done.
- ""Model the cluster nodes"" lacks clarity about the specific requirements of the model (e.g., what aspects of the nodes should be modeled, why this modeling is necessary).
- The title does not provide any context regarding the purpose of modeling the cluster nodes or how the results will be used.
- There's no indication of scope — it’s unclear whether this involves all nodes in a cluster or just specific ones.
- Given these points, the issue title can be interpreted in multiple ways and lacks sufficient detail to understand its requirements clearly.

Final Answer: Yes",b6aca6bc769cc7ea,qwen2.5:14b,0,2026-06-17T14:39:41.329309,project_01,title_only,ambiguity,few_shot_cot
ISSUE-1414,Rename metrics repositories setValue(x,1,1,"- The title ""Rename metrics repositories setValue(x"" is incomplete; it lacks a closing parenthesis and does not specify what exactly needs to be renamed.
- It is unclear whether ""metrics repositories"" refers to specific files, directories, or classes within the codebase.
- The method name ""setValue(x)"" is also missing its argument type and description of what value should be set, making it ambiguous.
- There's no context provided about why renaming is necessary or which part of the system this affects.
- Given these points, the title does not provide enough clarity to understand the exact scope or nature of the change required.

Final Answer: Yes",dd85b590ec514b82,qwen2.5:14b,0,2026-06-17T14:39:44.421794,project_01,title_only,ambiguity,few_shot_cot
ISSUE-0394,Tasks Launcher should be able to record status to a central repository,0,1,"- The title mentions ""Tasks Launcher,"" which is clear about the component involved.
- However, it does not specify what kind of status needs to be recorded or how this recording should occur.
- There's no mention of a specific central repository type or its location, making the scope unclear.
- Without details on requirements and expected outcomes, there’s ambiguity in understanding the exact nature of the task.
- The title lacks context regarding why this feature is necessary or what problem it solves.

Final Answer: Yes",4f5ef6bd835367bb,qwen2.5:14b,0,2026-06-17T14:39:46.920790,project_01,title_only,ambiguity,few_shot_cot
ISSUE-2850,Richer module options metadata,1,1,"- The term ""richer"" is subjective and does not specify what exactly needs to be improved or added.
- There is no clear context provided about which module or specific functionality this refers to.
- It lacks a precise scope; it's unclear whether this means adding more options, enhancing existing ones, or something else entirely.
- The title could be interpreted in multiple ways without additional information.
- Given the vagueness and lack of specificity, the issue title is ambiguous.

Final Answer: Yes",84cc1f72b2fc0043,qwen2.5:14b,0,2026-06-17T14:39:49.427281,project_01,title_only,ambiguity,few_shot_cot
ISSUE-0549,Port FTP as s-c-s source module,0,1,"- The title mentions ""Port FTP,"" which could mean different things depending on the context. It might refer to moving an existing FTP implementation to a new environment or rewriting it.
- ""as s-c-s"" is unclear without additional context. This abbreviation could stand for many things, such as source-control system, service-component-service, etc., and its meaning is not clear from the title alone.
- The term ""source module"" might be specific to certain development practices but does not provide enough information about what exactly needs to be done or where it fits in the overall project structure.
- There's no indication of which FTP implementation is being referred to (e.g., version, existing codebase), nor any details on the target environment or requirements for the porting process.
- The title lacks specificity regarding the scope and expected outcome, making it difficult to understand what exactly needs to be accomplished.

Final Answer: Yes",1b5531271442d283,qwen2.5:14b,0,2026-06-17T14:39:53.399891,project_01,title_only,ambiguity,few_shot_cot
ISSUE-2979,Change url to access UI from browser,0,1,"- The title ""Change url to access UI from browser"" does not specify what exactly needs to be changed or why.
- It lacks context about the current state of the URL and the desired outcome after the change.
- There is no mention of which part of the application's URL structure should be modified, making it unclear in scope.
- The title could mean different things depending on whether it refers to a configuration setting, code modification, or documentation update.
- Given these points, the issue title does not provide enough clarity for someone to understand what needs to be done without further information.

Final Answer: Yes",3b2613cd595c74cb,qwen2.5:14b,0,2026-06-17T14:39:56.515670,project_01,title_only,ambiguity,few_shot_cot
ISSUE-0714,Add Logging to ZooKeeperContainerRepository,0,1,"- The title specifies a clear action (""Add Logging"") which indicates what needs to be done.
- It mentions a specific component (""ZooKeeperContainerRepository""), providing context for where the logging should be added.
- However, it does not specify why logging is needed or what kind of logs are required (e.g., debug, info, error).
- The absence of details about the purpose and type of logging can lead to multiple interpretations on how extensive or detailed the logging needs to be.
- Despite specifying a component, the lack of additional context makes it somewhat ambiguous regarding the exact requirements for the logging.

Final Answer: Yes",beb70161de8ff881,qwen2.5:14b,0,2026-06-17T14:39:59.488584,project_01,title_only,ambiguity,few_shot_cot
