issue_id,title,ground_truth,prediction,raw_response,prompt_hash,model_version,temperature,timestamp_utc
ISSUE-0001,Fix login bug #1,0,1,Yes,09c9ea5a52cccdb0,mistral:7b,0,2026-06-08T19:16:40.628619+00:00
ISSUE-0002,Update UI #2,1,1,Yes,0c9666612dd3a145,mistral:7b,0,2026-06-08T19:16:41.107834+00:00
ISSUE-0003,Add export feature #3,0,0,No,3ebba744676f2811,mistral:7b,0,2026-06-08T19:16:41.603489+00:00
ISSUE-0004,Performance issue #4,0,1,Yes,c93ee58a93197821,mistral:7b,0,2026-06-08T19:16:42.108534+00:00
ISSUE-0005,Null pointer exception #5,1,0,No,cb558d57a6e05132,mistral:7b,0,2026-06-08T19:16:42.602894+00:00
ISSUE-0006,Search not working #6,0,1,Yes,f1cd4de71d44ded8,mistral:7b,0,2026-06-08T19:16:43.104341+00:00
ISSUE-0007,Add dark mode #7,0,0,No,ad4349a34c507232,mistral:7b,0,2026-06-08T19:16:43.610246+00:00
ISSUE-0008,Crash on startup #8,0,0,No,96551b83bf3ba00e,mistral:7b,0,2026-06-08T19:16:44.107158+00:00
ISSUE-0009,Email validation #9,1,0,No,15d319cb659db321,mistral:7b,0,2026-06-08T19:16:44.609556+00:00
ISSUE-0010,Database timeout #10,1,0,No,c06251d281c62f98,mistral:7b,0,2026-06-08T19:16:45.108553+00:00
ISSUE-0011,Missing error handling #11,0,1,Yes,fe905c618bf12eff,mistral:7b,0,2026-06-08T19:16:45.607199+00:00
ISSUE-0012,API rate limiting #12,1,0,No,5d94e75357a3ec9c,mistral:7b,0,2026-06-08T19:16:46.117876+00:00
ISSUE-0013,Button color #13,1,1,Yes,c7d0cb1eda4e9e19,mistral:7b,0,2026-06-08T19:16:46.606190+00:00
ISSUE-0014,Memory leak #14,0,0,No,cea94511975ace3b,mistral:7b,0,2026-06-08T19:16:47.300222+00:00
ISSUE-0015,Update docs #15,0,0,No,11c10b7b7ebf71d3,mistral:7b,0,2026-06-08T19:16:47.613920+00:00
ISSUE-0016,File upload fails #16,1,0,No,2a91c898153da7fd,mistral:7b,0,2026-06-08T19:16:48.124533+00:00
ISSUE-0017,Wrong total #17,1,1,Yes,7346f4edbe1cad31,mistral:7b,0,2026-06-08T19:16:48.605533+00:00
ISSUE-0018,Session expiry #18,1,0,No,5bb1848fde063944,mistral:7b,0,2026-06-08T19:16:49.113766+00:00
ISSUE-0019,Fix typo #19,1,1,Yes,3020353d85da370d,mistral:7b,0,2026-06-08T19:16:49.603333+00:00
ISSUE-0020,Pagination broken #20,1,0,No,0cd26b047438700e,mistral:7b,0,2026-06-08T19:16:50.105779+00:00
ISSUE-0021,Add logging #21,1,1,Yes,a752f66d86d492ab,mistral:7b,0,2026-06-08T19:16:50.603031+00:00
ISSUE-0022,Two-factor auth #22,0,0,No,d581f6b8f15dae77,mistral:7b,0,2026-06-08T19:16:51.108040+00:00
ISSUE-0023,Improve something #23,0,1,Yes,fee80f7c6f75fea7,mistral:7b,0,2026-06-08T19:16:51.613471+00:00
ISSUE-0024,CSV import fails #24,1,0,No,5f57dacfc3c25c37,mistral:7b,0,2026-06-08T19:16:52.111104+00:00
ISSUE-0025,Profile page slow #25,0,0,No,978b29c0723fc0de,mistral:7b,0,2026-06-08T19:16:52.608907+00:00
ISSUE-0026,Notifications broken #26,1,0,No,ad1485bc267e4b41,mistral:7b,0,2026-06-08T19:16:53.116179+00:00
ISSUE-0027,Timezone bug #27,1,0,No,103dc1640aa6658d,mistral:7b,0,2026-06-08T19:16:53.620487+00:00
ISSUE-0028,Dropdown empty #28,0,0,No,980f8656b5d2cb75,mistral:7b,0,2026-06-08T19:16:54.111102+00:00
ISSUE-0029,Report generation #29,1,0,No,f6195ee9f5d379b2,mistral:7b,0,2026-06-08T19:16:54.621715+00:00
ISSUE-0030,Missing feature #30,1,1,Yes,342450d3951e652f,mistral:7b,0,2026-06-08T19:16:55.104389+00:00
ISSUE-0031,Concurrent edit conflict #31,0,0,No,6b4b5c9be832c7f2,mistral:7b,0,2026-06-08T19:16:55.631168+00:00
ISSUE-0032,Wrong redirect #32,0,0,No,d82faad81b6d11f8,mistral:7b,0,2026-06-08T19:16:56.132207+00:00
ISSUE-0033,Image resize #33,1,0,No,a917c25553414d84,mistral:7b,0,2026-06-08T19:16:56.603835+00:00
ISSUE-0034,Filter not saving #34,0,0,No,2c64877e8b5da2d0,mistral:7b,0,2026-06-08T19:16:57.120831+00:00
ISSUE-0035,Audit log missing #35,0,0,No,ee2a93e994d320df,mistral:7b,0,2026-06-08T19:16:57.634712+00:00
ISSUE-0036,Language switch broken #36,0,0,No,ef2e8c259dc20f1b,mistral:7b,0,2026-06-08T19:16:58.368296+00:00
ISSUE-0037,Role permission #37,1,1,Yes,d647b45b3f50aa52,mistral:7b,0,2026-06-08T19:16:58.654125+00:00
ISSUE-0038,Broken link #38,0,0,No,85d9f3e584256e23,mistral:7b,0,2026-06-08T19:16:59.115643+00:00
ISSUE-0039,Chart rendering #39,1,0,No,12a169fa4e351c8f,mistral:7b,0,2026-06-08T19:16:59.611018+00:00
ISSUE-0040,Delete confirmation #40,1,0,No,6a83b2ab1023aaa8,mistral:7b,0,2026-06-08T19:17:00.126285+00:00
ISSUE-0041,Fix login bug #41,1,1,Yes,c51d7d5720db33fb,mistral:7b,0,2026-06-08T19:17:00.613116+00:00
ISSUE-0042,Update UI #42,1,1,Yes,eeaab7648d2e6d13,mistral:7b,0,2026-06-08T19:17:01.112852+00:00
ISSUE-0043,Add export feature #43,0,0,No,cdd68dbd6ba12786,mistral:7b,0,2026-06-08T19:17:01.608076+00:00
ISSUE-0044,Performance issue #44,1,1,Yes,f73944693b5ebb95,mistral:7b,0,2026-06-08T19:17:02.112673+00:00
ISSUE-0045,Null pointer exception #45,1,0,No,3f041c663de73be7,mistral:7b,0,2026-06-08T19:17:02.618172+00:00
ISSUE-0046,Search not working #46,0,1,Yes,2091339e918ac4de,mistral:7b,0,2026-06-08T19:17:03.306745+00:00
ISSUE-0047,Add dark mode #47,0,0,No,46d0911c01ed6f1e,mistral:7b,0,2026-06-08T19:17:03.622025+00:00
ISSUE-0048,Crash on startup #48,0,0,No,fc2b72761eed8cbf,mistral:7b,0,2026-06-08T19:17:04.128337+00:00
ISSUE-0049,Email validation #49,0,0,No,ec32efbfc469b4d0,mistral:7b,0,2026-06-08T19:17:04.613296+00:00
ISSUE-0050,Database timeout #50,0,0,No,f9742bb82dd86dc4,mistral:7b,0,2026-06-08T19:17:05.117256+00:00
ISSUE-0051,Missing error handling #51,1,1,Yes,c9e1c1714afe44e7,mistral:7b,0,2026-06-08T19:17:05.626225+00:00
ISSUE-0052,API rate limiting #52,1,0,No,299badaad1018095,mistral:7b,0,2026-06-08T19:17:06.125386+00:00
ISSUE-0053,Button color #53,0,1,Yes,14c4cfbc36865908,mistral:7b,0,2026-06-08T19:17:06.607161+00:00
ISSUE-0054,Memory leak #54,1,0,No,707de93b1d2ec165,mistral:7b,0,2026-06-08T19:17:07.116592+00:00
ISSUE-0055,Update docs #55,1,0,No,667066ad6c05bc16,mistral:7b,0,2026-06-08T19:17:07.612904+00:00
ISSUE-0056,File upload fails #56,0,0,No,9d38d90b203ed822,mistral:7b,0,2026-06-08T19:17:08.121654+00:00
ISSUE-0057,Wrong total #57,0,1,Yes,9470ed0330f1f495,mistral:7b,0,2026-06-08T19:17:08.625387+00:00
ISSUE-0058,Session expiry #58,0,0,No,b15246591ef60624,mistral:7b,0,2026-06-08T19:17:09.141927+00:00
ISSUE-0059,Fix typo #59,1,1,Yes,c6c4619fe054787b,mistral:7b,0,2026-06-08T19:17:09.616678+00:00
ISSUE-0060,Pagination broken #60,0,0,No,6b4a810bc0f24699,mistral:7b,0,2026-06-08T19:17:10.128561+00:00
ISSUE-0061,Add logging #61,0,1,Yes,288d5fd1c03deb7a,mistral:7b,0,2026-06-08T19:17:10.623698+00:00
ISSUE-0062,Two-factor auth #62,1,0,No,224d5ab420dcb43e,mistral:7b,0,2026-06-08T19:17:11.130364+00:00
ISSUE-0063,Improve something #63,0,1,Yes,8c5eac2fff7c579e,mistral:7b,0,2026-06-08T19:17:11.633256+00:00
ISSUE-0064,CSV import fails #64,1,1,Yes,37dd50d7a2fb7ba1,mistral:7b,0,2026-06-08T19:17:12.264247+00:00
ISSUE-0065,Profile page slow #65,0,0,No,03198cc9961e797d,mistral:7b,0,2026-06-08T19:17:12.740597+00:00
ISSUE-0066,Notifications broken #66,0,0,No,66ec8d12845d78fb,mistral:7b,0,2026-06-08T19:17:13.131411+00:00
ISSUE-0067,Timezone bug #67,0,0,No,5305544c3da66e03,mistral:7b,0,2026-06-08T19:17:13.655695+00:00
ISSUE-0068,Dropdown empty #68,0,0,No,17e4d67e733adf8d,mistral:7b,0,2026-06-08T19:17:14.154614+00:00
