issue_id,title,ground_truth,prediction,raw_response,prompt_hash,model_version,temperature,timestamp_utc
ISSUE-0001,Fix login bug #1,0,1,Yes,09c9ea5a52cccdb0,qwen2.5:14b,0,2026-06-08T18:44:48.002459+00:00
ISSUE-0002,Update UI #2,1,1,Yes,0c9666612dd3a145,qwen2.5:14b,0,2026-06-08T18:44:48.923942+00:00
ISSUE-0003,Add export feature #3,0,0,No,3ebba744676f2811,qwen2.5:14b,0,2026-06-08T18:44:49.968090+00:00
ISSUE-0004,Performance issue #4,0,1,Yes,c93ee58a93197821,qwen2.5:14b,0,2026-06-08T18:44:50.939921+00:00
ISSUE-0005,Null pointer exception #5,1,0,No,cb558d57a6e05132,qwen2.5:14b,0,2026-06-08T18:44:51.954624+00:00
ISSUE-0006,Search not working #6,0,1,Yes,f1cd4de71d44ded8,qwen2.5:14b,0,2026-06-08T18:44:52.970493+00:00
ISSUE-0007,Add dark mode #7,0,0,No,ad4349a34c507232,qwen2.5:14b,0,2026-06-08T18:44:53.977131+00:00
ISSUE-0008,Crash on startup #8,0,0,No,96551b83bf3ba00e,qwen2.5:14b,0,2026-06-08T18:44:54.941212+00:00
ISSUE-0009,Email validation #9,1,0,No,15d319cb659db321,qwen2.5:14b,0,2026-06-08T18:44:55.930362+00:00
ISSUE-0010,Database timeout #10,1,0,No,c06251d281c62f98,qwen2.5:14b,0,2026-06-08T18:44:56.940112+00:00
ISSUE-0011,Missing error handling #11,0,1,Yes,fe905c618bf12eff,qwen2.5:14b,0,2026-06-08T18:44:58.020984+00:00
ISSUE-0012,API rate limiting #12,1,0,No,5d94e75357a3ec9c,qwen2.5:14b,0,2026-06-08T18:44:59.006860+00:00
ISSUE-0013,Button color #13,1,1,Yes,c7d0cb1eda4e9e19,qwen2.5:14b,0,2026-06-08T18:44:59.961396+00:00
ISSUE-0014,Memory leak #14,0,0,No,cea94511975ace3b,qwen2.5:14b,0,2026-06-08T18:45:00.970263+00:00
ISSUE-0015,Update docs #15,0,1,Yes,11c10b7b7ebf71d3,qwen2.5:14b,0,2026-06-08T18:45:01.935692+00:00
