Issue_ID,Title,Description,amb_f_T,amb_f_TD,inc_f_T,inc_f_TD,amb_d_T,amb_d_TD,inc_d_T,inc_d_TD,amb_a_T,amb_a_TD,inc_a_T,inc_a_TD,amb_s_T,amb_s_TD,inc_s_T,inc_s_TD,amb_sum_T,amb_sum_TD,inc_sum_T,inc_sum_TD,Final_amb_T,Final_amb_TD,Final_inc_T,Final_inc_TD
ISSUE-2087,CLI error when not specifying module type in module commands is cryptic an not helpful,"All of the CLI module commands that require the module name (e.g., 'module display source:mqtt') require that you preface the name with the module type. If you forget to do this, e.g., 'module display mqtt', you get a fairly cryptic exception which can confuse end users. The exception is: java.lang.StringIndexOutOfBoundsException: Failed to convert 'mqtt' to type QualifiedModuleName for option 'name,' String index out of range: -1",1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,3,0,1,0,1,0,0,0
ISSUE-2338,Error in correlation strategy in aggregator.xml,"correlation-strategy-expression=""""$}'"""" should be correlation-strategy-expression=""""$'}"""" Add a test to make sure correlation expressions here work.",1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,2,1,3,0,1,0,1,0
ISSUE-0972,deploy-working-dir is set to to root directory when container is started as service,"When Spring XD is started as a service using } the deploy-working-dir in GemFire module is resolved to the top-most directory (on Linux """"/""""). This directory is not writable by spring-xd user under which the process is executed. When a stream using GemFire is created e.g. } following exception will be thrown: [error 2015/03/24 15:55:20.798 GMT <DeploymentsPathChildrenCache-0> tid=0x34] Error when attempting to deploy JAR files on load. java.io.IOException: Unable to write to deploy directory at com.gemstone.gemfire.internal.JarDeployer.verifyWritableDeployDirectory(JarDeployer.java:589) at com.gemstone.gemfire.internal.JarDeployer.loadPreviouslyDeployedJars(JarDeployer.java:68) at com.gemstone.gemfire.internal.cache.GemFireCacheImpl.init(GemFireCacheImpl.java:839) at com.gemstone.gemfire.internal.cache.GemFireCacheImpl.create(GemFireCacheImpl.java:620) at com.gemstone.gemfire.cache.client.ClientCacheFactory.basicCreate(ClientCacheFactory.java:207) at com.gemstone.gemfire.cache.client.ClientCacheFactory.create(ClientCacheFactory.java:162) at org.springframework.data.gemfire.client.ClientCacheFactoryBean.createCache(ClientCacheFactoryBean.java:93) at org.springframework.data.gemfire.CacheFactoryBean.init(CacheFactoryBean.java:271) at org.springframework.data.gemfire.CacheFactoryBean.getObject(CacheFactoryBean.java:455) at org.springframework.data.gemfire.CacheFactoryBean.getObject(CacheFactoryBean.java:77) at org.springframework.beans.factory.support.FactoryBeanRegistrySupport.doGetObjectFromFactoryBean(FactoryBeanRegistrySupport.java:168) at org.springframework.beans.factory.support.FactoryBeanRegistrySupport.getObjectFromFactoryBean(FactoryBeanRegistrySupport.java:103) at org.springframework.beans.factory.support.AbstractBeanFactory.getObjectForBeanInstance(AbstractBeanFactory.java:1517) at org.springframework.beans.factory.support.AbstractBeanFactory.doGetBean(AbstractBeanFactory.java:251) at org.springframework.beans.factory.support.AbstractBeanFactory.getBean(AbstractBeanFactory.java:194) at org.springframework.beans.factory.support.BeanDefinitionValueResolver.resolveReference(BeanDefinitionValueResolver.java:351) at org.springframework.beans.factory.support.BeanDefinitionValueResolver.resolveValueIfNecessary(BeanDefinitionValueResolver.java:108) at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.applyPropertyValues(AbstractAutowireCapableBeanFactory.java:1469) at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.populateBean(AbstractAutowireCapableBeanFactory.java:1214) at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.doCreateBean(AbstractAutowireCapableBeanFactory.java:537) at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.createBean(AbstractAutowireCapableBeanFactory.java:476) at org.springframework.beans.factory.support.AbstractBeanFactory$1.getObject(AbstractBeanFactory.java:303) at org.springframework.beans.factory.support.DefaultSingletonBeanRegistry.getSingleton(DefaultSingletonBeanRegistry.java:230) at org.springframework.beans.factory.support.AbstractBeanFactory.doGetBean(AbstractBeanFactory.java:299) at org.springframework.beans.factory.support.AbstractBeanFactory.getBean(AbstractBeanFactory.java:194) at org.springframework.beans.factory.support.DefaultListableBeanFactory.preInstantiateSingletons(DefaultListableBeanFactory.java:743) at org.springframework.context.support.AbstractApplicationContext.finishBeanFactoryInitialization(AbstractApplicationContext.java:757) at org.springframework.context.support.AbstractApplicationContext.refresh(AbstractApplicationContext.java:480) at org.springframework.boot.SpringApplication.refresh(SpringApplication.java:691) at org.springframework.boot.SpringApplication.run(SpringApplication.java:321) at org.springframework.boot.builder.SpringApplicationBuilder.run(SpringApplicationBuilder.java:139) at org.springframework.xd.module.core.SimpleModule.initialize(SimpleModule.java:214) at org.springframework.xd.dirt.module.ModuleDeployer.doDeploy(ModuleDeployer.java:217) at org.springframework.xd.dirt.module.ModuleDeployer.deploy(ModuleDeployer.java:200) at org.springframework.xd.dirt.server.DeploymentListener.deployModule(DeploymentListener.java:363) at org.springframework.xd.dirt.server.DeploymentListener.deployStreamModule(DeploymentListener.java:332) at org.springframework.xd.dirt.server.DeploymentListener.onChildAdded(DeploymentListener.java:179) at org.springframework.xd.dirt.server.DeploymentListener.childEvent(DeploymentListener.java:147) at org.apache.curator.framework.recipes.cache.PathChildrenCache$5.apply(PathChildrenCache.java:509) at org.apache.curator.framework.recipes.cache.PathChildrenCache$5.apply(PathChildrenCache.java:503) at org.apache.curator.framework.listen.ListenerContainer$1.run(ListenerContainer.java:92) at com.google.common.util.concurrent.MoreExecutors$SameThreadExecutorService.execute(MoreExecutors.java:297) at org.apache.curator.framework.listen.ListenerContainer.forEach(ListenerContainer.java:83) at org.apache.curator.framework.recipes.cache.PathChildrenCache.callListeners(PathChildrenCache.java:500) at org.apache.curator.framework.recipes.cache.EventOperation.invoke(EventOperation.java:35) at org.apache.curator.framework.recipes.cache.PathChildrenCache$10.run(PathChildrenCache.java:762) at java.util.concurrent.Executors$RunnableAdapter.call(Executors.java:471) at java.util.concurrent.FutureTask.run(FutureTask.java:262) at java.util.concurrent.Executors$RunnableAdapter.call(Executors.java:471) at java.util.concurrent.FutureTask.run(FutureTask.java:262) at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1145) at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:615) at java.lang.Thread.run(Thread.java:745) deploy-working-dir should be set to a directory which writable by spring-xd user (maybe java.io.tmpdir?).",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
ISSUE-2665,Spike to model the cluster nodes.,Each node in the cluster advertises itself and the admin node listens to these ads and creates groups out of them. The deployment of jobs and stream processing can then be deployed onto a specific group and specific nodes within the group. The project https://github.com/spring-projects/spring-data-grid is the start of this model.,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,2,1,3,0,1,0,1,0
ISSUE-1414,Rename metrics repositories setValue(x,"y, z) to something less """"javabean"""""""",",1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,2,2,3,3,1,1,1,1
ISSUE-0394,Tasks Launcher should be able to record status to a central repository,"Need infrastructure to capture the state from the environment (lattice, local) running the task. Task Launcher needs ability to map the task state as it is reported from the cloud environment (lattice, local) to the enumerated state as specified [#here|https://docs.google.com/document/d/1tTmQMIwSUEFewYYsafK8Ji4Z9NI-5F1VFeAiWHuZSgg/edit#heading=h.2ec94f2he9ly]. The state information needs to be recorded in the task_execution table enumerated [#here|https://docs.google.com/document/d/1tTmQMIwSUEFewYYsafK8Ji4Z9NI-5F1VFeAiWHuZSgg/edit#heading=h.2ec94f2he9ly].",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
ISSUE-2850,Richer module options metadata,"Module options are currently implemented using PropertySourcesPlaceholderConfigurer, doing simple """"text"""" replacements. This story proposes to introduce a richer model for module options, which could take the following xml representation (keeping in mind that there would be an underlying set of classes that could also apply to e.g. @Configuration approach): <xd:params> <xd:param name=""""port"""" help=""""the http port to listen on"""" /> </xd:params> So, the very first obvious benefit is providing help metadata. The second one is an easy way to list available option names, without resorting to brittle PropertySourcesPlaceholderConfigurer hacks (we wouldn't for example detect xd.stream.name or XD_TRANSPORT as a valid option) One could also specify defaults/computations, this time benefiting from SpEL everywhere: <xd:params> <xd:param name=""""directory"""" default=""""headers.directory"""" /> </xd:params> Lastly, this opens the door to better type checking / combinations / optionality support: <xd:params valid=""""fixedDelay || cron""""> <xd:param name=""""fixedDelay"""" type=""""int"""" /> <xd:param name=""""cron"""" type=""""string"""" /> </xd:params> The 'valid' attribute can e.g. be evaluated by SpEL. Some final remarks: - That construct can be compatible with our current approach by behaving as a PropertySource itself (instead of creating a PropertySource, the StreamPlugin would give this new bean the java.util.Properties) - Plugins could benefit from a hook in that construct and advertise the fact that they expect/provide new options (e.g. --inputType) There is a slight problem though, which is that if this construct lives in the same AppContext as the module definition itself, then the AppContext needs to be refreshed for the logic to kick in. One could circumvent that using profiles, or we could rely on a different filename convention (e.g. <module>-params.xml)",1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,2,0,4,0,1,0,1,0
ISSUE-0549,Port FTP as s-c-s source module,"As a Spring XD developer, I'd like to port } modules from XD to s-c-s repo, so I can use them as } modules to build streaming pipeline.",1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,3,0,0,0,1,0
ISSUE-2979,Change url to access UI from browser,"Currently, the url for accessing the XD UI is }. This feels messy and dated. We should be able to access the ui without explicitly including the index.html, like this: http://localhost:8080/admin-ui",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
ISSUE-0714,Add Logging to ZooKeeperContainerRepository,"Occasional CI test build failures: Caused by: java.lang.IllegalStateException: Container cache not initialized (likely as a result of a ZooKeeper connection error) at org.springframework.util.Assert.state(Assert.java:385) at org.springframework.xd.dirt.container.store.ZooKeeperContainerRepository.ensureCache(ZooKeeperContainerRepository.java:184) at org.springframework.xd.dirt.container.store.ZooKeeperContainerRepository.findOne(ZooKeeperContainerRepository.java:263) e.g. https://build.spring.io/browse/XD-JDK8-JOB1-1514 Add logging to } (e.g. in } ) and } to log that the cache was closed; it appears that's the only way the """"cache not initialized"""" message can be emitted.",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,1,0
