issue_id,title,ground_truth,prediction,raw_response,prompt_hash,model_version,temperature,timestamp_utc,project,input_mode,task,strategy
ISSUE-38493,Review API Runtime Services Documentation,1,0,Final Answer: No,1410484d8e84ae8b,mistral:7b,0,2026-06-17T20:01:51.615882,project_02,title_only,incompleteness,cot
ISSUE-38975,Tutorial Series: Customize for Android,1,1,Final Answer: Yes,3ca8aaded881de47,mistral:7b,0,2026-06-17T20:01:52.101375,project_02,title_only,incompleteness,cot
ISSUE-40855,APIDoc: Window.modalStyle and modalTransitionStyle properties are undocumented,0,0,Final Answer: No,c2ea59629567cede,mistral:7b,0,2026-06-17T20:01:52.602329,project_02,title_only,incompleteness,cot
ISSUE-40336,APIDoc: Check all deprecated API members for appropriate message,0,0,Final Answer: No,d0d5804649e0449b,mistral:7b,0,2026-06-17T20:01:53.100014,project_02,title_only,incompleteness,cot
ISSUE-38324,Create Appcelerator Studio Guide page,1,0,Final Answer: No,611531cd741f0523,mistral:7b,0,2026-06-17T20:01:53.598049,project_02,title_only,incompleteness,cot
ISSUE-39589,Update Android Menu docs re: overflow (...) menu on devices with hardware menu button,0,0,Final Answer: No,5534f1ad16a6b1f8,mistral:7b,0,2026-06-17T20:01:54.103897,project_02,title_only,incompleteness,cot
ISSUE-38275,Rename AMPLIFY Appcelerator Services to Axway Mobile Analytics,0,0,Final Answer: No,b59be46b4170c685,mistral:7b,0,2026-06-17T20:01:54.600596,project_02,title_only,incompleteness,cot
ISSUE-38193,Remove very outdated Ti.Map documentation,0,0,Final Answer: No,105a2f512499b671,mistral:7b,0,2026-06-17T20:01:55.073688,project_02,title_only,incompleteness,cot
ISSUE-40376,Docs: Code highlighting incorrectly applied to some example blocks,1,0,Final Answer: No,856522e9f05347c6,mistral:7b,0,2026-06-17T20:01:55.598700,project_02,title_only,incompleteness,cot
ISSUE-39190,Fix link to View.touchEnabled from View.enabled,1,1,Final Answer: Yes,13ed191b088ecbde,mistral:7b,0,2026-06-17T20:01:56.099228,project_02,title_only,incompleteness,cot
ISSUE-38138,Create and publish release note for SDK 7.3.1.RC,0,0,Final Answer: No,e4dc8c281b4d7dc1,mistral:7b,0,2026-06-17T20:01:56.599510,project_02,title_only,incompleteness,cot
ISSUE-38570,Create and publish release note for Arrow 1.10.0,0,0,Final Answer: No,2e315ea48cc75cd8,mistral:7b,0,2026-06-17T20:01:57.099744,project_02,title_only,incompleteness,cot
ISSUE-39606,APIDoc: Geolocation documentation - potential error add remove event listener,1,1,Final Answer: Yes,674bd8031f8efd77,mistral:7b,0,2026-06-17T20:01:57.818231,project_02,title_only,incompleteness,cot
ISSUE-40579,Doc BUG: Titanium.UI.iPad.Popover explicitly requires a View as child but in fact requires a Window,0,1,Final Answer: Yes,ce817a5e4dfa5bf8,mistral:7b,0,2026-06-17T20:01:58.102876,project_02,title_only,incompleteness,cot
ISSUE-40465,APIDOC: Ti.UI.TableViewSection.borderRadius does not work,1,1,Final Answer: Yes,dc8fbeda58081b7e,mistral:7b,0,2026-06-17T20:01:58.620979,project_02,title_only,incompleteness,cot
ISSUE-38497,New documentation page needed for API Builder -> Swagger Specifications,0,0,Final Answer: No,0e91dc43f0d91716,mistral:7b,0,2026-06-17T20:01:59.117093,project_02,title_only,incompleteness,cot
ISSUE-39864,ACS User - need to be able to delete user without logging in as that user,0,1,Final Answer: Yes,8f4108d5351e2d3d,mistral:7b,0,2026-06-17T20:01:59.617093,project_02,title_only,incompleteness,cot
ISSUE-38249,Create and publish release note for API Builder 3.0.0,0,0,Final Answer: No,59217b75cedc9f8c,mistral:7b,0,2026-06-17T20:02:00.198092,project_02,title_only,incompleteness,cot
ISSUE-38348,Improve the doc navigation,1,0,Final Answer: No,b4791783ed2131c2,mistral:7b,0,2026-06-17T20:02:00.632430,project_02,title_only,incompleteness,cot
ISSUE-38714,incorrect link,1,1,Final Answer: Yes,69551c04c6cb03b1,mistral:7b,0,2026-06-17T20:02:01.144455,project_02,title_only,incompleteness,cot
ISSUE-38876,404 page is (unformatted) landing page,1,1,Final Answer: Yes,d256703ba75338a8,mistral:7b,0,2026-06-17T20:02:01.643453,project_02,title_only,incompleteness,cot
ISSUE-38300,Add a migration banner to all pages in the guides2 space,1,0,Final Answer: No,a4279229a4253ec6,mistral:7b,0,2026-06-17T20:02:02.134849,project_02,title_only,incompleteness,cot
ISSUE-38460,web site link doesn't exist,1,1,Final Answer: Yes,9be947e200c3ff7c,mistral:7b,0,2026-06-17T20:02:02.616568,project_02,title_only,incompleteness,cot
ISSUE-40544,Android: documentation about how to handle Android app first run is missing,0,0,Final Answer: No,ea5161f00f1d9e82,mistral:7b,0,2026-06-17T20:02:03.135190,project_02,title_only,incompleteness,cot
ISSUE-39279,iOS: createEmailDialog method doesn't work on some devices,1,1,Final Answer: Yes,bee0322915cdbc68,mistral:7b,0,2026-06-17T20:02:03.621474,project_02,title_only,incompleteness,cot
ISSUE-38926,Update iOS Interactive Notifications guide for Apple Watch,0,0,Final Answer: No,92d9e926e28f7678,mistral:7b,0,2026-06-17T20:02:04.141314,project_02,title_only,incompleteness,cot
ISSUE-40983,APIDoc: Remove click type events for mapview,0,0,Final Answer: No,a89ee3424fad7cf7,mistral:7b,0,2026-06-17T20:02:04.614770,project_02,title_only,incompleteness,cot
ISSUE-40873,APIDoc: ImageView Documentation clarification,1,0,Final Answer: No,4a7b9e0e66152448,mistral:7b,0,2026-06-17T20:02:05.117496,project_02,title_only,incompleteness,cot
ISSUE-38583,Nodejs reset password token,1,1,Final Answer: Yes,e8009348c3caa3c2,mistral:7b,0,2026-06-17T20:02:05.642407,project_02,title_only,incompleteness,cot
ISSUE-38547,Create and publish release note for Alloy 1.9.2,0,0,Final Answer: No,8c94b152105dfbdd,mistral:7b,0,2026-06-17T20:02:06.144457,project_02,title_only,incompleteness,cot
ISSUE-39410,"Doctools: hide ACS REST API """"pseudo types"""" in API reference TOC",0,0,Final Answer: No,706126101db50f3b,mistral:7b,0,2026-06-17T20:02:06.680700,project_02,title_only,incompleteness,cot
ISSUE-38316,Remove Mobile Web Support Reference from documentation,0,0,Final Answer: No,0d3987a975b69e12,mistral:7b,0,2026-06-17T20:02:07.131870,project_02,title_only,incompleteness,cot
ISSUE-40070,DocTools: Allow linking to guides sections by name in Cloud docs,0,0,Final Answer: No,5559a8cef2b4f4e3,mistral:7b,0,2026-06-17T20:02:07.633715,project_02,title_only,incompleteness,cot
ISSUE-38806,Alloy Map sample code needs to be updated,1,1,Final Answer: Yes,010e7e374bf24c78,mistral:7b,0,2026-06-17T20:02:08.120759,project_02,title_only,incompleteness,cot
ISSUE-40752,As a Titanium developer,1,1,Final Answer: Yes,7857c320e48ea89b,mistral:7b,0,2026-06-17T20:02:08.637473,project_02,title_only,incompleteness,cot
ISSUE-38413,Update API Builder Doc landing page on Axway Doc Portal,0,0,Final Answer: No,eab3d96d7b0647a8,mistral:7b,0,2026-06-17T20:02:09.137828,project_02,title_only,incompleteness,cot
ISSUE-40079,APIDoc: iOS: Sound player volume -- setting device volume,1,1,Final Answer: Yes,d9bc99bc07b8e962,mistral:7b,0,2026-06-17T20:02:09.640190,project_02,title_only,incompleteness,cot
ISSUE-39208,Clarify 'autoStyle' docs,1,1,Final Answer: Yes,fac47ee247b247dc,mistral:7b,0,2026-06-17T20:02:10.117973,project_02,title_only,incompleteness,cot
ISSUE-38600,Confirm and/or update Migrating Node.ACS Applications to Arrow page,0,1,Final Answer: Yes,07ef228cf874981b,mistral:7b,0,2026-06-17T20:02:10.640918,project_02,title_only,incompleteness,cot
ISSUE-40801,APIDoc: Background Gradient options not documented,0,0,Final Answer: No,5c74a116dab921d6,mistral:7b,0,2026-06-17T20:02:11.141859,project_02,title_only,incompleteness,cot
ISSUE-40937,APIDoc: Facebook code snippet not being rendered,0,1,Final Answer: Yes,8ca0b5aa3d1dce99,mistral:7b,0,2026-06-17T20:02:11.639208,project_02,title_only,incompleteness,cot
ISSUE-38132,Create and publish release note for CLI 7.0.6.RC,0,0,Final Answer: No,2d76393cf7ced6f7,mistral:7b,0,2026-06-17T20:02:12.158207,project_02,title_only,incompleteness,cot
ISSUE-38986,Android Themes guide needs serious updating,1,0,Final Answer: No,a9f2e5d8f35cecd4,mistral:7b,0,2026-06-17T20:02:12.641040,project_02,title_only,incompleteness,cot
ISSUE-38790,Update and extend guide on Transitions,1,0,Final Answer: No,ad432abe34f9761f,mistral:7b,0,2026-06-17T20:02:13.119447,project_02,title_only,incompleteness,cot
ISSUE-38051,Ti.Platform.id documentation needs clarification,0,0,Final Answer: No,d3571d0f04f8c221,mistral:7b,0,2026-06-17T20:02:13.635591,project_02,title_only,incompleteness,cot
ISSUE-38667,Create and publish Studio 4.7.1.GA release note,0,0,Final Answer: No,717a1e92c0758687,mistral:7b,0,2026-06-17T20:02:14.139052,project_02,title_only,incompleteness,cot
ISSUE-38004,Link for 'Titanium.UI.iOS.SystemButton' seems to be broken,0,1,Final Answer: Yes,a1ab1405283d91e1,mistral:7b,0,2026-06-17T20:02:14.633677,project_02,title_only,incompleteness,cot
ISSUE-38293,Create and publish release note for SDK 6.3.0.GA,0,0,Final Answer: No,1ad2b9bfd7a794ef,mistral:7b,0,2026-06-17T20:02:15.121392,project_02,title_only,incompleteness,cot
ISSUE-39823,Guides: Update Launch options,1,1,Final Answer: Yes,44c915cea6fb8ca4,mistral:7b,0,2026-06-17T20:02:15.616373,project_02,title_only,incompleteness,cot
ISSUE-38256,Document required Android modules changes due to V8 changes,1,1,Final Answer: Yes,601f9d1e9f4e2749,mistral:7b,0,2026-06-17T20:02:16.135091,project_02,title_only,incompleteness,cot
ISSUE-39381,Node.ACS cannot catch stdout & stderr from child processes forked by app,0,0,Final Answer: No,12007ea0662691dd,mistral:7b,0,2026-06-17T20:02:16.693787,project_02,title_only,incompleteness,cot
ISSUE-40888,APIDoc: remove from docs advice about passing functions cross-context,0,0,Final Answer: No,3b30c4ef8d30ce87,mistral:7b,0,2026-06-17T20:02:17.156434,project_02,title_only,incompleteness,cot
ISSUE-39024,Migration: Node.ACS instructions should link new guide,0,0,Final Answer: No,f9ccaf8c04d8bb3e,mistral:7b,0,2026-06-17T20:02:17.634179,project_02,title_only,incompleteness,cot
ISSUE-38189,Update Pull Request Guide and Building SDK From source,0,1,Final Answer: Yes,93684cd9adf596f8,mistral:7b,0,2026-06-17T20:02:18.139348,project_02,title_only,incompleteness,cot
ISSUE-38180,Ti.UI.WebView documentation broken/missing,0,0,Final Answer: No,c3ef0be332a85c92,mistral:7b,0,2026-06-17T20:02:18.621655,project_02,title_only,incompleteness,cot
ISSUE-40251,"JDT install directions reference """"Helios"""" not """"Indigo"""" Eclipse platform",0,1,Final Answer: Yes,01802a8dc7545202,mistral:7b,0,2026-06-17T20:02:19.139418,project_02,title_only,incompleteness,cot
ISSUE-38133,Create and publish release note for CLI 7.0.5.GA,0,0,Final Answer: No,076fc9b3ed85a25f,mistral:7b,0,2026-06-17T20:02:19.643941,project_02,title_only,incompleteness,cot
ISSUE-40671,APIDoc: Filesystem.File.createTimestamp returns 0 on Android for resource files,0,0,Final Answer: No,dcad7d728960e85a,mistral:7b,0,2026-06-17T20:02:20.141102,project_02,title_only,incompleteness,cot
ISSUE-40346,APIDoc: Analytics doc should mention raw data export,0,0,Final Answer: No,3910acd8ea7f4957,mistral:7b,0,2026-06-17T20:02:20.635402,project_02,title_only,incompleteness,cot
ISSUE-39667,ACS Custom Object Documentation Needs Corrected,0,0,Final Answer: No,fa762ddcb38bea72,mistral:7b,0,2026-06-17T20:02:21.136319,project_02,title_only,incompleteness,cot
ISSUE-38873,Ti.UI.Android.openPreferences: Does not explain how to get a preference value,0,1,Final Answer: Yes,eb4459e168bdca8a,mistral:7b,0,2026-06-17T20:02:21.648132,project_02,title_only,incompleteness,cot
ISSUE-39183,Please help review the error messages of on-demand-pricing node.ACS part,0,1,Final Answer: Yes,7969f3dfa0ac0edd,mistral:7b,0,2026-06-17T20:02:22.148162,project_02,title_only,incompleteness,cot
ISSUE-38123,Create and publish release note for SDK 7.4.0.GA,0,0,Final Answer: No,5fd5d191f7a29ab6,mistral:7b,0,2026-06-17T20:02:22.763088,project_02,title_only,incompleteness,cot
ISSUE-40183,Guides: Enhance doc for installing/using modules,1,0,Final Answer: No,d2b6bcd5257f56a7,mistral:7b,0,2026-06-17T20:02:23.143231,project_02,title_only,incompleteness,cot
ISSUE-38293,Create and publish release note for SDK 6.3.0.GA,0,0,Final Answer: No,1ad2b9bfd7a794ef,mistral:7b,0,2026-06-17T20:02:23.640520,project_02,title_only,incompleteness,cot
ISSUE-38201,Fix/Replace links to /cloud in the wiki docs,0,0,Final Answer: No,21f0402f617055f6,mistral:7b,0,2026-06-17T20:02:24.138506,project_02,title_only,incompleteness,cot
ISSUE-39132,Update docs template to better match new Dashboard look and feel,0,0,Final Answer: No,c9666e0516d7f4a5,mistral:7b,0,2026-06-17T20:02:24.638222,project_02,title_only,incompleteness,cot
ISSUE-39524,Create a new method likes/query.json,1,1,Final Answer: Yes,ce01f43562bdb59c,mistral:7b,0,2026-06-17T20:02:25.120000,project_02,title_only,incompleteness,cot
