model,strategy,model_desc,accuracy,precision,recall,f1,tp,fp,tn,fn,n_total,n_valid,n_invalid
llama3.1,zero_shot,Llama 3.1 8B,0.5,0.2857,0.0426,0.0741,2,5,48,45,100,100,0
llama3.1,few_shot,Llama 3.1 8B,0.51,0.475,0.4043,0.4368,19,21,32,28,100,100,0
llama3.1,cot,Llama 3.1 8B,0.52,0.4848,0.3404,0.4,16,17,36,31,100,100,0
llama3.1,few_shot_cot,Llama 3.1 8B,0.4646,0.4643,0.8298,0.5954,39,45,7,8,100,99,1
mistral,zero_shot,Mistral 7B Instruct v0.3,0.57,0.5588,0.4043,0.4691,19,15,38,28,100,100,0
mistral,few_shot,Mistral 7B Instruct v0.3,0.58,0.5758,0.4043,0.475,19,14,39,28,100,100,0
mistral,cot,Mistral 7B Instruct v0.3,0.53,0.5,0.6596,0.5688,31,31,22,16,100,100,0
mistral,few_shot_cot,Mistral 7B Instruct v0.3,0.46,0.4386,0.5319,0.4808,25,32,21,22,100,100,0
qwen2.5,zero_shot,Qwen 2.5 14B Instruct,0.58,0.5714,0.4255,0.4878,20,15,38,27,100,100,0
qwen2.5,few_shot,Qwen 2.5 14B Instruct,0.54,0.5152,0.3617,0.425,17,16,37,30,100,100,0
qwen2.5,cot,Qwen 2.5 14B Instruct,0.47,0.4605,0.7447,0.5691,35,41,12,12,100,100,0
qwen2.5,few_shot_cot,Qwen 2.5 14B Instruct,0.44,0.4494,0.8511,0.5882,40,49,4,7,100,100,0
ensemble,zero_shot,ensemble,0.59,0.5938,0.4043,0.481,19,13,40,28,100,100,0
ensemble,few_shot,ensemble,0.55,0.5294,0.383,0.4444,18,16,37,29,100,100,0
ensemble,cot,ensemble,0.54,0.5088,0.617,0.5577,29,28,25,18,100,100,0
ensemble,few_shot_cot,ensemble,0.42,0.4286,0.7021,0.5323,33,44,9,14,100,100,0
