Issue_Id,Title,Description,amb_f_T,amb_f_TD,inc_f_T,inc_f_TD,amb_d_T,amb_d_TD,inc_d_T,inc_d_TD,amb_a_T,amb_a_TD,inc_a_T,inc_a_TD,amb_s_T,amb_s_TD,inc_s_T,inc_s_TD,sum_amb_T,sum_amb_TD,sum_inc_T,sum_inc_TD,Final_amb_T,Final_amb_TD,Final_inc_T,Final_inc_TD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISSUE-38493,Review API Runtime Services Documentation,Review API Runtime Services documentation for the following pages and confirm whether or not any updates are necessary for the upcoming release: API Runtime Services Best Practices - [https://wiki.appcelerator.org/display/guides2/API+Runtime+Services+Best+Practices] API Runtime Services Command-Line Interface Reference - [https://wiki.appcelerator.org/display/guides2/API+Runtime+Services+Command-Line+Interface+Reference] Migrate an Application to Arrow Cloud 1.2.0 - [https://wiki.appcelerator.org/display/guides2/Migrate+an+Application+to+Arrow+Cloud+1.2.0] In-place App Upgrading - [https://wiki.appcelerator.org/display/guides2/In-place+App+Upgrading] Preventing Man-in-the-middle Attacks for API Runtime Services API Calls - [https://wiki.appcelerator.org/display/guides2/Preventing+Man-in-the-middle+Attacks+for+API+Runtime+Services+API+Calls],0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISSUE-38975,Tutorial Series: Customize for Android,Create a new tutorial series. This one will customize the basic application to have Android-specific UI features.,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,3,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISSUE-40855,APIDoc: Window.modalStyle and modalTransitionStyle properties are undocumented,"These properties are used in KS (modal_windows.js) and even shown in the sample code in the Window TDoc, but are not listed in the properties section.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISSUE-40336,APIDoc: Check all deprecated API members for appropriate message,"With support for a """"notes"""" key in the """"deprecated"""" field, we need to check all deprecated members that are still in the API. - If there is an alternative API, add a deprecation message where appropriate, linking to the alternative class/member. - Where the summary has been replaced with a deprecation message, restore the original summary (usually moved to the first line of the description). - Also, ensure that there are no bogus """"removed"""" APIs (that is, where the """"removed"""" version was a hopeful estimate, made long in the past, like Ti.Network.TCPSocket, which was """"removed"""" in 2.0, but is going to ship with 3.0.",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISSUE-38324,Create Appcelerator Studio Guide page,"Create and re-organize the Appcelerator Studio content for the """"Guide"""" page.",0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISSUE-39589,Update Android Menu docs re: overflow (...) menu on devices with hardware menu button,"From http://developer.android.com/guide/topics/ui/actionbar.html: bq. Actions that can't fit in the action bar or aren't important enough are hidden in the action overflow. The user can reveal a list of the other actions by pressing the overflow button on the right side (or the device Menu button, if available). The Action Bar docs should mention this. http://docs.appcelerator.com/platform/latest/#!/guide/Android_Action_Bar-section-36735509_AndroidActionBar-ActionItems",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISSUE-38275,Rename AMPLIFY Appcelerator Services to Axway Mobile Analytics,"In the API developer tile , rename AMPLIFY Appcelerator Services to """"Mobile Analytics"""" and also rename the following sub-topics 1)Analytics to """"Usage Analytics"""" 2)Performance to """"Performance Analytics"""" 3) Test to """"App Test",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISSUE-38193,Remove very outdated Ti.Map documentation,"https://docs.appcelerator.com/platform/latest/#!/api/Titanium.Map.View has been removed since 3.x, replaced since a long time by a standalone module. PR here: https://github.com/appcelerator/titanium_mobile/pull/9970",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISSUE-40376,Docs: Code highlighting incorrectly applied to some example blocks,"E.g. Some of the example blocks on the http://docs.appcelerator.com/titanium/2.0/index.html#/guide/ScriptDoc_XML_(SDOCML)_2.0_Specification page, look in """"A XML sample"""" example and in """"constructor"""" block -> """"Syntax"""" example.",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISSUE-39190,Fix link to View.touchEnabled from View.enabled,"[Button.enabled|http://docs.appcelerator.com/titanium/latest/#/api/Titanium.UI.View-property-enabled] property instead."""" Results: The touchEnabled link goes to View.enabled, which is also deprecated. Expected: Links to http://docs.appcelerator.com/titanium/latest/#!/api/Titanium.UI.View-property-touchEnabled",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
