issue_id,title,ground_truth,prediction,raw_response,prompt_hash,model_version,temperature,timestamp_utc,project,input_mode,task,strategy
ISSUE-38493,Review API Runtime Services Documentation,0,0,Final Answer: No,d456cd01886768b5,mistral:7b,0,2026-06-17T19:57:01.041100,project_02,title_only,ambiguity,cot
ISSUE-38975,Tutorial Series: Customize for Android,0,1,Final Answer: Yes,3465708ccf2e1b2c,mistral:7b,0,2026-06-17T19:57:01.511065,project_02,title_only,ambiguity,cot
ISSUE-40855,APIDoc: Window.modalStyle and modalTransitionStyle properties are undocumented,0,1,Final Answer: Yes,d72372ad31c23f28,mistral:7b,0,2026-06-17T19:57:01.999608,project_02,title_only,ambiguity,cot
ISSUE-40336,APIDoc: Check all deprecated API members for appropriate message,0,1,Final Answer: Yes,44a1086d5ab51ef4,mistral:7b,0,2026-06-17T19:57:02.528014,project_02,title_only,ambiguity,cot
ISSUE-38324,Create Appcelerator Studio Guide page,0,1,Final Answer: Yes,8dd3b69f3585b461,mistral:7b,0,2026-06-17T19:57:03.012486,project_02,title_only,ambiguity,cot
ISSUE-39589,Update Android Menu docs re: overflow (...) menu on devices with hardware menu button,0,1,Final Answer: Yes,a2c4182a0805f698,mistral:7b,0,2026-06-17T19:57:03.519348,project_02,title_only,ambiguity,cot
ISSUE-38275,Rename AMPLIFY Appcelerator Services to Axway Mobile Analytics,0,0,Final Answer: No,0a94055c4eb9c8dd,mistral:7b,0,2026-06-17T19:57:04.034307,project_02,title_only,ambiguity,cot
ISSUE-38193,Remove very outdated Ti.Map documentation,0,1,Final Answer: Yes,c95e7beb42a79da2,mistral:7b,0,2026-06-17T19:57:04.530003,project_02,title_only,ambiguity,cot
ISSUE-40376,Docs: Code highlighting incorrectly applied to some example blocks,0,1,Final Answer: Yes,607f9450019ea26d,mistral:7b,0,2026-06-17T19:57:05.014582,project_02,title_only,ambiguity,cot
ISSUE-39190,Fix link to View.touchEnabled from View.enabled,0,1,Final Answer: Yes,3cc39e77c9eedc8b,mistral:7b,0,2026-06-17T19:57:05.517331,project_02,title_only,ambiguity,cot
ISSUE-38138,Create and publish release note for SDK 7.3.1.RC,0,0,Final Answer: No,bd2f3d4a75252a11,mistral:7b,0,2026-06-17T19:57:06.019570,project_02,title_only,ambiguity,cot
ISSUE-38570,Create and publish release note for Arrow 1.10.0,0,0,Final Answer: No,e2677c5c1b1b0c7d,mistral:7b,0,2026-06-17T19:57:06.494581,project_02,title_only,ambiguity,cot
ISSUE-39606,APIDoc: Geolocation documentation - potential error add remove event listener,0,1,Final Answer: Yes,2a9314171962a10c,mistral:7b,0,2026-06-17T19:57:07.036806,project_02,title_only,ambiguity,cot
