issue_id,title,ground_truth,prediction,raw_response,prompt_hash,model_version,temperature,timestamp_utc,project,input_mode,task,strategy
ISSUE-2087,CLI error when not specifying module type in module commands is cryptic an not helpful,0,0,No,d22d2e03fa918828,qwen2.5:14b,0,2026-06-17T14:45:53.261333,project_01,title_only,incompleteness,few_shot
ISSUE-2338,Error in correlation strategy in aggregator.xml,1,1,Yes,15e766c3d2332529,qwen2.5:14b,0,2026-06-17T14:45:54.255516,project_01,title_only,incompleteness,few_shot
ISSUE-0972,deploy-working-dir is set to to root directory when container is started as service,0,0,No,f36f181d75fa69d3,qwen2.5:14b,0,2026-06-17T14:45:55.216132,project_01,title_only,incompleteness,few_shot
ISSUE-2665,Spike to model the cluster nodes.,1,1,Yes,1416a71d0474a04c,qwen2.5:14b,0,2026-06-17T14:45:56.285229,project_01,title_only,incompleteness,few_shot
ISSUE-1414,Rename metrics repositories setValue(x,1,1,Yes,06858d0a70f63b02,qwen2.5:14b,0,2026-06-17T14:45:57.236835,project_01,title_only,incompleteness,few_shot
ISSUE-0394,Tasks Launcher should be able to record status to a central repository,0,1,Yes,6081ef4dac7ffaee,qwen2.5:14b,0,2026-06-17T14:45:58.288870,project_01,title_only,incompleteness,few_shot
ISSUE-2850,Richer module options metadata,1,1,Yes,40329ca345ca625b,qwen2.5:14b,0,2026-06-17T14:45:59.286287,project_01,title_only,incompleteness,few_shot
ISSUE-0549,Port FTP as s-c-s source module,1,1,Yes,9cdb692ccf734e36,qwen2.5:14b,0,2026-06-17T14:46:00.263710,project_01,title_only,incompleteness,few_shot
ISSUE-2979,Change url to access UI from browser,0,1,Yes,2bcb3ca0c760ea04,qwen2.5:14b,0,2026-06-17T14:46:01.332053,project_01,title_only,incompleteness,few_shot
ISSUE-0714,Add Logging to ZooKeeperContainerRepository,1,1,Yes,0764bcd3425ffdfe,qwen2.5:14b,0,2026-06-17T14:46:02.301275,project_01,title_only,incompleteness,few_shot
ISSUE-1907,DefaultContainerMatcher - Improve Logging and mention affected Module,0,1,Yes,85ec47487060a1c9,qwen2.5:14b,0,2026-06-17T14:46:03.263664,project_01,title_only,incompleteness,few_shot
ISSUE-1146,http-client Improvement (userDefinedHeaderPrefix),1,1,Yes,69fddfcb5a7a010f,qwen2.5:14b,0,2026-06-17T14:46:04.261188,project_01,title_only,incompleteness,few_shot
ISSUE-3079,Deploy a new job module *after* XD-singlenode container has started.,0,1,Yes,27d9b6b3cadbefd6,qwen2.5:14b,0,2026-06-17T14:46:05.265234,project_01,title_only,incompleteness,few_shot
ISSUE-0367,Spike: Study scope to add support for hdfs commands in shell,1,1,Yes,2622b718201604d7,qwen2.5:14b,0,2026-06-17T14:46:06.253203,project_01,title_only,incompleteness,few_shot
ISSUE-3374,Documentation for AggregateCounter,1,1,Yes,cca2147d17c8d302,qwen2.5:14b,0,2026-06-17T14:46:07.274317,project_01,title_only,incompleteness,few_shot
ISSUE-0460,First deploy/launch of Pig job that includes yarn-site.xml file fails,0,0,No,1ccc4c6dbae8926f,qwen2.5:14b,0,2026-06-17T14:46:08.259376,project_01,title_only,incompleteness,few_shot
ISSUE-0456,Refactor Task parsing,1,1,Yes,86dc6af4a7e0cab7,qwen2.5:14b,0,2026-06-17T14:46:09.278928,project_01,title_only,incompleteness,few_shot
