issue_id,title,ground_truth,prediction,raw_response,prompt_hash,model_version,temperature,timestamp_utc,project,input_mode,task,strategy
ISSUE-2087,CLI error when not specifying module type in module commands is cryptic an not helpful,0,1,"Final Answer: Yes

Reasoning: The issue title mentions a CLI error but does not specify the exact error message, the affected command(s), the expected behaviour when specifying the module type, or any details about the environment or system configuration. These are essential pieces of information needed to effectively diagnose and resolve the issue.",8f2eb7fe19eb69c6,mistral:7b,0,2026-06-17T19:43:30.209929,project_01,title_only,incompleteness,few_shot_cot
ISSUE-2338,Error in correlation strategy in aggregator.xml,1,1,"Final Answer: Yes

Reasoning: The issue title mentions an error in a specific file (aggregator.xml) and the type of error being related to a correlation strategy. However, it lacks essential information such as the steps to reproduce the error, the expected vs actual behaviour, the affected components or system context, and any acceptance criteria for resolving the issue. Therefore, the issue is considered incomplete.",3d4cc7c7f40cff30,mistral:7b,0,2026-06-17T19:43:31.205897,project_01,title_only,incompleteness,few_shot_cot
ISSUE-0972,deploy-working-dir is set to to root directory when container is started as service,0,1,"Final Answer: Yes

Reasoning: The issue title mentions a problem with the 'deploy-working-dir' being set to the root directory, but it lacks essential information such as the context of this setting (e.g., which service or application), the expected behaviour, and any relevant environment details like the container runtime or service manager used. Without these details, it is difficult to fully understand the issue and determine potential causes or solutions.",1211e9f8fed1d3f4,mistral:7b,0,2026-06-17T19:43:32.262506,project_01,title_only,incompleteness,few_shot_cot
ISSUE-2665,Spike to model the cluster nodes.,1,1,"Final Answer: Yes

Reasoning: The issue title ""Spike to model the cluster nodes"" does not contain essential information such as the purpose of modeling these nodes, the programming language or tools to be used, the expected outcome, and the affected components. It is incomplete and requires additional details for a proper analysis and implementation.",27c0b03475559556,mistral:7b,0,2026-06-17T19:43:33.101376,project_01,title_only,incompleteness,few_shot_cot
ISSUE-1414,Rename metrics repositories setValue(x,1,1,"Final Answer: Yes

Reasoning: The issue title ""Rename metrics repositories setValue(x)"" does not contain essential information such as which specific repositories need to be renamed, what the new names should be, under what conditions this change should occur, and whether there are any acceptance criteria or affected components. Therefore, it is considered incomplete.",49530e2781a509c4,mistral:7b,0,2026-06-17T19:43:34.005633,project_01,title_only,incompleteness,few_shot_cot
ISSUE-0394,Tasks Launcher should be able to record status to a central repository,0,1,"Final Answer: Yes

Reasoning: Missing essential information such as which tasks launcher we are referring to, what status fields need to be recorded, how the recording should occur (API, database, etc.), and under what conditions the status should be updated. Additionally, there is no mention of acceptance criteria or affected components.",5e2879e4f4a279c2,mistral:7b,0,2026-06-17T19:43:34.836869,project_01,title_only,incompleteness,few_shot_cot
ISSUE-2850,Richer module options metadata,1,1,"Final Answer: Yes

Reasoning: The issue title ""Richer module options metadata"" does not contain essential information such as what specific changes are required for the module options, how the richer metadata should be implemented, which modules are affected, or any acceptance criteria. Therefore, it is incomplete.",b0e77ce340a1f20f,mistral:7b,0,2026-06-17T19:43:35.626676,project_01,title_only,incompleteness,few_shot_cot
ISSUE-0549,Port FTP as s-c-s source module,1,1,"Final Answer: Yes

Reasoning: Missing essential information such as which specific FTP protocol to port, what changes are required in the existing source module, how the transition will affect other modules or functionalities, and acceptance criteria.",1f2c94d0d6092315,mistral:7b,0,2026-06-17T19:43:36.290897,project_01,title_only,incompleteness,few_shot_cot
ISSUE-2979,Change url to access UI from browser,0,1,"Final Answer: Yes

Reasoning: The issue title ""Change url to access UI from browser"" is missing essential information such as the current URL, the expected new URL, and any specific conditions or environment details that might be necessary for reproducing and resolving the issue. Additionally, it does not specify whether this change affects only certain components of the UI or the entire system.",dfe1f19df194b3fd,mistral:7b,0,2026-06-17T19:43:37.220951,project_01,title_only,incompleteness,few_shot_cot
ISSUE-0714,Add Logging to ZooKeeperContainerRepository,1,1,"Final Answer: Yes

Reasoning: Missing essential information such as what specific logging should be added, under which conditions the logging should occur, and whether there are any acceptance criteria or affected components.",ffd7614cfcf81688,mistral:7b,0,2026-06-17T19:43:37.847507,project_01,title_only,incompleteness,few_shot_cot
