issue_id,title,ground_truth,prediction,raw_response,prompt_hash,model_version,temperature,timestamp_utc,project,input_mode,task,strategy
ISSUE-251590,Test with latest versions of Boost,1,1,Yes,4dcebf33ec11e482,mistral:7b,0,2026-06-17T20:38:05.980571,project_04,title_only,incompleteness,few_shot
ISSUE-252462,Determine C++ Driver version from examining the headers,0,1,Yes,c6c628c6b9384a6a,mistral:7b,0,2026-06-17T20:38:06.466591,project_04,title_only,incompleteness,few_shot
ISSUE-250680,Use cmake,1,1,Yes,0ef6633175176b61,mistral:7b,0,2026-06-17T20:38:06.965320,project_04,title_only,incompleteness,few_shot
ISSUE-252307,Include regex elements in BSONArrayBuilder,0,1,Yes,efeb329986890784,mistral:7b,0,2026-06-17T20:38:07.464582,project_04,title_only,incompleteness,few_shot
ISSUE-250777,Defer checking if a deployment supports sessions until the session's first operation,0,1,Yes,c1cbfeb7f70521a1,mistral:7b,0,2026-06-17T20:38:07.965625,project_04,title_only,incompleteness,few_shot
ISSUE-252448,Static archive fails to force inclusion of global initializers,0,1,Yes,447ce87aa89cd3c2,mistral:7b,0,2026-06-17T20:38:08.465891,project_04,title_only,incompleteness,few_shot
ISSUE-251874,Add ordered option to insert_many,1,1,Yes,9871476e886d8e04,mistral:7b,0,2026-06-17T20:38:08.964356,project_04,title_only,incompleteness,few_shot
ISSUE-251692,Bug When Trying to 'Make',1,1,Yes,a24521c05881c3be,mistral:7b,0,2026-06-17T20:38:09.463710,project_04,title_only,incompleteness,few_shot
ISSUE-251622,Can't construct operation_exception without a server error,0,1,Yes,bb7ace9a24b216ea,mistral:7b,0,2026-06-17T20:38:09.967922,project_04,title_only,incompleteness,few_shot
ISSUE-252149,Polyfill stdx::string_view,1,1,Yes,a00e81a31763e137,mistral:7b,0,2026-06-17T20:38:10.466010,project_04,title_only,incompleteness,few_shot
ISSUE-252321,Files dependent on make_shared should include make_shared.hpp,0,1,Yes,d369919f1d726b85,mistral:7b,0,2026-06-17T20:38:10.965620,project_04,title_only,incompleteness,few_shot
ISSUE-252438,Update travis configuration to run the client examples,0,1,Yes,29b24bbc78862926,mistral:7b,0,2026-06-17T20:38:11.464507,project_04,title_only,incompleteness,few_shot
ISSUE-251649,Add support for MongoDB 3.4 to the legacy C++ driver.,0,0,No,b4a84edd609a7bbd,mistral:7b,0,2026-06-17T20:38:11.984436,project_04,title_only,incompleteness,few_shot
ISSUE-251049,Resync SDAM tests,1,1,Yes,35a7bc417f007d8f,mistral:7b,0,2026-06-17T20:38:12.483526,project_04,title_only,incompleteness,few_shot
ISSUE-252416,rotatable_file_writer_test does not compile in C++11 mode with libc++,0,0,No,25a0a241c8d21aed,mistral:7b,0,2026-06-17T20:38:12.967554,project_04,title_only,incompleteness,few_shot
ISSUE-251115,Implement SASLPrep,1,1,Yes,7d5c489993a10114,mistral:7b,0,2026-06-17T20:38:13.465396,project_04,title_only,incompleteness,few_shot
ISSUE-250886,Investigate alternatives to Catch2,1,1,Yes,1598bfc4868ce9be,mistral:7b,0,2026-06-17T20:38:13.962672,project_04,title_only,incompleteness,few_shot
ISSUE-251990,missing bsoncxx::document::view::empty,1,1,Yes,c64027715faf8668,mistral:7b,0,2026-06-17T20:38:14.467664,project_04,title_only,incompleteness,few_shot
ISSUE-252201,Create buildvariant for Ubuntu 12.04,0,1,Yes,fc211a35240704db,mistral:7b,0,2026-06-17T20:38:14.964095,project_04,title_only,incompleteness,few_shot
ISSUE-251862,Backport server r3.0.7..r3.0.8 changes,0,1,Yes,27e0185aedb8ca6d,mistral:7b,0,2026-06-17T20:38:15.465370,project_04,title_only,incompleteness,few_shot
ISSUE-251902,Make special commands (inprog,1,1,Yes,498738e72a524651,mistral:7b,0,2026-06-17T20:38:15.966211,project_04,title_only,incompleteness,few_shot
ISSUE-250935,Create C++17 variants,1,1,Yes,0ba78c666eef0902,mistral:7b,0,2026-06-17T20:38:16.463865,project_04,title_only,incompleteness,few_shot
ISSUE-251484,collection::distinct return should allow iteration over results,0,1,Yes,095488c87c204703,mistral:7b,0,2026-06-17T20:38:16.966354,project_04,title_only,incompleteness,few_shot
ISSUE-251767,Fix TODO comments about linking to documentation when available,0,1,Yes,b41901dc43cc9813,mistral:7b,0,2026-06-17T20:38:17.467444,project_04,title_only,incompleteness,few_shot
ISSUE-252082,Reparent OperationException below DBException,0,1,Yes,c2aeafd4fa460f95,mistral:7b,0,2026-06-17T20:38:17.963177,project_04,title_only,incompleteness,few_shot
ISSUE-251826,Stream builder error for invalid context is unfriendly,0,1,Yes,2c31e0233eda5b5c,mistral:7b,0,2026-06-17T20:38:18.468462,project_04,title_only,incompleteness,few_shot
ISSUE-252418,Remove dependency on boost program_options,0,1,Yes,07afcab5772c1118,mistral:7b,0,2026-06-17T20:38:18.963906,project_04,title_only,incompleteness,few_shot
ISSUE-250681,WINDOWS | Release build,1,1,Yes,ba49d91cf26bced5,mistral:7b,0,2026-06-17T20:38:19.468504,project_04,title_only,incompleteness,few_shot
ISSUE-251940,auto_reconnect using ConnectionString API,1,1,Yes,d6aee1fd1a4f2475,mistral:7b,0,2026-06-17T20:38:19.967040,project_04,title_only,incompleteness,few_shot
ISSUE-252206,libmongoclient.so not generated when compling lateset c++ driver,0,1,Yes,483cb2a05efd6405,mistral:7b,0,2026-06-17T20:38:20.485703,project_04,title_only,incompleteness,few_shot
ISSUE-252474,Enforce /MD with Windows C++ DLL driver,0,1,Yes,feb7691c8cf40ca2,mistral:7b,0,2026-06-17T20:38:20.965506,project_04,title_only,incompleteness,few_shot
ISSUE-251467,Mutator methods which return non-void should document their return value,0,0,No,6a35a1cd2956e6fa,mistral:7b,0,2026-06-17T20:38:21.468662,project_04,title_only,incompleteness,few_shot
ISSUE-250928,Test with gcc 4.9?,1,1,Yes,10c16dc4021c7524,mistral:7b,0,2026-06-17T20:38:21.983123,project_04,title_only,incompleteness,few_shot
ISSUE-250906,Regenerate test certificates with SHA256 signatures,0,1,Yes,2ef9b96f3f4e2e39,mistral:7b,0,2026-06-17T20:38:22.465775,project_04,title_only,incompleteness,few_shot
ISSUE-251809,Allow configuration of SSL independently of the C driver,0,1,Yes,5181264b2d20cfcf,mistral:7b,0,2026-06-17T20:38:22.969238,project_04,title_only,incompleteness,few_shot
ISSUE-251443,Update release documentation to discuss moving releases/stable branch,0,1,Yes,dbf4a6621122e5fd,mistral:7b,0,2026-06-17T20:38:23.465478,project_04,title_only,incompleteness,few_shot
ISSUE-252069,Use of TARGET_OBJECTS in CMake build produces incorrect shared library,0,1,Yes,77d51796ccc43c51,mistral:7b,0,2026-06-17T20:38:23.985074,project_04,title_only,incompleteness,few_shot
ISSUE-251960,clang-format the legacy driver,1,1,Yes,e0ecba2b7746be88,mistral:7b,0,2026-06-17T20:38:24.464185,project_04,title_only,incompleteness,few_shot
ISSUE-252104,"improve handling of """"node is recovering"""" errors",0,1,Yes,f9fbbd83e2e43925,mistral:7b,0,2026-06-17T20:38:24.985078,project_04,title_only,incompleteness,few_shot
ISSUE-250562,BSON UDL for from_json,1,1,Yes,d22d6d1e4a36592c,mistral:7b,0,2026-06-17T20:38:25.439508,project_04,title_only,incompleteness,few_shot
ISSUE-251355,Move mongocxx::libbson code somewhere where bsoncxx can access it,0,1,Yes,f809d32459c77f4d,mistral:7b,0,2026-06-17T20:38:25.965513,project_04,title_only,incompleteness,few_shot
ISSUE-251652,Compile error with clang/libc++ on Linux due to ambiguous call to 'append' member function,0,0,No,3f6ee921f0ac0fae,mistral:7b,0,2026-06-17T20:38:26.484466,project_04,title_only,incompleteness,few_shot
ISSUE-251739,Backport server r3.0.8..r3.0.12 changes,1,1,Yes,f8f14eeac9978a12,mistral:7b,0,2026-06-17T20:38:27.108079,project_04,title_only,incompleteness,few_shot
ISSUE-250612,"Windows tasks failing with """"insufficient disk space"""" on Evergreen",0,0,No,6606cf14709a7271,mistral:7b,0,2026-06-17T20:38:27.467336,project_04,title_only,incompleteness,few_shot
ISSUE-252465,libmongoclient should not link db/commands.cpp,0,1,Yes,9c6b78f07cacc770,mistral:7b,0,2026-06-17T20:38:27.968095,project_04,title_only,incompleteness,few_shot
ISSUE-251807,Add VS2015 builders for legacy C++ driver,0,1,Yes,a5c42cf9812c2ec1,mistral:7b,0,2026-06-17T20:38:28.467934,project_04,title_only,incompleteness,few_shot
