issue_id,title,ground_truth,prediction,raw_response,prompt_hash,model_version,temperature,timestamp_utc
ISSUE-0001,Fix login bug #1,0,1,Final Answer: Yes,f69f60d0f89b03b8,mistral:7b,0,2026-06-08T19:17:30.490777+00:00
ISSUE-0002,Update UI #2,1,1,"Final Answer: Yes

Explanation:
1. The issue provides a title and description, but it does not specify which part of the UI needs updating, what changes are required, or any other relevant details.
2. The language used in the issue is vague as it does not provide clear instructions on what exactly needs to be updated in the UI.
3. Without more context, this issue can indeed be interpreted in multiple ways, such as updating the layout, design, functionality, or even the version of the UI.",35a795c04b15238f,mistral:7b,0,2026-06-08T19:17:31.864223+00:00
ISSUE-0003,Add export feature #3,0,0,"Final Answer: No

Explanation:
1. The issue provides a specific requirement to add an export feature for data from the reports page.
2. The language used is clear and concise, stating that the data should be exported in CSV format.
3. There is no ambiguity as the requirement is straightforward - to export data from the reports page in CSV format.",a55aa61f7ee7a890,mistral:7b,0,2026-06-08T19:17:32.794308+00:00
ISSUE-0004,Performance issue #4,0,1,Final Answer: Yes,c277f36f14c00ff9,mistral:7b,0,2026-06-08T19:17:33.060365+00:00
ISSUE-0005,Null pointer exception #5,1,0,"Final Answer: No

Explanation:
1. The issue provides specific details about a NullPointerException, the affected class (UserService.java), and the line number (142) where the error occurs. It also mentions that the exception is thrown when userId is null.
2. The language used in this issue is clear and concise.
3. Since all necessary details are provided, there's no room for multiple interpretations of the issue.",8187627fc78aaa27,mistral:7b,0,2026-06-08T19:17:34.369554+00:00
ISSUE-0006,Search not working #6,0,1,Final Answer: Yes,bc390185cb5ecceb,mistral:7b,0,2026-06-08T19:17:34.646337+00:00
ISSUE-0007,Add dark mode #7,0,0,"Final Answer: No

Explanation:
1. The issue title and description provide a clear request for implementing a dark mode toggle in settings with persistent preference via localStorage.
2. The language used is clear and specific, with no vague terms or phrases.
3. There is only one reasonable interpretation of the issue based on the provided information.",7a8b8a5c6d34faa6,mistral:7b,0,2026-06-08T19:17:35.692908+00:00
ISSUE-0008,Crash on startup #8,0,1,Final Answer: Yes,ed3bea2de992384e,mistral:7b,0,2026-06-08T19:17:35.949261+00:00
ISSUE-0009,Email validation #9,1,0,"Final Answer: No

Explanation:
1. The issue provides a specific task - to validate email format on registration form and show inline error messages.
2. The language used is clear and concise, with no vague terms or phrases.
3. There is only one interpretation for this issue, which is to implement an email validation feature on the registration form that displays error messages in line with the input field.",8e5b99701d596a4e,mistral:7b,0,2026-06-08T19:17:37.158764+00:00
ISSUE-0010,Database timeout #10,1,1,"Final Answer: Yes

Explanation:
1. The issue provides information about a database timeout that occurs under heavy load with more than 500 concurrent users.
2. While the language is not overtly vague, it lacks specific details such as the exact nature of the DB queries, the type of database being used, and the specific error messages encountered.
3. The issue can be interpreted in multiple ways due to the absence of these crucial details, making it difficult to pinpoint the root cause or implement a definitive solution.",acb3820607f3fb84,mistral:7b,0,2026-06-08T19:17:38.361067+00:00
