issue_id,title,ground_truth,prediction,raw_response,prompt_hash,model_version,temperature,timestamp_utc,project,input_mode,task,strategy
ISSUE-207056,Build badges in several github repos have stopped working,0,0,No,bfecd13b9100f2e1,qwen2.5:14b,0,2026-06-17T16:54:05.408605,project_03,title_desc,ambiguity,zero_shot
ISSUE-206571,Indy-sdk integration,0,1,Yes,c64eef15dfa017f1,qwen2.5:14b,0,2026-06-17T16:54:06.255869,project_03,title_desc,ambiguity,zero_shot
ISSUE-205754,Assist EV QA,0,1,Yes,a2ef2a1b89c8ca5c,qwen2.5:14b,0,2026-06-17T16:54:07.309038,project_03,title_desc,ambiguity,zero_shot
ISSUE-206786,I should be able to load a .sovrin file from a URL directly into the CLI,0,0,No,7f4e478d28e15e4a,qwen2.5:14b,0,2026-06-17T16:54:08.271211,project_03,title_desc,ambiguity,zero_shot
ISSUE-206184,Configurations should contain certain version of pip,0,0,No,5a4c3013175d9887,qwen2.5:14b,0,2026-06-17T16:54:09.843818,project_03,title_desc,ambiguity,zero_shot
ISSUE-205916,read_ledger tool is not able to read the sovrin plugin ledger,0,0,No,e66bfd415200db1d,qwen2.5:14b,0,2026-06-17T16:54:10.881318,project_03,title_desc,ambiguity,zero_shot
ISSUE-206000,AttributeError: 'NoneType' object has no attribute 'request' during load,0,0,No,af99e16fa2d5557e,qwen2.5:14b,0,2026-06-17T16:54:11.720986,project_03,title_desc,ambiguity,zero_shot
ISSUE-207179,Make sure Nodes upgrade eagerly,0,1,Yes,5938eb3322ace864,qwen2.5:14b,0,2026-06-17T16:54:12.727704,project_03,title_desc,ambiguity,zero_shot
ISSUE-207175,Testing: do a lot of concurrent writes and reads to same values,0,1,Yes,75f4ed16cc26a755,qwen2.5:14b,0,2026-06-17T16:54:13.680701,project_03,title_desc,ambiguity,zero_shot
ISSUE-205301,Responses to client validator info requests very slow on a StagingNet node,0,0,No,9a433bc3a69383ab,qwen2.5:14b,0,2026-06-17T16:54:15.394018,project_03,title_desc,ambiguity,zero_shot
ISSUE-206412,Create Entity Relationship Diagram of current ledger objects including primary and secondary keys used to link each object together.,0,0,No,db5d3f1bac93c5bd,qwen2.5:14b,0,2026-06-17T16:54:16.496673,project_03,title_desc,ambiguity,zero_shot
ISSUE-206580,Explore: Can doing a ping in the Getting Started Tutorial delete the active wallet,0,0,No,d3337fb37a3c2b20,qwen2.5:14b,0,2026-06-17T16:54:17.334836,project_03,title_desc,ambiguity,zero_shot
ISSUE-206497,Unclear messages appear during reading transactions,0,0,No,acb54469cb09beb9,qwen2.5:14b,0,2026-06-17T16:54:19.395612,project_03,title_desc,ambiguity,zero_shot
ISSUE-205266,1.10.0 Release,0,0,No,1244f9538c0b8043,qwen2.5:14b,0,2026-06-17T16:54:20.640822,project_03,title_desc,ambiguity,zero_shot
ISSUE-206591,Incubation: Remove all non-Indy branding from indy-anoncreds repo,0,0,No,f8fa135050a593d8,qwen2.5:14b,0,2026-06-17T16:54:21.440409,project_03,title_desc,ambiguity,zero_shot
ISSUE-207055,Make the tests working using pure pytest,0,1,Yes,0a283065812038f2,qwen2.5:14b,0,2026-06-17T16:54:22.493070,project_03,title_desc,ambiguity,zero_shot
ISSUE-206198,The node blacklisted the remaining nodes during network problems,0,0,No,1cb8303e39cb4618,qwen2.5:14b,0,2026-06-17T16:54:23.510743,project_03,title_desc,ambiguity,zero_shot
ISSUE-205670,Tests using the sdk fail on the master branch,0,0,No,0ed650719d06f437,qwen2.5:14b,0,2026-06-17T16:54:24.726676,project_03,title_desc,ambiguity,zero_shot
ISSUE-205185,Write a script to upgrade audit ledger for the new state recovered from ledger,0,1,Yes,3d3bd3815b1ebf89,qwen2.5:14b,0,2026-06-17T16:54:25.608469,project_03,title_desc,ambiguity,zero_shot
ISSUE-205803,Find out maximal pool performance numbers for mixed mode (read and write),0,1,Yes,2434a3c92ff9d9c1,qwen2.5:14b,0,2026-06-17T16:54:26.529285,project_03,title_desc,ambiguity,zero_shot
ISSUE-206213,Read-ledger without storage copy in case of RocksDB (RocksDB read-only mode support),0,0,No,d05d79b47f4544ba,qwen2.5:14b,0,2026-06-17T16:54:27.561093,project_03,title_desc,ambiguity,zero_shot
ISSUE-205553,Node that does not upgrade spams the config ledger,0,0,No,46e4c3d332de16f2,qwen2.5:14b,0,2026-06-17T16:54:28.561639,project_03,title_desc,ambiguity,zero_shot
ISSUE-206193,[QA] Script for filling the ledger doesn't work,0,0,No,36efba509ed2275a,qwen2.5:14b,0,2026-06-17T16:54:30.431040,project_03,title_desc,ambiguity,zero_shot
ISSUE-207334,Send NYM command is not executed on Shakedown Pool 1,0,0,No,64a51e0aa75fe68d,qwen2.5:14b,0,2026-06-17T16:54:31.536542,project_03,title_desc,ambiguity,zero_shot
ISSUE-206998,roll back default where zmq high water mark = 0,0,0,No,9ba54e95eb91745f,qwen2.5:14b,0,2026-06-17T16:54:32.373088,project_03,title_desc,ambiguity,zero_shot
ISSUE-206222,Errors with configs during installation,0,0,No,eb72fc8270387054,qwen2.5:14b,0,2026-06-17T16:54:33.400986,project_03,title_desc,ambiguity,zero_shot
ISSUE-207211,Node crashes if out of disk space,0,0,No,0703bdf902a79e19,qwen2.5:14b,0,2026-06-17T16:54:34.362065,project_03,title_desc,ambiguity,zero_shot
ISSUE-205565,Unable to choose volume type using pool automation scripts,0,1,Yes,387374ad99118848,qwen2.5:14b,0,2026-06-17T16:54:35.258003,project_03,title_desc,ambiguity,zero_shot
ISSUE-205746,1.6.74 Release,0,1,Yes,a8370dad2fa00139,qwen2.5:14b,0,2026-06-17T16:54:36.492068,project_03,title_desc,ambiguity,zero_shot
