issue_id,title,ground_truth,prediction,raw_response,prompt_hash,model_version,temperature,timestamp_utc
ISSUE-0001,Fix login bug #1,0,1,"Reasoning: The description lacks essential details such as specific conditions under which users cannot log in, steps to reproduce the issue, expected vs actual behavior, acceptance criteria, and environment details. Without these specifics, it's impossible to fully understand or address the problem.

Final Answer: Yes",5877a38fe628d06c,qwen2.5:14b,0,2026-06-08T19:08:12.661217+00:00
ISSUE-0002,Update UI #2,0,1,"Reasoning: The description ""The interface needs updating"" is extremely vague and lacks specific details. It does not specify what aspects of the UI need to be updated, what changes are required, who will trigger these updates, or any acceptance criteria that would define when the update is complete. There's no mention of affected components or environment details.

Final Answer: Yes",0fccaf441275c223,qwen2.5:14b,0,2026-06-08T19:08:14.503377+00:00
ISSUE-0003,Add export feature #3,0,1,"Reasoning: The description mentions that exporting data in CSV format is needed from the reports page. However, it lacks several critical details:
1. What specific data needs to be exported?
2. Who triggers this export action?
3. Where should the exported file be saved or how should it be delivered (e.g., download link)?
4. Acceptance criteria for when the feature can be considered complete.
5. Any environment-specific requirements or constraints.

Final Answer: Yes",faccdbbfb2560e4b,qwen2.5:14b,0,2026-06-08T19:08:16.701471+00:00
ISSUE-0004,Performance issue #4,0,1,"Reasoning: The description ""The app is slow"" lacks essential details such as specific performance metrics, steps to reproduce the issue, affected components or features, environment details, and expected vs actual behavior. Without these critical pieces of information, it's impossible for developers to understand the scope of the problem or how to address it effectively.

Final Answer: Yes",225fc7c77f423ad0,qwen2.5:14b,0,2026-06-08T19:08:18.472238+00:00
ISSUE-0005,Null pointer exception #5,0,1,"Reasoning: The description provides information about a specific error (NullPointerException) occurring under certain conditions (when userId is null), and it mentions the file name and line number where this happens. However, it lacks several critical pieces of information:
- Steps to reproduce the issue.
- Expected behavior versus actual behavior.
- Affected components or modules beyond UserService.java.
- Environment details such as operating system, Java version, etc.

Final Answer: Yes",469598ab25b48cf8,qwen2.5:14b,0,2026-06-08T19:08:20.550466+00:00
ISSUE-0006,Search not working #6,0,1,"Reasoning: The description ""Search returns no results"" is very vague and lacks essential details. It does not specify:

1. Steps to reproduce the issue.
2. Expected vs actual behavior (what should happen versus what happens now).
3. Acceptance criteria for resolving this issue.
4. Affected components or specific search functionality that's failing.
5. Environment details where the problem occurs.

Without these critical pieces of information, it is impossible to fully understand and address the reported issue effectively.

Final Answer: Yes",34e50234e4ec9c63,qwen2.5:14b,0,2026-06-08T19:08:22.882689+00:00
ISSUE-0007,Add dark mode #7,0,0,"Step-by-Step Reasoning:

1. **Title and Description Analysis**:
   - The title ""Add dark mode #7"" is clear but brief.
   - The description states: ""Implement dark mode toggle in settings with persistent preference via localStorage.""

2. **Essential Information Check**:
   - **Steps to Reproduce**: Not provided, but not necessary for a feature request.
   - **Expected vs Actual Behaviour**: Expected behaviour (dark mode) is clear from the title and description; actual behavior isn't mentioned as it doesn’t exist yet.
   - **Acceptance Criteria**: The description mentions implementing a dark mode toggle in settings with persistent preference via localStorage. This provides some criteria but lacks specific details on how to verify if the feature works correctly.
   - **Affected Components**: Settings component is implied, and localStorage for persistence.
   - **Environment Details**: No environment-specific information provided.

3. **Completeness Evaluation**:
   - The description gives a clear task (implement dark mode toggle) with a storage mechanism (localStorage).
   - However, it lacks detailed acceptance criteria such as how to test the feature or what specific UI elements should change.
   - It also doesn’t specify which screens or components will be affected beyond settings.

Given these points,",811616f4e8e5b3e3,qwen2.5:14b,0,2026-06-08T19:08:27.971116+00:00
ISSUE-0008,Crash on startup #8,0,1,"Reasoning: The description ""App crashes when opened"" is very brief and lacks essential details. It does not specify:

1. Steps to reproduce the issue.
2. Expected vs actual behavior.
3. Affected components or modules.
4. Environment details such as OS, version of the app, device information, etc.

Without these critical pieces of information, it's impossible for developers to diagnose and fix the problem effectively.

Final Answer: Yes",d1f617b5014c946e,qwen2.5:14b,0,2026-06-08T19:08:30.110742+00:00
ISSUE-0009,Email validation #9,0,1,"Reasoning: The description mentions validating email format during registration and showing inline error messages. However, it lacks several critical details:
1. Specifics about the validation rules or regex pattern to be used.
2. Steps to reproduce the issue if there is one.
3. Expected vs actual behavior (if this is a bug report).
4. Acceptance criteria for what constitutes valid email format and how error messages should look.
5. Affected components or parts of the application.
6. Environment details where this needs to be implemented.

Final Answer: Yes",e1c829b289c6c281,qwen2.5:14b,0,2026-06-08T19:08:32.635898+00:00
ISSUE-0010,Database timeout #10,1,1,"Reasoning: The description provides some useful information such as the condition under which the issue occurs (heavy load with over 500 concurrent users) and the symptom (DB queries timeout after 30 seconds). However, it lacks several critical details:
- Steps to reproduce the issue.
- Expected behavior compared to actual behavior.
- Affected components or specific parts of the system.
- Environment details such as database type, server configuration, etc.
- Acceptance criteria for resolving the issue.

Final Answer: Yes",5f9cce70752d661a,qwen2.5:14b,0,2026-06-08T19:08:35.011426+00:00
ISSUE-0011,Missing error handling #11,0,1,"Reasoning: The description ""Handle errors properly"" is very vague and lacks specific details. It does not specify what kind of errors need to be handled, where these errors occur in the system, how they should be handled, or any acceptance criteria for determining if error handling is adequate.

- Missing: Type of errors that need handling.
- Missing: Affected components or modules.
- Missing: Steps on how errors should be handled.
- Missing: Acceptance criteria to verify proper implementation.

Final Answer: Yes",ab6d013100c00e85,qwen2.5:14b,0,2026-06-08T19:08:37.580402+00:00
ISSUE-0012,API rate limiting #12,1,0,"Step-by-Step Reasoning:

1. **Title and Description Analysis**:
   - The title ""API rate limiting #12"" is clear but brief.
   - The description states: ""Implement rate limiting of 100 requests per minute per API key with 429 responses.""

2. **Essential Information Check**:
   - **Steps to Reproduce**: Not provided, but not strictly necessary for a feature request like this.
   - **Expected vs Actual Behaviour**: The expected behaviour is clear: rate limiting should be implemented as specified. However, there's no mention of actual current behavior or issues encountered.
   - **Acceptance Criteria**: Missing specific acceptance criteria such as how to test the implementation (e.g., verifying that requests above the limit return 429 responses).
   - **Affected Components**: Not explicitly mentioned but implied to be API endpoints and server-side logic.
   - **Environment Details**: No environment details are provided, which could include deployment specifics or testing environments.

3. **Completeness Evaluation**:
   - While the description provides a clear requirement for rate limiting, it lacks detailed acceptance criteria and specific steps for verification.
   - The absence of these elements makes it difficult to fully understand how to implement and test this feature",c099373dd5f9a315,qwen2.5:14b,0,2026-06-08T19:08:42.762476+00:00
ISSUE-0013,Button color #13,0,1,"Reasoning: The description ""Change the button color"" is extremely vague and lacks essential details. It does not specify which button needs to be changed, what the new color should be, under what conditions this change should take effect, or any acceptance criteria that would define when the requirement has been met.

Final Answer: Yes",85d65c13f0bf4cda,qwen2.5:14b,0,2026-06-08T19:08:44.440139+00:00
ISSUE-0014,Memory leak #14,1,1,"Reasoning: The description mentions that memory usage grows unbounded in the background sync service over a period of 24 hours. However, it lacks several critical pieces of information:
- Steps to reproduce the issue.
- Expected vs actual behavior.
- Acceptance criteria for resolving this issue.
- Affected components or specific parts of the codebase.
- Environment details such as operating system, version numbers, and any other relevant configurations.

Final Answer: Yes",e83631116687bd29,qwen2.5:14b,0,2026-06-08T19:08:46.581140+00:00
ISSUE-0015,Update docs #15,0,1,"Reasoning: The description ""Documentation is outdated"" lacks essential details such as which parts of the documentation are outdated, what needs to be updated, acceptance criteria for completion, and any specific requirements or guidelines that should be followed. Without these critical pieces of information, it's impossible to fully understand the scope and requirements of this issue.

Final Answer: Yes",d3b6391d60b9adf2,qwen2.5:14b,0,2026-06-08T19:08:48.380493+00:00
ISSUE-0016,File upload fails #16,0,0,"Step-by-Step Reasoning:

1. **Title and Description Analysis**:
   - The title ""File upload fails #16"" is clear but brief.
   - The description states: ""Uploading files larger than 10MB fails with a 413 error on the /upload endpoint.""

2. **Missing Information Check**:
   - **Steps to Reproduce**: Not explicitly provided, though it can be inferred from the description that uploading any file larger than 10MB will trigger this issue.
   - **Expected vs Actual Behaviour**: The actual behaviour is described (413 error), but expected behaviour is not stated. It should be clear what the system should do with files up to a certain size, e.g., accepting them or providing an appropriate message.
   - **Acceptance Criteria**: Not provided. There are no criteria mentioned for when this issue can be considered resolved.
   - **Affected Components**: The /upload endpoint is specified but other components (like client-side validation) might also be relevant and not mentioned.
   - **Environment Details**: No environment details such as OS, browser, or server configurations are given.

3. **Conclusion**:
   While the issue description provides some useful information about the error encountered when uploading large",2fbb5212bfd02d09,qwen2.5:14b,0,2026-06-08T19:08:53.518201+00:00
ISSUE-0017,Wrong total #17,1,1,"Reasoning: The description ""The total is wrong in the cart"" lacks essential details such as steps to reproduce the issue, expected vs actual behavior, acceptance criteria, affected components, and environment details. It does not specify under what conditions or how one can observe this incorrect total.

Final Answer: Yes",c8f8ef7068b0e1ba,qwen2.5:14b,0,2026-06-08T19:08:55.103967+00:00
ISSUE-0018,Session expiry #18,0,1,"Reasoning: The description mentions implementing an automatic session expiry feature and includes the duration for inactivity (30 minutes) as well as the requirement for a warning dialog. However, it lacks several critical details:
- Steps to reproduce or test the functionality.
- Expected behavior beyond just the warning dialog and session expiry.
- Acceptance criteria that define when this issue is considered resolved.
- Affected components such as specific modules or services involved in handling sessions.
- Environment details like browser compatibility or server-side requirements.

Final Answer: Yes",c14b5145ff4c5586,qwen2.5:14b,0,2026-06-08T19:08:57.530631+00:00
