issue_id,title,ground_truth,prediction,raw_response,prompt_hash,model_version,temperature,timestamp_utc,project,input_mode,task,strategy
ISSUE-2087,CLI error when not specifying module type in module commands is cryptic an not helpful,0,0,No,2f33fa903c8a0d0d,mistral:7b,0,2026-06-17T19:52:09.408969,project_01,title_desc,incompleteness,few_shot
ISSUE-2338,Error in correlation strategy in aggregator.xml,0,1,Yes,0b14529efe9d3f17,mistral:7b,0,2026-06-17T19:52:09.823310,project_01,title_desc,incompleteness,few_shot
ISSUE-0972,deploy-working-dir is set to to root directory when container is started as service,0,1,Yes,472305edacffd464,mistral:7b,0,2026-06-17T19:52:10.707286,project_01,title_desc,incompleteness,few_shot
ISSUE-2665,Spike to model the cluster nodes.,0,1,Yes,ec1a860c5bd5221b,mistral:7b,0,2026-06-17T19:52:11.162858,project_01,title_desc,incompleteness,few_shot
ISSUE-1414,Rename metrics repositories setValue(x,1,1,Yes,887fa56a7efe6e09,mistral:7b,0,2026-06-17T19:52:11.454918,project_01,title_desc,incompleteness,few_shot
ISSUE-0394,Tasks Launcher should be able to record status to a central repository,0,0,No,c0818ddc2ff087fd,mistral:7b,0,2026-06-17T19:52:12.007718,project_01,title_desc,incompleteness,few_shot
ISSUE-2850,Richer module options metadata,0,0,No,44d43e341c3d0fcf,mistral:7b,0,2026-06-17T19:52:12.574674,project_01,title_desc,incompleteness,few_shot
ISSUE-0549,Port FTP as s-c-s source module,0,1,Yes,07f67769cd6fb8ef,mistral:7b,0,2026-06-17T19:52:13.024120,project_01,title_desc,incompleteness,few_shot
ISSUE-2979,Change url to access UI from browser,0,1,Yes,2e7128ff36d86f6d,mistral:7b,0,2026-06-17T19:52:13.474082,project_01,title_desc,incompleteness,few_shot
ISSUE-0714,Add Logging to ZooKeeperContainerRepository,0,0,No,e98096a1d9815d40,mistral:7b,0,2026-06-17T19:52:14.005362,project_01,title_desc,incompleteness,few_shot
ISSUE-1907,DefaultContainerMatcher - Improve Logging and mention affected Module,0,1,Yes,80ba76a812974813,mistral:7b,0,2026-06-17T19:52:14.526495,project_01,title_desc,incompleteness,few_shot
ISSUE-1146,http-client Improvement (userDefinedHeaderPrefix),0,1,Yes,cee2ed2eb3760ecd,mistral:7b,0,2026-06-17T19:52:14.980368,project_01,title_desc,incompleteness,few_shot
ISSUE-3079,Deploy a new job module *after* XD-singlenode container has started.,0,0,No,d0596d6318e8c0d1,mistral:7b,0,2026-06-17T19:52:15.509520,project_01,title_desc,incompleteness,few_shot
ISSUE-0367,Spike: Study scope to add support for hdfs commands in shell,0,1,Yes,93af8f53b242c39c,mistral:7b,0,2026-06-17T19:52:15.990438,project_01,title_desc,incompleteness,few_shot
ISSUE-3374,Documentation for AggregateCounter,0,1,Yes,094cc6595d35883a,mistral:7b,0,2026-06-17T19:52:16.471477,project_01,title_desc,incompleteness,few_shot
ISSUE-0460,First deploy/launch of Pig job that includes yarn-site.xml file fails,0,0,No,23592b16cd4f2fb6,mistral:7b,0,2026-06-17T19:52:17.006254,project_01,title_desc,incompleteness,few_shot
ISSUE-0456,Refactor Task parsing,0,1,Yes,fb5ba724db728b52,mistral:7b,0,2026-06-17T19:52:17.478068,project_01,title_desc,incompleteness,few_shot
ISSUE-3038,Add Spring XD Build Plan for Java 8 to Bamboo,0,1,Yes,4b541f1997cd3bec,mistral:7b,0,2026-06-17T19:52:17.988189,project_01,title_desc,incompleteness,few_shot
ISSUE-0976,Create a gpload batch job,0,1,Yes,64c9405b5dca1c08,mistral:7b,0,2026-06-17T19:52:18.708798,project_01,title_desc,incompleteness,few_shot
ISSUE-1548,Document the configuration of the JobRepository,0,0,No,5960636eedc9788f,mistral:7b,0,2026-06-17T19:52:18.982067,project_01,title_desc,incompleteness,few_shot
ISSUE-1672,Add Basic Auth support,0,0,No,c953fd32bdd89432,mistral:7b,0,2026-06-17T19:52:19.489499,project_01,title_desc,incompleteness,few_shot
ISSUE-1002,Remove Reactor Stream processor from ref docs to spring-xd-modules,0,0,No,79c9827e5a94d2db,mistral:7b,0,2026-06-17T19:52:19.968889,project_01,title_desc,incompleteness,few_shot
ISSUE-0927,Add support to deploy stream in a single container,0,1,Yes,92c845fd15f6d8fc,mistral:7b,0,2026-06-17T19:52:20.465326,project_01,title_desc,incompleteness,few_shot
ISSUE-0336,[Int Tests] Enhance test coverage for Lattice SPI,0,1,Yes,f08414461d63dceb,mistral:7b,0,2026-06-17T19:52:20.990343,project_01,title_desc,incompleteness,few_shot
ISSUE-2604,JobPlugin - Use containsKey when checking for Parameters,0,1,Yes,37f852c7155def7d,mistral:7b,0,2026-06-17T19:52:21.467756,project_01,title_desc,incompleteness,few_shot
ISSUE-1900,Enable FtpHdfsTest,0,1,Yes,1a1e4582d75a3dcf,mistral:7b,0,2026-06-17T19:52:21.998189,project_01,title_desc,incompleteness,few_shot
ISSUE-0514,Add PHD HDFS as s-c-s module,0,1,Yes,0a14249244b8745e,mistral:7b,0,2026-06-17T19:52:22.494556,project_01,title_desc,incompleteness,few_shot
ISSUE-1536,CompositeModuleDefinition should contain more than List<ModuleDefinition>,0,1,Yes,9ee1b86921ffbbfa,mistral:7b,0,2026-06-17T19:52:22.976956,project_01,title_desc,incompleteness,few_shot
ISSUE-2545,Provide a clean way to get a reference to the MessageBus running in SingleNodeApplication,0,1,Yes,fce71c53f451fed6,mistral:7b,0,2026-06-17T19:52:23.508117,project_01,title_desc,incompleteness,few_shot
ISSUE-3424,Final review of REST API structure document for streams,0,1,Yes,7d9c38add4e701f9,mistral:7b,0,2026-06-17T19:52:23.958401,project_01,title_desc,incompleteness,few_shot
ISSUE-2913,Change default admin port from 8080,0,1,Yes,b884d7f915bf5dc3,mistral:7b,0,2026-06-17T19:52:24.481684,project_01,title_desc,incompleteness,few_shot
ISSUE-2866,Find runtime modules by type and/or name,0,1,Yes,a1d214003c09de59,mistral:7b,0,2026-06-17T19:52:24.969314,project_01,title_desc,incompleteness,few_shot
ISSUE-1470,User wants to package and deploy an XD application,0,1,Yes,fbd616f9550d53fe,mistral:7b,0,2026-06-17T19:52:25.474251,project_01,title_desc,incompleteness,few_shot
