issue_id,title,ground_truth,prediction,raw_response,prompt_hash,model_version,temperature,timestamp_utc,project,input_mode,task,strategy
ISSUE-253177,Inconsistent output between java driver and mongo shell,0,0,No,67e78adbabf4630e,llama3.1:8b,0,2026-06-17T12:25:59.554077,project_05,title_desc,ambiguity,few_shot
ISSUE-253467,size not accepting $numberlong argument,0,1,Yes,2937d12393295d5f,llama3.1:8b,0,2026-06-17T12:26:00.398987,project_05,title_desc,ambiguity,few_shot
ISSUE-253452,MongoCollection.insertOne throws NullPointerException with WriteConcern.UNACKNOWLEDGED & retryWrites=true,0,0,No,8685b6c435da8f3f,llama3.1:8b,0,2026-06-17T12:26:01.321895,project_05,title_desc,ambiguity,few_shot
ISSUE-253505,Add an option to toggle SSL certificate validation,0,0,No,1b1cd5d8163ccf92,llama3.1:8b,0,2026-06-17T12:26:02.209946,project_05,title_desc,ambiguity,few_shot
ISSUE-255080,JSON parser parses braces incorrectly,0,1,Yes,4620ed4d5f12e6ea,llama3.1:8b,0,2026-06-17T12:26:03.034403,project_05,title_desc,ambiguity,few_shot
ISSUE-255534,Looking for performance tips loading results from a find() with the java driver.,0,1,Yes,f888902a23fc9e12,llama3.1:8b,0,2026-06-17T12:26:03.837744,project_05,title_desc,ambiguity,few_shot
ISSUE-255332,Binary field $type is represented in JSON as a number instead of a two-byte hex string,0,0,No,ae413a45721c49d4,llama3.1:8b,0,2026-06-17T12:26:04.732821,project_05,title_desc,ambiguity,few_shot
ISSUE-254781,Iterable Codec,0,1,Yes,fc4fab0f11552adf,llama3.1:8b,0,2026-06-17T12:26:05.623337,project_05,title_desc,ambiguity,few_shot
ISSUE-254021,NettyStream does not handle clean socket closures from the server,0,0,No,8ee116f68a49b7fb,llama3.1:8b,0,2026-06-17T12:26:06.512684,project_05,title_desc,ambiguity,few_shot
ISSUE-255615,Include cursor-id in CursorNotFound exception,0,0,No,5cc5835a8911e8c3,llama3.1:8b,0,2026-06-17T12:26:07.365170,project_05,title_desc,ambiguity,few_shot
ISSUE-254855,Discrimination in Jackson-Codec,0,1,Yes,3e201c4ec8e3f5e0,llama3.1:8b,0,2026-06-17T12:26:08.276130,project_05,title_desc,ambiguity,few_shot
ISSUE-256012,Add w/wtimeout to WriteConcern (getLastError),0,0,No,d6a44eda9c3c8a04,llama3.1:8b,0,2026-06-17T12:26:09.142204,project_05,title_desc,ambiguity,few_shot
ISSUE-253265,Provide an option to use pooled NIO direct buffers to minimise impact on GC,0,0,No,801cdce8ef5f41f3,llama3.1:8b,0,2026-06-17T12:26:10.015403,project_05,title_desc,ambiguity,few_shot
ISSUE-254440,DocumentCodec and DBObjectCodec treat nested Maps/Iterables differently,0,0,No,139747a3045cd7bb,llama3.1:8b,0,2026-06-17T12:26:10.854738,project_05,title_desc,ambiguity,few_shot
ISSUE-255480,Secondary reads on lists of mongos fail until first write,0,0,No,f767f770c14baac3,llama3.1:8b,0,2026-06-17T12:26:11.737127,project_05,title_desc,ambiguity,few_shot
ISSUE-255171,Saved extra fields for Gridfs does not go in metadata sub-document,0,0,No,8ab1de48438a5795,llama3.1:8b,0,2026-06-17T12:26:12.620322,project_05,title_desc,ambiguity,few_shot
ISSUE-254446,Repeated connection with expected authentication errors is not deterministic,0,1,Yes,b306e640afad3445,llama3.1:8b,0,2026-06-17T12:26:13.462725,project_05,title_desc,ambiguity,few_shot
ISSUE-254233,Custom logging implementation,0,0,No,cd1232f2f334e9ae,llama3.1:8b,0,2026-06-17T12:26:14.364672,project_05,title_desc,ambiguity,few_shot
ISSUE-252701,Update documentation for Text Search,0,1,Yes,32d190a4133f5fd4,llama3.1:8b,0,2026-06-17T12:26:15.259159,project_05,title_desc,ambiguity,few_shot
ISSUE-255572,Morphia Integration in java driver,0,1,Yes,5150d765c1d8ee75,llama3.1:8b,0,2026-06-17T12:26:16.137986,project_05,title_desc,ambiguity,few_shot
ISSUE-255511,Respect the QueryFailure response flag in OP_REPLY,0,0,No,94d29c91f0b938dd,llama3.1:8b,0,2026-06-17T12:26:17.006148,project_05,title_desc,ambiguity,few_shot
ISSUE-254614,2.12.x breaks compatibility with mongoDB v1.8,0,0,No,2009ecd4a50c42d5,llama3.1:8b,0,2026-06-17T12:26:17.802321,project_05,title_desc,ambiguity,few_shot
ISSUE-253354,Deprecate DBCursor#addSpecial,0,0,No,a157c2eb1bfcce64,llama3.1:8b,0,2026-06-17T12:26:18.674343,project_05,title_desc,ambiguity,few_shot
ISSUE-255153,update description of fsync write concern flag,0,0,No,77f380019051395d,llama3.1:8b,0,2026-06-17T12:26:19.580873,project_05,title_desc,ambiguity,few_shot
ISSUE-255938,DBCursor.copy() does not copy batch size,0,0,No,0e4492e80262e123,llama3.1:8b,0,2026-06-17T12:26:20.454948,project_05,title_desc,ambiguity,few_shot
ISSUE-253697,"upload mo artifacts"""" Evergreen post-task is failing",0,1,Yes,b389ed2cad01fa80,llama3.1:8b,0,2026-06-17T12:26:21.792259,project_05,title_desc,ambiguity,few_shot
