issue_id,title,ground_truth,prediction,raw_response,prompt_hash,model_version,temperature,timestamp_utc
ISSUE-0001,Fix login bug #1,0,1,"- Step 1: The information provided includes a title ""Fix login bug #1"" and a description stating that users cannot log in sometimes, with an instruction to fix it.
- Step 2: The language used is vague. It does not specify when the issue occurs (e.g., after certain actions or at specific times), which devices or browsers are affected, or what error messages might be displayed.
- Step 3: This issue can indeed be interpreted in multiple ways due to its lack of specificity. For example, it could mean that login fails intermittently for all users, only during peak hours, or under certain conditions (like after a specific action).
- Step 4: The scope is unclear as well; there's no indication whether this affects new accounts, old accounts, particular user roles, etc.
- Step 5: Given the vagueness in language and multiple possible interpretations of the issue, it meets the criteria for being ambiguous.

Final Answer: Yes",f69f60d0f89b03b8,qwen2.5:14b,0,2026-06-08T18:46:31.115246+00:00
ISSUE-0002,Update UI #2,1,1,"- Step 1: The information provided includes a title ""Update UI #2"" and a description stating ""The interface needs updating.""
- Step 2: The language used is very vague; it does not specify what aspects of the interface need to be updated, why they need updating, or any specific requirements.
- Step 3: This issue can indeed be interpreted in multiple ways. It could mean anything from changing colors and fonts to adding new features or removing outdated elements without providing specifics on which changes are necessary.
- Step 4: There is no clear context provided about the current state of the interface, user feedback, technical requirements, or design guidelines that might inform what an update entails.
- Step 5: The scope of this issue is unclear. It does not define boundaries for what constitutes a complete update or how to measure success.

Final Answer: Yes",35a795c04b15238f,qwen2.5:14b,0,2026-06-08T18:46:34.791288+00:00
ISSUE-0003,Add export feature #3,0,1,"- The issue title and description provide a basic requirement to add an export feature for CSV format from the reports page.
- The language used is relatively clear, specifying that data should be exported to CSV format specifically from the reports page.
- However, there are some aspects missing such as what specific data needs to be exported (all report data or certain types of data), whether users have any options in selecting which data to export, and if there are any constraints on when this feature can be used.

Final Answer: Yes",a55aa61f7ee7a890,qwen2.5:14b,0,2026-06-08T18:46:37.211130+00:00
ISSUE-0004,Performance issue #4,0,1,"- Step 1: The information provided includes a title indicating it's about performance and a description stating ""The app is slow.""
- Step 2: The language used is very vague; terms like ""slow"" do not provide specific details or metrics to understand the nature of the issue.
- Step 3: This issue can be interpreted in multiple ways. It could mean that certain features are slow, the entire application is sluggish across all functions, it's only slow under specific conditions (e.g., high load), or there might be a misunderstanding about what constitutes ""slow.""
- Step 4: There is no clear context provided regarding when this issue occurs, which devices or operating systems it affects, or any other relevant details that would help in diagnosing the problem.
- Step 5: The scope of the issue is unclear. It does not specify whether it's a user experience issue, a backend performance issue, or something else entirely.

Final Answer: Yes",c277f36f14c00ff9,qwen2.5:14b,0,2026-06-08T18:46:41.209002+00:00
ISSUE-0005,Null pointer exception #5,1,0,"- The issue provides specific details such as the type of exception, file name, line number, and condition under which it occurs.
- The language used is precise and technical, specifying exactly where and when the error happens.
- There is no ambiguity in what the problem is or how to reproduce it; it clearly states that a NullPointerException occurs specifically when userId is null.
- The context provided is clear and specific, making it straightforward for developers to understand and address the issue.

Final Answer: No",8187627fc78aaa27,qwen2.5:14b,0,2026-06-08T18:46:43.527833+00:00
ISSUE-0006,Search not working #6,0,1,"- Step 1: The information provided includes a title stating ""Search not working"" and a description saying ""Search returns no results.""
- Step 2: The language used is quite vague as it does not specify what the user was searching for, under which conditions, or why there are no results.
- Step 3: This issue can be interpreted in multiple ways. It could mean that the search function is broken entirely, or it might indicate a specific query did not yield any matches due to incorrect indexing, lack of relevant data, or other technical issues.
- Step 4: The scope of the problem is unclear; it does not specify whether this issue affects all users, certain types of searches, or only under particular circumstances (e.g., after a system update).
- Step 5: Given the vagueness and multiple possible interpretations, the issue lacks clear context to determine its exact nature.

Final Answer: Yes",bc390185cb5ecceb,qwen2.5:14b,0,2026-06-08T18:46:47.403021+00:00
ISSUE-0007,Add dark mode #7,0,0,"- Step 1: The information provided includes a request to implement a dark mode toggle feature within settings and store user preference persistently using localStorage.
- Step 2: The language used is relatively clear, specifying the exact functionality required (""dark mode toggle in settings"") and how to handle persistence of user preferences (""via localStorage"").
- Step 3: There is no ambiguity regarding what needs to be implemented or where it should be located within the application. However, there could be some minor room for interpretation about the specifics of the implementation (e.g., exact UI elements involved).
- Step 4: The scope appears well-defined as it specifies a particular feature and its storage mechanism.
- Step 5: While the description is clear on what needs to be done, one might question if there are any additional requirements or constraints not mentioned in the issue.

Final Answer: No",7a8b8a5c6d34faa6,qwen2.5:14b,0,2026-06-08T18:46:51.116460+00:00
ISSUE-0008,Crash on startup #8,0,1,"- Step 1: The information provided includes a title indicating that the app crashes when opened and a description stating ""App crashes when opened.""
- Step 2: The language used is quite vague as it does not specify under what conditions or circumstances the crash occurs, nor does it provide any details about error messages or specific steps to reproduce the issue.
- Step 3: This issue can be interpreted in multiple ways because there are numerous reasons why an app might crash on startup. It could be due to a corrupted installation file, insufficient system resources, conflicts with other software, or issues related to user permissions and settings.
- Step 4: The lack of context such as the operating system version, device model, or any specific error codes makes it difficult to pinpoint the exact cause of the crash.
- Step 5: Given the absence of detailed information and the potential for multiple interpretations, this issue is indeed ambiguous.

Final Answer: Yes",ed3bea2de992384e,qwen2.5:14b,0,2026-06-08T18:46:55.016913+00:00
ISSUE-0009,Email validation #9,1,1,"- Step 1: The information provided includes a requirement to validate email format on a registration form and display inline error messages when validation fails.
- Step 2: The language used is relatively clear, specifying the need for email validation and inline errors. However, it does not specify what constitutes an ""inline error message"" or provide examples of acceptable or unacceptable emails.
- Step 3: There could be multiple interpretations regarding what exactly constitutes a valid email format (e.g., whether to check for domain existence, specific character limitations beyond basic syntax).
- Step 4: The scope is somewhat unclear as it does not specify the extent of validation rules or how error messages should be displayed and formatted.
- Step 5: Given the lack of detailed specifications on what constitutes a valid email format and how inline errors should be handled, this issue can indeed be interpreted in multiple ways.

Final Answer: Yes",8e5b99701d596a4e,qwen2.5:14b,0,2026-06-08T18:46:58.770824+00:00
ISSUE-0010,Database timeout #10,1,1,"- Step 1: The information provided includes a specific condition under which timeouts occur (heavy load with more than 500 concurrent users) and the duration of the timeout (30 seconds).
- Step 2: The language used is relatively clear, specifying exact conditions and durations. However, it does not provide details about what constitutes ""heavy load"" or why exactly 500 concurrent users are mentioned.
- Step 3: While the issue description provides specific numbers, there could be ambiguity regarding what qualifies as a ""heavy load."" Additionally, the relevance of the number 500 for defining heavy load might vary depending on other factors like server capacity and database configuration.
- Step 4: The scope is somewhat clear but limited to describing when timeouts happen without specifying potential solutions or broader system impacts.
- Step 5: Given that ""heavy load"" can be subjective and not clearly defined, the issue could indeed be interpreted in multiple ways depending on different interpretations of what constitutes a heavy load.

Final Answer: Yes",acb3820607f3fb84,qwen2.5:14b,0,2026-06-08T18:47:03.053654+00:00
