issue_id,title,ground_truth,prediction,raw_response,prompt_hash,model_version,temperature,timestamp_utc
ISSUE-0001,Fix login bug #1,0,1,Yes,a52a6108cfd5d85f,mistral:7b,0,2026-06-08T19:21:06.622409+00:00
ISSUE-0002,Update UI #2,0,1,Yes,7e31ca1221981da7,mistral:7b,0,2026-06-08T19:21:07.074883+00:00
ISSUE-0003,Add export feature #3,0,1,Yes,2b5bbec090c28cde,mistral:7b,0,2026-06-08T19:21:07.552408+00:00
ISSUE-0004,Performance issue #4,0,1,Yes,c5a37dc02a2d1670,mistral:7b,0,2026-06-08T19:21:08.060440+00:00
ISSUE-0005,Null pointer exception #5,0,1,Yes,9bc78bfbbe3c2154,mistral:7b,0,2026-06-08T19:21:08.562341+00:00
ISSUE-0006,Search not working #6,0,1,Yes,3c4dc773bf8857d9,mistral:7b,0,2026-06-08T19:21:09.051191+00:00
ISSUE-0007,Add dark mode #7,0,1,Yes,93288fc0a7d7cb74,mistral:7b,0,2026-06-08T19:21:09.563685+00:00
ISSUE-0008,Crash on startup #8,0,1,Yes,cbf40a0240161134,mistral:7b,0,2026-06-08T19:21:10.063378+00:00
ISSUE-0009,Email validation #9,0,1,Yes,82d9cdd0958e5cb9,mistral:7b,0,2026-06-08T19:21:10.561944+00:00
ISSUE-0010,Database timeout #10,1,1,Yes,701e5241112dc10b,mistral:7b,0,2026-06-08T19:21:11.064633+00:00
ISSUE-0011,Missing error handling #11,0,1,Yes,cfd90f2da8c9148f,mistral:7b,0,2026-06-08T19:21:11.561573+00:00
ISSUE-0012,API rate limiting #12,1,1,Yes,f390c5b3b504f297,mistral:7b,0,2026-06-08T19:21:12.064754+00:00
ISSUE-0013,Button color #13,0,1,Yes,1aba9241057976fe,mistral:7b,0,2026-06-08T19:21:12.576149+00:00
ISSUE-0014,Memory leak #14,1,1,Yes,ae278a8625494a98,mistral:7b,0,2026-06-08T19:21:13.101443+00:00
ISSUE-0015,Update docs #15,0,1,Yes,13507430b3b75060,mistral:7b,0,2026-06-08T19:21:13.586281+00:00
