issue_id,title,ground_truth,prediction,raw_response,prompt_hash,model_version,temperature,timestamp_utc,project,input_mode,task,strategy
ISSUE-2087,CLI error when not specifying module type in module commands is cryptic an not helpful,1,1,Yes,e8827ad75c6018e4,llama3.1:8b,0,2026-06-16T22:44:57.687454,project_01,title_only,ambiguity,few_shot
ISSUE-2338,Error in correlation strategy in aggregator.xml,1,1,Yes,87034e6118c2df2d,llama3.1:8b,0,2026-06-16T22:44:58.237065,project_01,title_only,ambiguity,few_shot
ISSUE-0972,deploy-working-dir is set to to root directory when container is started as service,0,0,No,90b3f28247fde664,llama3.1:8b,0,2026-06-16T22:44:58.763582,project_01,title_only,ambiguity,few_shot
ISSUE-2665,Spike to model the cluster nodes.,1,1,Yes,9c06b9b563ab10da,llama3.1:8b,0,2026-06-16T22:44:59.301703,project_01,title_only,ambiguity,few_shot
ISSUE-1414,Rename metrics repositories setValue(x,1,1,Yes,fabfb7f4d268df62,llama3.1:8b,0,2026-06-16T22:44:59.859119,project_01,title_only,ambiguity,few_shot
ISSUE-0394,Tasks Launcher should be able to record status to a central repository,0,1,Yes,a2fc50c73bee7fcf,llama3.1:8b,0,2026-06-16T22:45:00.360399,project_01,title_only,ambiguity,few_shot
ISSUE-2850,Richer module options metadata,1,1,Yes,a48e6128d8a2f407,llama3.1:8b,0,2026-06-16T22:45:00.873494,project_01,title_only,ambiguity,few_shot
ISSUE-0549,Port FTP as s-c-s source module,0,1,Yes,85eecb162ae2c763,llama3.1:8b,0,2026-06-16T22:45:01.411597,project_01,title_only,ambiguity,few_shot
ISSUE-2979,Change url to access UI from browser,0,1,Yes,8aef0ea19213a2a3,llama3.1:8b,0,2026-06-16T22:45:01.961065,project_01,title_only,ambiguity,few_shot
ISSUE-0714,Add Logging to ZooKeeperContainerRepository,0,0,No,06651c5e491f9aa1,llama3.1:8b,0,2026-06-16T22:45:02.459596,project_01,title_only,ambiguity,few_shot
ISSUE-1907,DefaultContainerMatcher - Improve Logging and mention affected Module,0,1,Yes,4f8c3bd01b1915c6,llama3.1:8b,0,2026-06-16T22:45:02.990192,project_01,title_only,ambiguity,few_shot
ISSUE-1146,http-client Improvement (userDefinedHeaderPrefix),0,1,Yes,af56d97d408c1e5f,llama3.1:8b,0,2026-06-16T22:45:03.536331,project_01,title_only,ambiguity,few_shot
ISSUE-3079,Deploy a new job module *after* XD-singlenode container has started.,0,1,Yes,358a26cd8a630844,llama3.1:8b,0,2026-06-16T22:45:04.064666,project_01,title_only,ambiguity,few_shot
ISSUE-0367,Spike: Study scope to add support for hdfs commands in shell,1,1,Yes,8cecaaee69798644,llama3.1:8b,0,2026-06-16T22:45:04.590311,project_01,title_only,ambiguity,few_shot
ISSUE-3374,Documentation for AggregateCounter,0,1,Yes,c1572a357127fb7a,llama3.1:8b,0,2026-06-16T22:45:05.127639,project_01,title_only,ambiguity,few_shot
ISSUE-0460,First deploy/launch of Pig job that includes yarn-site.xml file fails,0,1,Yes,cef4bfbab1899853,llama3.1:8b,0,2026-06-16T22:45:05.641498,project_01,title_only,ambiguity,few_shot
ISSUE-0456,Refactor Task parsing,1,1,Yes,6fabb0ed1f2a0f58,llama3.1:8b,0,2026-06-16T22:45:06.161488,project_01,title_only,ambiguity,few_shot
ISSUE-3038,Add Spring XD Build Plan for Java 8 to Bamboo,0,1,Yes,3995d6f4058121b7,llama3.1:8b,0,2026-06-16T22:45:06.704296,project_01,title_only,ambiguity,few_shot
ISSUE-0976,Create a gpload batch job,1,1,Yes,d82109d495001325,llama3.1:8b,0,2026-06-16T22:45:07.237492,project_01,title_only,ambiguity,few_shot
ISSUE-1548,Document the configuration of the JobRepository,0,1,Yes,fdf8ba54534cb982,llama3.1:8b,0,2026-06-16T22:45:07.761969,project_01,title_only,ambiguity,few_shot
ISSUE-1672,Add Basic Auth support,0,1,Yes,31c18b6c317d5b95,llama3.1:8b,0,2026-06-16T22:45:08.302411,project_01,title_only,ambiguity,few_shot
