issue_id,title,ground_truth,prediction,raw_response,prompt_hash,model_version,temperature,timestamp_utc,project,input_mode,task,strategy
ISSUE-2087,CLI error when not specifying module type in module commands is cryptic an not helpful,0,0,No,e5ababb78b5a6e8c,qwen2.5:14b,0,2026-06-17T15:00:09.769311,project_01,title_desc,ambiguity,few_shot
ISSUE-2338,Error in correlation strategy in aggregator.xml,0,0,No,72bfe2ff1c7c9a00,qwen2.5:14b,0,2026-06-17T15:00:10.695674,project_01,title_desc,ambiguity,few_shot
ISSUE-0972,deploy-working-dir is set to to root directory when container is started as service,0,0,No,fe78545d0e259407,qwen2.5:14b,0,2026-06-17T15:00:12.207964,project_01,title_desc,ambiguity,few_shot
ISSUE-2665,Spike to model the cluster nodes.,0,0,No,aabf7ee0cb584e17,qwen2.5:14b,0,2026-06-17T15:00:13.262029,project_01,title_desc,ambiguity,few_shot
ISSUE-1414,Rename metrics repositories setValue(x,1,1,Yes,8417c0a5900d07a3,qwen2.5:14b,0,2026-06-17T15:00:14.065880,project_01,title_desc,ambiguity,few_shot
ISSUE-0394,Tasks Launcher should be able to record status to a central repository,0,0,No,4f3b76e5012aa751,qwen2.5:14b,0,2026-06-17T15:00:15.130777,project_01,title_desc,ambiguity,few_shot
ISSUE-2850,Richer module options metadata,0,0,No,83477ef5d02bfb35,qwen2.5:14b,0,2026-06-17T15:00:16.294291,project_01,title_desc,ambiguity,few_shot
ISSUE-0549,Port FTP as s-c-s source module,0,1,Yes,5b800ca95caa4305,qwen2.5:14b,0,2026-06-17T15:00:17.174789,project_01,title_desc,ambiguity,few_shot
ISSUE-2979,Change url to access UI from browser,0,0,No,5f1eac34d63e9a45,qwen2.5:14b,0,2026-06-17T15:00:18.112816,project_01,title_desc,ambiguity,few_shot
ISSUE-0714,Add Logging to ZooKeeperContainerRepository,0,0,No,496d7967e40c8a05,qwen2.5:14b,0,2026-06-17T15:00:19.117393,project_01,title_desc,ambiguity,few_shot
ISSUE-1907,DefaultContainerMatcher - Improve Logging and mention affected Module,0,0,No,c464c755278faf68,qwen2.5:14b,0,2026-06-17T15:00:20.049367,project_01,title_desc,ambiguity,few_shot
ISSUE-1146,http-client Improvement (userDefinedHeaderPrefix),0,0,No,37f5e28f819dc62d,qwen2.5:14b,0,2026-06-17T15:00:21.103635,project_01,title_desc,ambiguity,few_shot
ISSUE-3079,Deploy a new job module *after* XD-singlenode container has started.,0,0,No,8abeb91c3ca07628,qwen2.5:14b,0,2026-06-17T15:00:22.139471,project_01,title_desc,ambiguity,few_shot
ISSUE-0367,Spike: Study scope to add support for hdfs commands in shell,0,1,Yes,a533f472daf0a3d8,qwen2.5:14b,0,2026-06-17T15:00:23.097742,project_01,title_desc,ambiguity,few_shot
ISSUE-3374,Documentation for AggregateCounter,0,0,No,7ae3203946d04f8e,qwen2.5:14b,0,2026-06-17T15:00:24.056602,project_01,title_desc,ambiguity,few_shot
ISSUE-0460,First deploy/launch of Pig job that includes yarn-site.xml file fails,0,0,No,fc429342a0493cb6,qwen2.5:14b,0,2026-06-17T15:00:25.082250,project_01,title_desc,ambiguity,few_shot
ISSUE-0456,Refactor Task parsing,0,0,No,0279c94b7afcc95c,qwen2.5:14b,0,2026-06-17T15:00:26.076309,project_01,title_desc,ambiguity,few_shot
ISSUE-3038,Add Spring XD Build Plan for Java 8 to Bamboo,0,1,Yes,e6730095de48a20b,qwen2.5:14b,0,2026-06-17T15:00:27.236040,project_01,title_desc,ambiguity,few_shot
ISSUE-0976,Create a gpload batch job,0,0,No,2f5018f7c41d0b66,qwen2.5:14b,0,2026-06-17T15:00:28.078316,project_01,title_desc,ambiguity,few_shot
ISSUE-1548,Document the configuration of the JobRepository,0,0,No,c774fc2b32d9292a,qwen2.5:14b,0,2026-06-17T15:00:29.279881,project_01,title_desc,ambiguity,few_shot
ISSUE-1672,Add Basic Auth support,0,0,No,84eae0c53d7235b7,qwen2.5:14b,0,2026-06-17T15:00:30.125553,project_01,title_desc,ambiguity,few_shot
ISSUE-1002,Remove Reactor Stream processor from ref docs to spring-xd-modules,0,1,Yes,aec1148cf96238d9,qwen2.5:14b,0,2026-06-17T15:00:31.094553,project_01,title_desc,ambiguity,few_shot
ISSUE-0927,Add support to deploy stream in a single container,0,0,No,d4a08926b3177649,qwen2.5:14b,0,2026-06-17T15:00:32.077399,project_01,title_desc,ambiguity,few_shot
ISSUE-0336,[Int Tests] Enhance test coverage for Lattice SPI,0,1,Yes,0d79c90b7b913b5f,qwen2.5:14b,0,2026-06-17T15:00:33.082117,project_01,title_desc,ambiguity,few_shot
ISSUE-2604,JobPlugin - Use containsKey when checking for Parameters,0,0,No,e67330c05cb3522e,qwen2.5:14b,0,2026-06-17T15:00:34.108611,project_01,title_desc,ambiguity,few_shot
ISSUE-1900,Enable FtpHdfsTest,0,0,No,1dae6656c5e5f8e0,qwen2.5:14b,0,2026-06-17T15:00:35.111043,project_01,title_desc,ambiguity,few_shot
ISSUE-0514,Add PHD HDFS as s-c-s module,0,1,Yes,aeedd9eab243b474,qwen2.5:14b,0,2026-06-17T15:00:36.079673,project_01,title_desc,ambiguity,few_shot
