issue_id,title,ground_truth,pred_llama3.1,pred_qwen2.5,n_models_voted,n_yes_votes,ensemble_prediction
ISSUE-0001,Fix login bug #1,0,1,1,2,2,1
ISSUE-0002,Update UI #2,1,1,1,2,2,1
ISSUE-0003,Add export feature #3,0,0,1,2,1,0
ISSUE-0004,Performance issue #4,0,1,1,2,2,1
ISSUE-0005,Null pointer exception #5,1,1,0,2,1,1
ISSUE-0006,Search not working #6,0,1,1,2,2,1
ISSUE-0007,Add dark mode #7,0,0,1,2,1,0
ISSUE-0008,Crash on startup #8,0,1,1,2,2,1
ISSUE-0009,Email validation #9,1,0,1,2,1,0
ISSUE-0010,Database timeout #10,1,1,1,2,2,1
ISSUE-0011,Missing error handling #11,0,1,1,2,2,1
ISSUE-0012,API rate limiting #12,1,0,0,2,0,0
ISSUE-0013,Button color #13,1,1,1,2,2,1
ISSUE-0014,Memory leak #14,0,1,1,2,2,1
ISSUE-0015,Update docs #15,0,1,1,2,2,1
ISSUE-0016,File upload fails #16,1,1,0,2,1,1
ISSUE-0017,Wrong total #17,1,1,1,2,2,1
ISSUE-0018,Session expiry #18,1,1,1,2,2,1
ISSUE-0019,Fix typo #19,1,1,1,2,2,1
ISSUE-0020,Pagination broken #20,1,1,1,2,2,1
ISSUE-0021,Add logging #21,1,1,1,2,2,1
ISSUE-0022,Two-factor auth #22,0,1,1,2,2,1
ISSUE-0023,Improve something #23,0,1,1,2,2,1
ISSUE-0024,CSV import fails #24,1,1,1,2,2,1
ISSUE-0025,Profile page slow #25,0,1,1,2,2,1
ISSUE-0026,Notifications broken #26,1,1,1,2,2,1
ISSUE-0027,Timezone bug #27,1,1,0,2,1,1
ISSUE-0028,Dropdown empty #28,0,1,1,2,2,1
ISSUE-0029,Report generation #29,1,1,1,2,2,1
ISSUE-0030,Missing feature #30,1,1,1,2,2,1
ISSUE-0031,Concurrent edit conflict #31,0,1,1,2,2,1
ISSUE-0032,Wrong redirect #32,0,1,0,2,1,1
ISSUE-0033,Image resize #33,1,1,1,2,2,1
ISSUE-0034,Filter not saving #34,0,1,1,2,2,1
ISSUE-0035,Audit log missing #35,0,0,1,2,1,0
ISSUE-0036,Language switch broken #36,0,1,1,2,2,1
ISSUE-0037,Role permission #37,1,1,1,2,2,1
ISSUE-0038,Broken link #38,0,1,1,2,2,1
ISSUE-0039,Chart rendering #39,1,0,1,2,1,0
ISSUE-0040,Delete confirmation #40,1,0,1,2,1,0
ISSUE-0041,Fix login bug #41,1,1,1,2,2,1
ISSUE-0042,Update UI #42,1,1,1,2,2,1
ISSUE-0043,Add export feature #43,0,1,1,2,2,1
ISSUE-0044,Performance issue #44,1,1,1,2,2,1
ISSUE-0045,Null pointer exception #45,1,1,0,2,1,1
ISSUE-0046,Search not working #46,0,1,1,2,2,1
ISSUE-0047,Add dark mode #47,0,0,1,2,1,0
ISSUE-0048,Crash on startup #48,0,1,1,2,2,1
ISSUE-0049,Email validation #49,0,0,1,2,1,0
ISSUE-0050,Database timeout #50,0,1,1,2,2,1
ISSUE-0051,Missing error handling #51,1,1,1,2,2,1
ISSUE-0052,API rate limiting #52,1,1,1,2,2,1
ISSUE-0053,Button color #53,0,1,1,2,2,1
ISSUE-0054,Memory leak #54,1,1,1,2,2,1
ISSUE-0055,Update docs #55,1,1,1,2,2,1
ISSUE-0056,File upload fails #56,0,1,0,2,1,1
ISSUE-0057,Wrong total #57,0,1,1,2,2,1
ISSUE-0058,Session expiry #58,0,0,1,2,1,0
ISSUE-0059,Fix typo #59,1,1,1,2,2,1
ISSUE-0060,Pagination broken #60,0,1,1,2,2,1
ISSUE-0061,Add logging #61,0,1,1,2,2,1
ISSUE-0062,Two-factor auth #62,1,1,0,2,1,1
ISSUE-0063,Improve something #63,0,1,1,2,2,1
ISSUE-0064,CSV import fails #64,1,1,1,2,2,1
ISSUE-0065,Profile page slow #65,0,1,1,2,2,1
ISSUE-0066,Notifications broken #66,0,1,1,2,2,1
ISSUE-0067,Timezone bug #67,0,1,0,2,1,1
ISSUE-0068,Dropdown empty #68,0,1,1,2,2,1
ISSUE-0069,Report generation #69,0,-1,1,1,1,1
ISSUE-0070,Missing feature #70,0,1,1,2,2,1
ISSUE-0071,Concurrent edit conflict #71,1,1,1,2,2,1
ISSUE-0072,Wrong redirect #72,0,0,0,2,0,0
ISSUE-0073,Image resize #73,1,0,1,2,1,0
ISSUE-0074,Filter not saving #74,1,1,1,2,2,1
ISSUE-0075,Audit log missing #75,0,1,1,2,2,1
ISSUE-0076,Language switch broken #76,0,1,1,2,2,1
ISSUE-0077,Role permission #77,1,1,1,2,2,1
ISSUE-0078,Broken link #78,0,1,1,2,2,1
ISSUE-0079,Chart rendering #79,0,1,1,2,2,1
ISSUE-0080,Delete confirmation #80,0,1,1,2,2,1
ISSUE-0081,Fix login bug #81,0,1,1,2,2,1
ISSUE-0082,Update UI #82,1,1,1,2,2,1
ISSUE-0083,Add export feature #83,0,1,1,2,2,1
ISSUE-0084,Performance issue #84,1,1,1,2,2,1
ISSUE-0085,Null pointer exception #85,0,1,1,2,2,1
ISSUE-0086,Search not working #86,0,1,1,2,2,1
ISSUE-0087,Add dark mode #87,1,0,1,2,1,0
ISSUE-0088,Crash on startup #88,0,1,1,2,2,1
ISSUE-0089,Email validation #89,1,0,1,2,1,0
ISSUE-0090,Database timeout #90,1,1,1,2,2,1
ISSUE-0091,Missing error handling #91,1,1,1,2,2,1
ISSUE-0092,API rate limiting #92,0,1,1,2,2,1
ISSUE-0093,Button color #93,1,1,1,2,2,1
ISSUE-0094,Memory leak #94,0,1,1,2,2,1
ISSUE-0095,Update docs #95,0,1,1,2,2,1
ISSUE-0096,File upload fails #96,1,1,0,2,1,1
ISSUE-0097,Wrong total #97,1,1,1,2,2,1
ISSUE-0098,Session expiry #98,1,0,1,2,1,0
ISSUE-0099,Fix typo #99,0,1,1,2,2,1
ISSUE-0100,Pagination broken #100,1,1,1,2,2,1
