issue_id,title,ground_truth,prediction,raw_response,prompt_hash,model_version,temperature,timestamp_utc
ISSUE-0001,Fix login bug #1,0,1,Final Answer: Yes,f3fe5b900ae809ea,mistral:7b,0,2026-06-08T19:22:46.270853+00:00
ISSUE-0002,Update UI #2,0,1,Final Answer: Yes,70b75202597f787a,mistral:7b,0,2026-06-08T19:22:46.716135+00:00
ISSUE-0003,Add export feature #3,0,1,Final Answer: Yes,320f6c775a8734de,mistral:7b,0,2026-06-08T19:22:47.223664+00:00
ISSUE-0004,Performance issue #4,0,1,Final Answer: Yes,bdbf01151c6493bd,mistral:7b,0,2026-06-08T19:22:47.719929+00:00
ISSUE-0005,Null pointer exception #5,0,1,Final Answer: Yes,6d1c6b285337570c,mistral:7b,0,2026-06-08T19:22:48.235412+00:00
ISSUE-0006,Search not working #6,0,1,Final Answer: Yes,640f52c8c2d338c7,mistral:7b,0,2026-06-08T19:22:48.755314+00:00
ISSUE-0007,Add dark mode #7,0,1,Final Answer: Yes,9a411da01f121a34,mistral:7b,0,2026-06-08T19:22:49.225134+00:00
ISSUE-0008,Crash on startup #8,0,1,Final Answer: Yes,e4c04ca18cc0f3ea,mistral:7b,0,2026-06-08T19:22:49.721643+00:00
ISSUE-0009,Email validation #9,0,1,Final Answer: Yes,8ba8649805cfad6a,mistral:7b,0,2026-06-08T19:22:50.237458+00:00
ISSUE-0010,Database timeout #10,1,1,Final Answer: Yes,fec4d134efa89a87,mistral:7b,0,2026-06-08T19:22:50.728683+00:00
ISSUE-0011,Missing error handling #11,0,1,Final Answer: Yes,7f304e0ae270e198,mistral:7b,0,2026-06-08T19:22:51.245247+00:00
ISSUE-0012,API rate limiting #12,1,1,Final Answer: Yes,1ee158cbe063790e,mistral:7b,0,2026-06-08T19:22:51.731168+00:00
ISSUE-0013,Button color #13,0,1,Final Answer: Yes,1d1eac2b5d2ada6d,mistral:7b,0,2026-06-08T19:22:52.246739+00:00
ISSUE-0014,Memory leak #14,1,1,Final Answer: Yes,36d3166d36603328,mistral:7b,0,2026-06-08T19:22:52.719872+00:00
ISSUE-0015,Update docs #15,0,1,Final Answer: Yes,6f1d7761be5682e5,mistral:7b,0,2026-06-08T19:22:53.238012+00:00
ISSUE-0016,File upload fails #16,0,1,Final Answer: Yes,d2997f0220a4ab0a,mistral:7b,0,2026-06-08T19:22:53.804869+00:00
