issue_id,title,ground_truth,prediction,raw_response,prompt_hash,model_version,temperature,timestamp_utc
ISSUE-0001,Fix login bug #1,0,1,"- The title ""Fix login bug #1"" is clear but does not provide specific details.
- The description states that users ""cannot log in sometimes,"" which lacks specificity about when or under what conditions the issue occurs.
- There is no mention of any error messages, affected user types, or environmental factors contributing to the problem.
- The phrase ""Please fix it"" is vague and does not specify expected behavior or criteria for resolution.
- Overall, the description uses vague language and lacks clear context and scope.

Final Answer: Yes",e85c4f1056021658,qwen2.5:14b,0,2026-06-08T18:52:24.544031+00:00
ISSUE-0002,Update UI #2,1,1,"- The title ""Update UI #2"" is generic and does not specify what aspects of the user interface need to be updated.
- The description ""The interface needs updating."" lacks specific details about which parts of the interface should be improved or how they should be changed.
- There is no clear context provided regarding why the update is necessary, under what conditions it would apply, or any performance metrics that should be met after the update.
- The scope of the issue is unclear; it does not specify whether this involves redesigning certain elements, fixing bugs, improving responsiveness, etc.
- Given the lack of specific details and clear context, there are multiple possible interpretations of what needs to be done.

Final Answer: Yes",8d44c41bd7607d86,qwen2.5:14b,0,2026-06-08T18:52:27.572214+00:00
ISSUE-0003,Add export feature #3,0,1,"- The title ""Add export feature #3"" is clear but lacks detail.
- The description specifies that data should be exported in CSV format and mentions the source as the reports page.
- However, it does not specify which types of data or under what conditions this export should occur.
- There's no mention of how the user interface will support this action (e.g., a button to click) or any technical details about file naming conventions or error handling.
- The scope is somewhat clear but lacks specifics that would make it unambiguous for implementation.

Final Answer: Yes",1be6320c98a74f2e,qwen2.5:14b,0,2026-06-08T18:52:30.127130+00:00
ISSUE-0004,Performance issue #4,0,1,"- The title ""Performance issue #4"" does not provide specific details about which part of the application is experiencing performance issues.
- The description ""The app is slow."" lacks specificity regarding what aspect of the application's performance is subpar. It doesn't mention any particular feature, module, or use case where slowness is observed.
- There are no metrics provided to quantify what constitutes 'slow' performance (e.g., response time in seconds, load times).
- The description does not specify under which conditions or scenarios the application performs poorly, making it difficult to reproduce and diagnose the issue.
- Given these points, there's ambiguity as to whether the slowness is related to startup time, API calls, user interface responsiveness, database queries, etc.

Final Answer: Yes",ed7355da60680986,qwen2.5:14b,0,2026-06-08T18:52:33.450402+00:00
ISSUE-0005,Null pointer exception #5,1,0,"- The title mentions a ""NullPointerException"" but does not specify where it happens.
- The description clearly states that the exception occurs in UserService.java at line 142 under specific conditions (when userId is null).
- However, the description lacks some context such as what operation or function call triggers this issue and whether there are any stack traces or logs attached for further investigation.
- Despite these minor omissions, the core information about where and when the exception occurs is clear and unambiguous.
- The lack of additional context does not make the issue ambiguous in terms of identifying the problem.

Final Answer: No",2b9e011482bae8f3,qwen2.5:14b,0,2026-06-08T18:52:36.126626+00:00
ISSUE-0006,Search not working #6,0,1,"- The title ""Search not working"" is vague and does not specify what type of search or under which conditions it fails.
- The description ""Search returns no results"" lacks context about the specific scenario in which this occurs. It doesn't mention if there are supposed to be results, what kind of query was used, or any other relevant details.
- There's no clear scope defined for the issue; it does not specify whether this is a problem with indexing, querying, or another aspect of the search functionality.
- The description can be interpreted in multiple ways: Is there an error message? Are there supposed to be results but none are returned? Does the system crash when searching?
- Overall, both the title and description lack sufficient detail to understand the issue clearly.

Final Answer: Yes",026688ac86d3cab5,qwen2.5:14b,0,2026-06-08T18:52:39.881186+00:00
ISSUE-0007,Add dark mode #7,0,1,"- The title ""Add dark mode"" is clear and specific about the feature requested.
- However, the description lacks detail on how exactly the dark mode should be implemented or what aspects of the application it should affect.
- It mentions a ""dark mode toggle in settings,"" but does not specify where this setting will appear within the UI or provide any design guidelines for the toggle.
- The requirement to use localStorage is clear, but there's no mention of how user preferences are managed when switching between devices or browsers.
- Overall, while the core feature (adding a dark mode) is clear, the description leaves room for interpretation regarding implementation details and user experience considerations.

Final Answer: Yes",561fab761a4ed113,qwen2.5:14b,0,2026-06-08T18:52:42.886912+00:00
ISSUE-0008,Crash on startup #8,0,1,"- The title ""Crash on startup"" is clear but lacks detail about what exactly causes the crash.
- The description ""App crashes when opened"" does not specify under which conditions or in what environment this happens. It also doesn't mention any error messages, logs, or steps to reproduce the issue.
- There's no information provided about the frequency of the problem, specific devices or operating systems where it occurs, or whether there are any preconditions that need to be met for the crash to happen.
- The description does not provide enough context or detail to understand the scope and nature of the issue fully. It could mean different things to different people without further clarification.
- Given the lack of specific details about the conditions under which the app crashes, this issue is ambiguous as it can be interpreted in multiple ways.

Final Answer: Yes",4d5663e500ea44c4,qwen2.5:14b,0,2026-06-08T18:52:46.461165+00:00
ISSUE-0009,Email validation #9,1,1,"- The title ""Email validation #9"" is specific but does not provide much context beyond the task.
- The description states to validate email format on a registration form, which is clear about the action and location.
- However, it lacks details such as what constitutes an invalid email (e.g., regex pattern), where inline error messages should appear, or how they should be styled.
- Without these specifics, there's room for interpretation regarding the exact requirements of validation rules and user interface behavior.
- The description is clear about the task but ambiguous in terms of implementation details.

Final Answer: Yes",0f21ef7d63386b9d,qwen2.5:14b,0,2026-06-08T18:52:49.110998+00:00
ISSUE-0010,Database timeout #10,1,1,"- The title ""Database timeout #10"" is specific but the description needs to be analyzed for clarity.
- The description states that DB queries time out after 30 seconds under heavy load with more than 500 concurrent users. This provides a clear condition and context (heavy load, number of concurrent users).
- However, it does not specify which database or application component is involved, nor does it mention any specific error message or stack trace.
- The description lacks details about the expected behavior or what needs to be improved beyond identifying that timeouts occur under heavy load conditions.
- Despite some clarity in describing when and how the issue occurs, there are still aspects missing for a complete understanding of the problem scope.

Final Answer: Yes",8635ed106c793162,qwen2.5:14b,0,2026-06-08T18:52:52.262204+00:00
ISSUE-0011,Missing error handling #11,0,1,"- The title ""Missing error handling #11"" is somewhat clear but does not specify which types of errors or in what context.
- The description ""Handle errors properly."" uses vague language and lacks specific details about the type of errors to handle, where they occur, or how proper handling should be defined.
- There is no clear scope provided; it's unclear if this applies to all parts of the software or a specific module.
- The phrase ""properly"" can be interpreted in multiple ways depending on the context and existing standards within the project.
- Given these points, the issue lacks clarity and specificity, making it ambiguous.

Final Answer: Yes",44dc3f9fdd918539,qwen2.5:14b,0,2026-06-08T18:52:55.261218+00:00
ISSUE-0012,API rate limiting #12,1,0,"- The title ""API rate limiting #12"" is clear but the description needs to be analyzed for ambiguity.
- The description specifies a concrete requirement: implementing rate limiting of 100 requests per minute per API key and returning 429 responses when limits are exceeded.
- However, it does not specify how to handle edge cases or what happens after sending 429 responses (e.g., retry logic, time until the limit resets).
- The description lacks context about why this rate limiting is necessary or which APIs specifically need this feature.
- Despite these minor omissions, the core requirement is clear and actionable.

Final Answer: No",ffd8cfad0186ea0d,qwen2.5:14b,0,2026-06-08T18:52:58.133269+00:00
ISSUE-0013,Button color #13,1,1,"- The title ""Button color #13"" is specific but lacks context.
- The description ""Change the button color."" does not specify which button or what new color should be used.
- There are no details about why the change is needed, under what conditions it applies, or how success will be measured.
- This request can be interpreted in multiple ways since there could be several buttons and various colors to choose from.
- The description lacks clear scope and context, making it difficult to understand exactly what needs to be done.

Final Answer: Yes",80f5a16f09bc1961,qwen2.5:14b,0,2026-06-08T18:53:00.629171+00:00
ISSUE-0014,Memory leak #14,0,1,"- The title ""Memory leak #14"" is specific but lacks detail.
- The description states that memory usage grows unbounded in a particular service over time. This provides some context about the issue's scope and location.
- However, it does not specify what constitutes an acceptable level of memory usage or when exactly the problem becomes critical.
- There are no details on how to reproduce the issue or any specific conditions under which this occurs (e.g., number of users, frequency of sync operations).
- The description is clear about the service and timeframe but lacks quantitative metrics for defining ""unbounded"" growth.

Final Answer: Yes",eb2aeaed559782cc,qwen2.5:14b,0,2026-06-08T18:53:03.395120+00:00
ISSUE-0015,Update docs #15,0,1,"- The title ""Update docs #15"" does not specify which documentation needs updating.
- The description ""Documentation is outdated."" lacks detail about what parts of the documentation are outdated and why they need to be updated.
- There's no clear scope or context provided, such as specific sections, files, or features that require updates.
- Without additional information, it’s unclear whether this refers to user guides, API docs, developer guides, etc., making interpretation ambiguous.
- The description does not provide any criteria for determining when the documentation is considered up-to-date.

Final Answer: Yes",fbe68665ce352afe,qwen2.5:14b,0,2026-06-08T18:53:06.006618+00:00
ISSUE-0016,File upload fails #16,1,0,"- The title ""File upload fails #16"" is specific but brief.
- The description clearly states that uploading files larger than 10MB results in a 413 error at the ""/upload"" endpoint.
- It specifies the exact condition under which the failure occurs (file size > 10MB) and the HTTP status code returned (413).
- There is no ambiguity regarding what needs to be fixed or improved; it's clear that the issue pertains to handling large file uploads correctly.
- The context provided in the description is sufficient for a developer to understand and address the problem.

Final Answer: No",1638dd3886a44c54,qwen2.5:14b,0,2026-06-08T18:53:08.824242+00:00
ISSUE-0017,Wrong total #17,1,1,"- The title ""Wrong total #17"" does not specify what aspect of the total is incorrect or under which conditions this issue occurs.
- The description ""The total is wrong in the cart."" lacks detail about what constitutes a correct total and under what circumstances it becomes incorrect. It doesn't mention specific items, quantities, prices, or any other context that would help identify the problem.
- There's no clear scope defined for resolving this issue; it’s not evident whether the problem affects all users, certain products, or particular scenarios within the cart functionality.
- The description can be interpreted in multiple ways. For instance, does ""wrong total"" mean too high, too low, missing items, incorrect discounts applied, etc.? Without specifics, these interpretations are possible.
- Given the lack of specific details and clear context, this issue is ambiguous.

Final Answer: Yes",a7580bba165d1cc1,qwen2.5:14b,0,2026-06-08T18:53:12.480450+00:00
ISSUE-0018,Session expiry #18,1,1,"- The title ""Session expiry #18"" is clear and specific.
- The description specifies the exact behavior required: automatic session expiry after 30 minutes of inactivity.
- It also mentions a feature to show a warning dialog before the session expires, providing context for user interaction.
- However, it does not specify where or how this warning dialog should be implemented (e.g., pop-up window, notification bar).
- The lack of detail about the warning dialog's implementation could lead to multiple interpretations.

Final Answer: Yes",fe466971bf65f362,qwen2.5:14b,0,2026-06-08T18:53:14.876226+00:00
ISSUE-0019,Fix typo #19,1,1,"- The title ""Fix typo #19"" is specific but lacks context.
- The description ""There's a typo somewhere."" does not specify where the typo occurs or what text needs correction.
- Without knowing the exact location and nature of the typo, it’s impossible to determine which part of the software requires modification.
- The issue can be interpreted in multiple ways since any typo could potentially fit this vague description.
- There is no clear scope or context provided for resolving the issue.

Final Answer: Yes",3dde31f9535e5f50,qwen2.5:14b,0,2026-06-08T18:53:17.196206+00:00
ISSUE-0020,Pagination broken #20,1,1,"- The title ""Pagination broken"" indicates a specific problem but lacks detail.
- The description states that pagination fails specifically under certain conditions (""when filter is applied"").
- However, it does not specify what exactly happens when the filter is applied (e.g., error message, unexpected behavior).
- It also doesn't mention which filters or scenarios are problematic, leaving room for interpretation.
- While more detailed than vague statements like ""something is broken,"" there's still ambiguity regarding the exact nature of the issue and its scope.

Final Answer: Yes",ec2ae67d18b50061,qwen2.5:14b,0,2026-06-08T18:53:19.617769+00:00
ISSUE-0021,Add logging #21,1,1,"- The title ""Add logging"" is vague but does not inherently indicate ambiguity without context.
- The description ""Add proper logging."" lacks specificity. It doesn't define what constitutes ""proper logging,"" which components need it, or under what conditions the logging should be implemented.
- There's no clear scope defined for where and how much logging needs to be added.
- Without additional details, this request can be interpreted in multiple ways (e.g., different levels of detail, different parts of the application).
- The description does not provide enough context or criteria to understand what is meant by ""proper logging.""

Final Answer: Yes",c1e007f79a12e38c,qwen2.5:14b,0,2026-06-08T18:53:22.357845+00:00
ISSUE-0022,Two-factor auth #22,0,1,"- The title ""Two-factor auth #22"" is somewhat vague but provides context that the issue relates to two-factor authentication.
- The description specifies adding TOTP-based 2FA support for admin accounts and mentions backup codes. This indicates a clear scope of work.
- However, it does not specify any particular requirements or constraints beyond mentioning ""backup codes,"" which could be interpreted in multiple ways (e.g., how many backup codes should be generated, under what conditions they are used).
- The description lacks details on the expected behavior and user experience for implementing TOTP-based 2FA.
- While the issue is more specific than some examples given, it still leaves room for interpretation regarding certain aspects of implementation.

Final Answer: Yes",8c8e949d368726e1,qwen2.5:14b,0,2026-06-08T18:53:25.457712+00:00
ISSUE-0023,Improve something #23,0,1,"- The title ""Improve something #23"" is vague and does not specify what aspect of the software needs improvement.
- The description ""Something needs to be improved."" lacks specificity about which part of the system or feature requires enhancement.
- There are no details provided regarding performance metrics, user experience issues, or any other concrete criteria that would help in understanding the scope of the improvement needed.
- Without clear context and specific requirements, this issue can be interpreted in multiple ways by different stakeholders.
- The absence of precise information makes it impossible to determine what exactly needs to be improved and how.

Final Answer: Yes",39e8c8643155d5d9,qwen2.5:14b,0,2026-06-08T18:53:28.157994+00:00
ISSUE-0024,CSV import fails #24,1,1,"- The title ""CSV import fails #24"" is specific but the description needs clarity.
- The description mentions that importing CSV files with commas within fields causes silent failure. However, it does not specify which part of the system is failing or what exactly happens during the failure (e.g., error message, log entry).
- There's no mention of expected behavior or conditions under which this issue occurs consistently.
- While the problem area is somewhat clear (""CSV import""), the scope and exact nature of the failure are vague. It could mean different things to different people.
- The description lacks details about how to reproduce the issue or what steps have been taken so far.

Final Answer: Yes",1245cb4b6b0d1830,qwen2.5:14b,0,2026-06-08T18:53:31.077936+00:00
ISSUE-0025,Profile page slow #25,0,1,"- The title ""Profile page slow"" is clear about the component in question but does not specify any conditions or metrics.
- The description specifies that the profile page takes 8+ seconds to load due to unoptimized image loading. This provides a specific condition and cause for the issue.
- However, it lacks context such as under what circumstances this happens (e.g., all users, only new users), in which environment (development, production), or any baseline performance metrics before optimization was needed.
- The description does not mention if there are other factors contributing to the slow load time besides image loading issues.
- Despite providing some specific details about the issue, it still lacks sufficient context and conditions that would make it fully clear.

Final Answer: Yes",f710ba55a545278a,qwen2.5:14b,0,2026-06-08T18:53:34.407118+00:00
ISSUE-0026,Notifications broken #26,1,1,"- The title ""Notifications broken"" is somewhat vague but provides a clear indication of the issue.
- The description specifies that push notifications are not being delivered to Android devices running Android 13 or higher. This narrows down the scope significantly.
- However, it does not provide any context about what happens instead (e.g., error message, silent failure), which could be useful for debugging and understanding the root cause.
- The description lacks details such as whether this issue affects all users with Android 13+ or only specific devices/models, or if there are any particular conditions under which notifications fail to deliver.
- Despite some clarity on the affected platform and version, the lack of context about error messages or failure modes leaves room for multiple interpretations.

Final Answer: Yes",48d2e208b92eed8b,qwen2.5:14b,0,2026-06-08T18:53:37.651910+00:00
ISSUE-0027,Timezone bug #27,1,0,"- The title ""Timezone bug #27"" is specific and indicates a clear issue related to timezones.
- The description states that timestamps are displayed in UTC rather than the user's local timezone in the event log. This provides a precise context of where the problem occurs (event log) and what should be fixed (displaying timestamps according to the user’s local timezone instead of UTC).
- However, it does not specify under which conditions or scenarios this issue happens, such as whether it is related to specific users, certain times, or particular events.
- Despite lacking some contextual details about when or how often the problem occurs, the description clearly defines what needs fixing and where the issue lies within the application.
- Given that the core of the issue (displaying timestamps in UTC instead of local timezone) is well-defined, even though it lacks specific conditions under which this happens, it does not significantly hinder understanding.

Final Answer: No",22f4b7fd3eae759c,qwen2.5:14b,0,2026-06-08T18:53:41.457914+00:00
