model,strategy,model_desc,project,input_mode,accuracy,precision,recall,f1,tp,fp,tn,fn,n_evaluated
llama3.1,zero_shot,Llama 3.1 8B,project_02,title_desc,0.9247,0.0,0.0,0.0,0,7,86,0,93
llama3.1,few_shot,Llama 3.1 8B,project_02,title_desc,0.3011,0.0,0.0,0.0,0,65,28,0,93
llama3.1,cot,Llama 3.1 8B,project_02,title_desc,0.0795,0.0,0.0,0.0,0,81,7,0,88
llama3.1,few_shot_cot,Llama 3.1 8B,project_02,title_desc,0.5385,0.0,0.0,0.0,0,36,42,0,78
mistral,zero_shot,Mistral 7B Instruct v0.3,project_02,title_desc,0.2688,0.0,0.0,0.0,0,68,25,0,93
mistral,few_shot,Mistral 7B Instruct v0.3,project_02,title_desc,0.3871,0.0,0.0,0.0,0,57,36,0,93
mistral,cot,Mistral 7B Instruct v0.3,project_02,title_desc,0.3441,0.0,0.0,0.0,0,61,32,0,93
mistral,few_shot_cot,Mistral 7B Instruct v0.3,project_02,title_desc,0.3226,0.0,0.0,0.0,0,63,30,0,93
qwen2.5,zero_shot,Qwen 2.5 14B Instruct,project_02,title_desc,0.4086,0.0,0.0,0.0,0,55,38,0,93
qwen2.5,few_shot,Qwen 2.5 14B Instruct,project_02,title_desc,0.3441,0.0,0.0,0.0,0,61,32,0,93
qwen2.5,cot,Qwen 2.5 14B Instruct,project_02,title_desc,0.1778,0.0,0.0,0.0,0,74,16,0,90
qwen2.5,few_shot_cot,Qwen 2.5 14B Instruct,project_02,title_desc,0.2,0.0,0.0,0.0,0,72,18,0,90
ensemble,zero_shot,ensemble,project_02,title_desc,0.4783,0.0,0.0,0.0,0,48,44,0,92
ensemble,few_shot,ensemble,project_02,title_desc,0.3587,0.0,0.0,0.0,0,59,33,0,92
ensemble,cot,ensemble,project_02,title_desc,0.1413,0.0,0.0,0.0,0,79,13,0,92
ensemble,few_shot_cot,ensemble,project_02,title_desc,0.2609,0.0,0.0,0.0,0,68,24,0,92
