issue_id,title,ground_truth,prediction,raw_response,prompt_hash,model_version,temperature,timestamp_utc
ISSUE-0001,Fix login bug #1,0,1,"Let's break it down:

1. The issue title and description provide some context about the problem, but they are quite vague.
2. Upon reviewing the issue, I notice that several essential pieces of information are missing:
	* Steps to reproduce: How can a developer replicate the login bug?
	* Expected vs actual behaviour: What is the expected outcome when logging in, and what happens instead?
	* Acceptance criteria: What conditions must be met for the fix to be considered complete?
	* Affected components: Which parts of the system are impacted by this issue?
	* Environment details: Are there any specific configurations or settings that contribute to the problem?
3. Without more information, a developer would likely need to ask questions or request clarification before attempting to resolve the issue.

Based on these observations, I conclude that the issue is indeed INCOMPLETE.

Final Answer: Yes",f3fe5b900ae809ea,llama3.1:8b,0,2026-06-08T18:06:56.594355+00:00
ISSUE-0002,Update UI #2,0,1,"Let's break it down:

1. The issue title and description provide some context about the need to update the UI, but they don't specify what exactly needs updating or why.
2. Essential information that is missing includes:
	* Steps to reproduce: How can a developer replicate the problem?
	* Expected vs actual behaviour: What should the updated UI look like, and how does it differ from the current one?
	* Acceptance criteria: What are the specific requirements for the updated UI?
	* Affected components: Which parts of the system will be impacted by this update?
	* Environment details: In which environment(s) is this issue relevant (e.g., production, staging, development)?
3. Without more information, a developer cannot act on this issue without asking for clarification or additional context.

Therefore, based on the provided analysis:

Final Answer: Yes",70b75202597f787a,llama3.1:8b,0,2026-06-08T18:06:58.953745+00:00
ISSUE-0003,Add export feature #3,0,1,"Let's break it down:

1. The issue title and description provide some key information: the feature to be added is an export feature, specifically exporting data from the reports page to CSV format.
2. Upon reviewing the issue, I notice that essential information is missing:
	* Steps to reproduce the issue (or how to trigger the export feature)
	* Expected vs actual behaviour (what should happen when the export feature is triggered?)
	* Acceptance criteria (what conditions must be met for the feature to be considered complete?)
	* Affected components (which parts of the system will be impacted by this change?)
	* Environment details (in which environment(s) will this feature be deployed?)
3. Without more information, a developer may struggle to understand how to implement the export feature correctly or even what constitutes ""correct"" implementation.

Given these observations, I conclude that the issue is missing essential information.

Final Answer: Yes",320f6c775a8734de,llama3.1:8b,0,2026-06-08T18:07:01.425553+00:00
ISSUE-0004,Performance issue #4,0,1,"Let's break it down:

1. The issue title and description provide some context, but they are quite vague.
2. Upon reviewing the issue, I notice that:
	* There is no mention of steps to reproduce the performance issue (#1 missing).
	* The expected vs actual behaviour is not specified (#2 missing).
	* Acceptance criteria are not provided (#3 missing).
	* Affected components or environment details are not mentioned (#4 and #5 missing).
3. Without more information, a developer would likely need to ask for clarification before attempting to resolve the issue.

Based on this analysis, I conclude that the issue is indeed INCOMPLETE.

Final Answer: Yes",bdbf01151c6493bd,llama3.1:8b,0,2026-06-08T18:07:03.430561+00:00
ISSUE-0005,Null pointer exception #5,0,1,"Let's break down the issue step by step:

1. The key information provided in this issue is:
	* A NullPointerException occurs
	* The location of the error: UserService.java at line 142
	* The cause of the error: userId is null
2. Essential information that is missing includes:
	* Steps to reproduce the error (e.g., what actions lead to the NullPointerException)
	* Expected vs actual behavior (what should happen when a user ID is null, and what actually happens)
	* Acceptance criteria (what constitutes a successful fix for this issue)
	* Affected components (other parts of the system that might be impacted by this error)
	* Environment details (e.g., which version of Java or other dependencies are being used)
3. Without more information, it's difficult to determine the root cause of the NullPointerException and implement a fix. A developer would likely need to ask for additional context before acting on this issue.

Final Answer: Yes",6d1c6b285337570c,llama3.1:8b,0,2026-06-08T18:07:06.054844+00:00
ISSUE-0006,Search not working #6,0,1,"Let's break it down:

1. The issue title and description provide some context about the problem, but they are quite brief.
2. Upon reviewing the issue, I notice that:
	* There is no mention of steps to reproduce the issue, which makes it difficult for a developer to replicate and investigate the problem.
	* The expected behavior (i.e., what should happen when searching) is not clearly stated.
	* The actual behavior (i.e., ""Search returns no results"") is mentioned, but without context, it's hard to understand why this is unexpected.
	* There are no acceptance criteria or environment details provided.
3. Without the essential information, a developer would likely need to ask for more clarification before attempting to fix the issue.

Based on these observations, I conclude that the issue is missing critical information and cannot be acted upon without further investigation.

Final Answer: Yes",640f52c8c2d338c7,llama3.1:8b,0,2026-06-08T18:07:08.447619+00:00
ISSUE-0007,Add dark mode #7,0,1,"Let's break down the issue step by step:

1. The key information provided in this issue includes:
	* A clear title (""Add dark mode #7"")
	* A brief description of what needs to be implemented (""Implement dark mode toggle in settings with persistent preference via localStorage."")
2. Upon reviewing the issue, I notice that some essential information is missing:
	* Steps to reproduce: How can a developer test and verify that the dark mode toggle works as expected?
	* Expected vs actual behaviour: What should the user interface look like when dark mode is enabled or disabled? Are there any specific visual changes required?
	* Acceptance criteria: What are the specific conditions under which this feature will be considered complete?
3. Based on the missing information, a developer may struggle to act on this issue without asking for more clarification. They would need additional details to ensure they implement the feature correctly and meet the expected requirements.

Final Answer: Yes",9a411da01f121a34,llama3.1:8b,0,2026-06-08T18:07:10.998132+00:00
ISSUE-0008,Crash on startup #8,0,1,"Let's break it down:

1. The issue title and description provide some basic information about the problem, but they are quite vague.
2. Upon reviewing the issue, I notice that:
	* Reproduction steps: Not provided
	* Expected vs actual behaviour: Not specified (e.g., what is the expected behavior when the app starts up?)
	* Acceptance criteria: Not mentioned
	* Affected components: Not identified
	* Environment details: Not described (e.g., operating system, version of the app)
3. Without more information, a developer would likely need to ask for clarification or additional details before attempting to resolve the issue.

Considering these points, I conclude that this issue is missing essential information and cannot be acted upon in its current state.

Final Answer: Yes",e4c04ca18cc0f3ea,llama3.1:8b,0,2026-06-08T18:07:13.237075+00:00
ISSUE-0009,Email validation #9,0,1,"Let's break down the issue step by step:

1. The key information provided in this issue is:
	* Issue Title: Email validation #9
	* Issue Description: Validate email format on registration form and show inline error messages.
2. Upon reviewing the issue, I notice that essential information is missing:
	* Steps to reproduce the issue are not mentioned (e.g., what specific email formats should be tested).
	* Expected vs actual behavior is not described (e.g., what happens when an invalid email format is entered).
	* Acceptance criteria are not specified (e.g., how will we know if the validation is working correctly?).
	* Affected components or environment details are not mentioned.
3. Based on this analysis, a developer would likely need to ask for more information before acting on this issue.

Final Answer: Yes",8ba8649805cfad6a,llama3.1:8b,0,2026-06-08T18:07:15.615796+00:00
ISSUE-0010,Database timeout #10,1,1,"Let's break down the issue step by step:

1. The key information provided in this issue includes:
	* A symptom of the problem: ""DB queries timeout""
	* A specific condition under which the problem occurs: ""under heavy load with more than 500 concurrent users""
2. Essential information that is missing from this issue includes:
	* Steps to reproduce the problem (e.g., how to simulate a heavy load scenario)
	* Expected vs actual behavior (e.g., what should happen when queries timeout, and what actually happens)
	* Acceptance criteria for resolving the issue (e.g., what constitutes a successful resolution)
	* Affected components or systems (e.g., which specific database tables or queries are affected)
	* Environment details (e.g., what is the production environment like, and how does it differ from development/test environments)
3. Without additional information, a developer may struggle to act on this issue effectively. They would need to ask for more context and clarification before attempting to resolve the problem.

Based on these observations, I conclude that the issue is INCOMPLETE because essential information is missing.

Final Answer: Yes",fec4d134efa89a87,llama3.1:8b,0,2026-06-08T18:07:18.575432+00:00
