issue_id,title,ground_truth,prediction,raw_response,prompt_hash,model_version,temperature,timestamp_utc,project,input_mode,task,strategy
ISSUE-38493,Review API Runtime Services Documentation,1,0,No,768e83620572a45c,mistral:7b,0,2026-06-17T20:00:18.855610,project_02,title_only,incompleteness,zero_shot
ISSUE-38975,Tutorial Series: Customize for Android,1,1,Yes,ed63927e4b5b2017,mistral:7b,0,2026-06-17T20:00:19.334228,project_02,title_only,incompleteness,zero_shot
ISSUE-40855,APIDoc: Window.modalStyle and modalTransitionStyle properties are undocumented,0,0,No,b4679861d57f4a64,mistral:7b,0,2026-06-17T20:00:19.820504,project_02,title_only,incompleteness,zero_shot
ISSUE-40336,APIDoc: Check all deprecated API members for appropriate message,0,0,No,6d5d5ac29e4e9633,mistral:7b,0,2026-06-17T20:00:20.333621,project_02,title_only,incompleteness,zero_shot
ISSUE-38324,Create Appcelerator Studio Guide page,1,1,Yes,df91a25b74cf679f,mistral:7b,0,2026-06-17T20:00:20.813931,project_02,title_only,incompleteness,zero_shot
ISSUE-39589,Update Android Menu docs re: overflow (...) menu on devices with hardware menu button,0,0,No,e85e4c60354ff429,mistral:7b,0,2026-06-17T20:00:21.365872,project_02,title_only,incompleteness,zero_shot
ISSUE-38275,Rename AMPLIFY Appcelerator Services to Axway Mobile Analytics,0,0,No,b8844395be211e71,mistral:7b,0,2026-06-17T20:00:21.817747,project_02,title_only,incompleteness,zero_shot
ISSUE-38193,Remove very outdated Ti.Map documentation,0,0,No,d1fc102cd9dd30d8,mistral:7b,0,2026-06-17T20:00:22.338126,project_02,title_only,incompleteness,zero_shot
ISSUE-40376,Docs: Code highlighting incorrectly applied to some example blocks,1,0,No,850bf66a9190a102,mistral:7b,0,2026-06-17T20:00:22.818611,project_02,title_only,incompleteness,zero_shot
ISSUE-39190,Fix link to View.touchEnabled from View.enabled,1,1,Yes,c0086c62664aad2b,mistral:7b,0,2026-06-17T20:00:23.317822,project_02,title_only,incompleteness,zero_shot
ISSUE-38138,Create and publish release note for SDK 7.3.1.RC,0,0,No,b999eae0fd4cf72b,mistral:7b,0,2026-06-17T20:00:23.838514,project_02,title_only,incompleteness,zero_shot
ISSUE-38570,Create and publish release note for Arrow 1.10.0,0,0,No,19234ce58625c648,mistral:7b,0,2026-06-17T20:00:24.315974,project_02,title_only,incompleteness,zero_shot
ISSUE-39606,APIDoc: Geolocation documentation - potential error add remove event listener,1,0,No,6e59862dd3a2a4d5,mistral:7b,0,2026-06-17T20:00:24.822002,project_02,title_only,incompleteness,zero_shot
ISSUE-40579,Doc BUG: Titanium.UI.iPad.Popover explicitly requires a View as child but in fact requires a Window,0,1,Yes,716640c1161aa8b8,mistral:7b,0,2026-06-17T20:00:25.325998,project_02,title_only,incompleteness,zero_shot
ISSUE-40465,APIDOC: Ti.UI.TableViewSection.borderRadius does not work,1,1,Yes,dd323c3c2e7850ab,mistral:7b,0,2026-06-17T20:00:25.835379,project_02,title_only,incompleteness,zero_shot
ISSUE-38497,New documentation page needed for API Builder -> Swagger Specifications,0,0,No,1c4b509426b18130,mistral:7b,0,2026-06-17T20:00:26.344287,project_02,title_only,incompleteness,zero_shot
ISSUE-39864,ACS User - need to be able to delete user without logging in as that user,0,1,Yes,e9c23d9f8de91f86,mistral:7b,0,2026-06-17T20:00:26.842744,project_02,title_only,incompleteness,zero_shot
ISSUE-38249,Create and publish release note for API Builder 3.0.0,0,1,Yes,47bc277a69126b4a,mistral:7b,0,2026-06-17T20:00:27.322126,project_02,title_only,incompleteness,zero_shot
ISSUE-38348,Improve the doc navigation,1,1,Yes,82327abc6bbd0bdb,mistral:7b,0,2026-06-17T20:00:27.809239,project_02,title_only,incompleteness,zero_shot
ISSUE-38714,incorrect link,1,1,Yes,f87a680cdf249ece,mistral:7b,0,2026-06-17T20:00:28.315090,project_02,title_only,incompleteness,zero_shot
ISSUE-38876,404 page is (unformatted) landing page,1,1,Yes,6a585ae9653ec273,mistral:7b,0,2026-06-17T20:00:28.833786,project_02,title_only,incompleteness,zero_shot
ISSUE-38300,Add a migration banner to all pages in the guides2 space,1,1,Yes,8bf70de92cfad2de,mistral:7b,0,2026-06-17T20:00:29.343520,project_02,title_only,incompleteness,zero_shot
ISSUE-38460,web site link doesn't exist,1,1,Yes,d210af36a73393b4,mistral:7b,0,2026-06-17T20:00:29.835670,project_02,title_only,incompleteness,zero_shot
ISSUE-40544,Android: documentation about how to handle Android app first run is missing,0,1,Yes,1defc0e171e46c52,mistral:7b,0,2026-06-17T20:00:30.342469,project_02,title_only,incompleteness,zero_shot
ISSUE-39279,iOS: createEmailDialog method doesn't work on some devices,1,1,Yes,52df64896554b58e,mistral:7b,0,2026-06-17T20:00:31.005583,project_02,title_only,incompleteness,zero_shot
ISSUE-38926,Update iOS Interactive Notifications guide for Apple Watch,0,0,No,452de8df6584634b,mistral:7b,0,2026-06-17T20:00:31.342067,project_02,title_only,incompleteness,zero_shot
ISSUE-40983,APIDoc: Remove click type events for mapview,0,0,No,a4c12a7a27d03542,mistral:7b,0,2026-06-17T20:00:31.838525,project_02,title_only,incompleteness,zero_shot
ISSUE-40873,APIDoc: ImageView Documentation clarification,1,0,No,bff5c9c442a41160,mistral:7b,0,2026-06-17T20:00:32.332798,project_02,title_only,incompleteness,zero_shot
ISSUE-38583,Nodejs reset password token,1,1,Yes,f22e2cf81a2ef05d,mistral:7b,0,2026-06-17T20:00:32.846417,project_02,title_only,incompleteness,zero_shot
ISSUE-38547,Create and publish release note for Alloy 1.9.2,0,1,Yes,60c121c605bb4032,mistral:7b,0,2026-06-17T20:00:33.321471,project_02,title_only,incompleteness,zero_shot
ISSUE-39410,"Doctools: hide ACS REST API """"pseudo types"""" in API reference TOC",0,0,No,112d2f08bc5401b7,mistral:7b,0,2026-06-17T20:00:33.834725,project_02,title_only,incompleteness,zero_shot
ISSUE-38316,Remove Mobile Web Support Reference from documentation,0,0,No,f01d9c6c1f486f9d,mistral:7b,0,2026-06-17T20:00:34.318050,project_02,title_only,incompleteness,zero_shot
ISSUE-40070,DocTools: Allow linking to guides sections by name in Cloud docs,0,0,No,2a40c4030cdd8361,mistral:7b,0,2026-06-17T20:00:34.847299,project_02,title_only,incompleteness,zero_shot
ISSUE-38806,Alloy Map sample code needs to be updated,1,1,Yes,844f35ef8914a04a,mistral:7b,0,2026-06-17T20:00:35.337262,project_02,title_only,incompleteness,zero_shot
ISSUE-40752,As a Titanium developer,1,1,Yes,22da7794148e924f,mistral:7b,0,2026-06-17T20:00:35.834922,project_02,title_only,incompleteness,zero_shot
ISSUE-38413,Update API Builder Doc landing page on Axway Doc Portal,0,0,No,8124360a6be4e07d,mistral:7b,0,2026-06-17T20:00:36.339462,project_02,title_only,incompleteness,zero_shot
ISSUE-40079,APIDoc: iOS: Sound player volume -- setting device volume,1,1,Yes,437f13c3ddb7a93d,mistral:7b,0,2026-06-17T20:00:36.850049,project_02,title_only,incompleteness,zero_shot
ISSUE-39208,Clarify 'autoStyle' docs,1,1,Yes,2d528e59d487b37b,mistral:7b,0,2026-06-17T20:00:37.319536,project_02,title_only,incompleteness,zero_shot
ISSUE-38600,Confirm and/or update Migrating Node.ACS Applications to Arrow page,0,1,Yes,16ef8533374162fa,mistral:7b,0,2026-06-17T20:00:37.848767,project_02,title_only,incompleteness,zero_shot
ISSUE-40801,APIDoc: Background Gradient options not documented,0,0,No,e477b755da8c90a0,mistral:7b,0,2026-06-17T20:00:38.339555,project_02,title_only,incompleteness,zero_shot
ISSUE-40937,APIDoc: Facebook code snippet not being rendered,0,1,Yes,c1841ce5844036d5,mistral:7b,0,2026-06-17T20:00:38.843864,project_02,title_only,incompleteness,zero_shot
ISSUE-38132,Create and publish release note for CLI 7.0.6.RC,0,0,No,549ecd0bea3fdafd,mistral:7b,0,2026-06-17T20:00:39.336679,project_02,title_only,incompleteness,zero_shot
ISSUE-38986,Android Themes guide needs serious updating,1,1,Yes,82815355819948c2,mistral:7b,0,2026-06-17T20:00:39.816414,project_02,title_only,incompleteness,zero_shot
ISSUE-38790,Update and extend guide on Transitions,1,0,No,35bbb431580de793,mistral:7b,0,2026-06-17T20:00:40.364331,project_02,title_only,incompleteness,zero_shot
ISSUE-38051,Ti.Platform.id documentation needs clarification,0,1,Yes,89fc6abfaef0420a,mistral:7b,0,2026-06-17T20:00:40.850049,project_02,title_only,incompleteness,zero_shot
ISSUE-38667,Create and publish Studio 4.7.1.GA release note,0,0,No,5069b6bab071852b,mistral:7b,0,2026-06-17T20:00:41.339609,project_02,title_only,incompleteness,zero_shot
ISSUE-38004,Link for 'Titanium.UI.iOS.SystemButton' seems to be broken,0,1,Yes,e5efc5a519bc11ff,mistral:7b,0,2026-06-17T20:00:41.842678,project_02,title_only,incompleteness,zero_shot
ISSUE-38293,Create and publish release note for SDK 6.3.0.GA,0,0,No,f049fa7b1c627b39,mistral:7b,0,2026-06-17T20:00:42.332695,project_02,title_only,incompleteness,zero_shot
ISSUE-39823,Guides: Update Launch options,1,1,Yes,7ead0d66012cfd78,mistral:7b,0,2026-06-17T20:00:42.843925,project_02,title_only,incompleteness,zero_shot
ISSUE-38256,Document required Android modules changes due to V8 changes,1,1,Yes,d93dc177d7d10800,mistral:7b,0,2026-06-17T20:00:43.331243,project_02,title_only,incompleteness,zero_shot
ISSUE-39381,Node.ACS cannot catch stdout & stderr from child processes forked by app,0,1,Yes,a7d0417bf0791231,mistral:7b,0,2026-06-17T20:00:43.849391,project_02,title_only,incompleteness,zero_shot
ISSUE-40888,APIDoc: remove from docs advice about passing functions cross-context,0,0,No,441c3767ea256a80,mistral:7b,0,2026-06-17T20:00:44.340381,project_02,title_only,incompleteness,zero_shot
ISSUE-39024,Migration: Node.ACS instructions should link new guide,0,0,No,fb7cc2be416d8059,mistral:7b,0,2026-06-17T20:00:44.845088,project_02,title_only,incompleteness,zero_shot
ISSUE-38189,Update Pull Request Guide and Building SDK From source,0,1,Yes,aa6f19e66bae2d57,mistral:7b,0,2026-06-17T20:00:45.344042,project_02,title_only,incompleteness,zero_shot
ISSUE-38180,Ti.UI.WebView documentation broken/missing,0,1,Yes,574183833ab4f626,mistral:7b,0,2026-06-17T20:00:45.844189,project_02,title_only,incompleteness,zero_shot
ISSUE-40251,"JDT install directions reference """"Helios"""" not """"Indigo"""" Eclipse platform",0,1,Yes,0e4941accbe4a730,mistral:7b,0,2026-06-17T20:00:46.341396,project_02,title_only,incompleteness,zero_shot
ISSUE-38133,Create and publish release note for CLI 7.0.5.GA,0,0,No,56affca7112ee11b,mistral:7b,0,2026-06-17T20:00:46.844044,project_02,title_only,incompleteness,zero_shot
ISSUE-40671,APIDoc: Filesystem.File.createTimestamp returns 0 on Android for resource files,0,0,No,288cbbc87eb3c0a9,mistral:7b,0,2026-06-17T20:00:47.339679,project_02,title_only,incompleteness,zero_shot
ISSUE-40346,APIDoc: Analytics doc should mention raw data export,0,0,No,e948cb53328a2090,mistral:7b,0,2026-06-17T20:00:47.846660,project_02,title_only,incompleteness,zero_shot
ISSUE-39667,ACS Custom Object Documentation Needs Corrected,0,1,Yes,72433fb4cf6fdcb3,mistral:7b,0,2026-06-17T20:00:48.341825,project_02,title_only,incompleteness,zero_shot
ISSUE-38873,Ti.UI.Android.openPreferences: Does not explain how to get a preference value,0,1,Yes,4a2d9c7919b7e8e9,mistral:7b,0,2026-06-17T20:00:48.846766,project_02,title_only,incompleteness,zero_shot
ISSUE-39183,Please help review the error messages of on-demand-pricing node.ACS part,0,1,Yes,eb333ae259afdffa,mistral:7b,0,2026-06-17T20:00:49.349439,project_02,title_only,incompleteness,zero_shot
ISSUE-38123,Create and publish release note for SDK 7.4.0.GA,0,0,No,243f5f4531278424,mistral:7b,0,2026-06-17T20:00:49.847268,project_02,title_only,incompleteness,zero_shot
ISSUE-40183,Guides: Enhance doc for installing/using modules,1,1,Yes,f2dc524bb23b48c1,mistral:7b,0,2026-06-17T20:00:50.342558,project_02,title_only,incompleteness,zero_shot
ISSUE-38293,Create and publish release note for SDK 6.3.0.GA,0,0,No,f049fa7b1c627b39,mistral:7b,0,2026-06-17T20:00:50.842322,project_02,title_only,incompleteness,zero_shot
ISSUE-38201,Fix/Replace links to /cloud in the wiki docs,0,1,Yes,a5629a4069ab9b26,mistral:7b,0,2026-06-17T20:00:51.344180,project_02,title_only,incompleteness,zero_shot
ISSUE-39132,Update docs template to better match new Dashboard look and feel,0,1,Yes,24af43b8fbe1332e,mistral:7b,0,2026-06-17T20:00:51.843675,project_02,title_only,incompleteness,zero_shot
ISSUE-39524,Create a new method likes/query.json,1,1,Yes,a00ac65fe4be2406,mistral:7b,0,2026-06-17T20:00:52.347668,project_02,title_only,incompleteness,zero_shot
ISSUE-39749,Localization of app name for Android is out-of-date,0,0,No,524a50d5b2c42ace,mistral:7b,0,2026-06-17T20:00:52.850354,project_02,title_only,incompleteness,zero_shot
ISSUE-39943,BlackBerry : Path for getting the logs from simulator is incorrect,0,1,Yes,7b46bae8d20ea450,mistral:7b,0,2026-06-17T20:00:53.348190,project_02,title_only,incompleteness,zero_shot
ISSUE-40067,DocTools: validate script is broken due to docgen changes,0,1,Yes,1cd9f2df658857e8,mistral:7b,0,2026-06-17T20:00:53.844174,project_02,title_only,incompleteness,zero_shot
ISSUE-39723,Support new Node.ACS command : download,1,1,Yes,b52f5fd10451b238,mistral:7b,0,2026-06-17T20:00:54.346286,project_02,title_only,incompleteness,zero_shot
ISSUE-38628,Specify supported Arrow Model Field data types,1,1,Yes,74927aad26c934a7,mistral:7b,0,2026-06-17T20:00:54.838001,project_02,title_only,incompleteness,zero_shot
ISSUE-38181,Review and revise the APS documentation,0,1,Yes,2139257b777af714,mistral:7b,0,2026-06-17T20:00:55.344101,project_02,title_only,incompleteness,zero_shot
ISSUE-39239,"Android: TableView: SearchBar not working if """"filterAttribute"""" is an arbitrary property",0,1,Yes,ca8be843bd4a1ed9,mistral:7b,0,2026-06-17T20:00:55.846662,project_02,title_only,incompleteness,zero_shot
ISSUE-38938,Docs: Ti.UI.View.add supports an array of views as well as single Ti.Ui.View,0,0,No,f01b3583784ac2de,mistral:7b,0,2026-06-17T20:00:56.347723,project_02,title_only,incompleteness,zero_shot
ISSUE-40941,APIDoc: remove period from platform list,0,0,No,7e5adbb7fced6350,mistral:7b,0,2026-06-17T20:00:56.846290,project_02,title_only,incompleteness,zero_shot
ISSUE-40635,APIDoc: Update docs for medium-priority iPad modules,0,0,No,7b094ea429e2c21d,mistral:7b,0,2026-06-17T20:00:57.342121,project_02,title_only,incompleteness,zero_shot
ISSUE-39299,Updates guides to show how to localise NSLocationAlwaysUsageDescription,0,0,No,e23d9300aa6a2f26,mistral:7b,0,2026-06-17T20:00:57.842135,project_02,title_only,incompleteness,zero_shot
ISSUE-40438,Poor grammar in Ti.UI.TabGroup,1,1,Yes,290183b546aeb2fc,mistral:7b,0,2026-06-17T20:00:58.350592,project_02,title_only,incompleteness,zero_shot
ISSUE-38738,There is an error in Positioning and dimensions of elements section of the documentation,0,1,Yes,3c9a88accc132d10,mistral:7b,0,2026-06-17T20:00:58.841673,project_02,title_only,incompleteness,zero_shot
