issue_id,title,ground_truth,prediction,raw_response,prompt_hash,model_version,temperature,timestamp_utc,project,input_mode,task,strategy
ISSUE-2087,CLI error when not specifying module type in module commands is cryptic an not helpful,0,0,No,1a0ace3d45cb89c4,llama3.1:8b,0,2026-06-16T23:01:41.098868,project_01,title_desc,ambiguity,zero_shot
ISSUE-2338,Error in correlation strategy in aggregator.xml,0,0,No,bdd9f1d2540052b6,llama3.1:8b,0,2026-06-16T23:01:41.660136,project_01,title_desc,ambiguity,zero_shot
ISSUE-0972,deploy-working-dir is set to to root directory when container is started as service,0,0,No,423d59f91db4dc4b,llama3.1:8b,0,2026-06-16T23:01:42.454644,project_01,title_desc,ambiguity,zero_shot
ISSUE-2665,Spike to model the cluster nodes.,0,0,No,7ed041d2deb06675,llama3.1:8b,0,2026-06-16T23:01:43.090860,project_01,title_desc,ambiguity,zero_shot
ISSUE-1414,Rename metrics repositories setValue(x,1,0,No,b80da5955d0c133f,llama3.1:8b,0,2026-06-16T23:01:43.651477,project_01,title_desc,ambiguity,zero_shot
ISSUE-0394,Tasks Launcher should be able to record status to a central repository,0,0,No,9061dbb294f3716c,llama3.1:8b,0,2026-06-16T23:01:44.201728,project_01,title_desc,ambiguity,zero_shot
ISSUE-2850,Richer module options metadata,0,0,No,efd129aa8ed82f6d,llama3.1:8b,0,2026-06-16T23:01:44.835240,project_01,title_desc,ambiguity,zero_shot
ISSUE-0549,Port FTP as s-c-s source module,0,1,Yes,4104a7c8c2abb051,llama3.1:8b,0,2026-06-16T23:01:45.409630,project_01,title_desc,ambiguity,zero_shot
ISSUE-2979,Change url to access UI from browser,0,0,No,3d7625a93bf3c8e4,llama3.1:8b,0,2026-06-16T23:01:45.941174,project_01,title_desc,ambiguity,zero_shot
ISSUE-0714,Add Logging to ZooKeeperContainerRepository,0,0,No,d90b9caf92f8fd56,llama3.1:8b,0,2026-06-16T23:01:46.490333,project_01,title_desc,ambiguity,zero_shot
ISSUE-1907,DefaultContainerMatcher - Improve Logging and mention affected Module,0,0,No,3949aaea053b14b4,llama3.1:8b,0,2026-06-16T23:01:47.077146,project_01,title_desc,ambiguity,zero_shot
ISSUE-1146,http-client Improvement (userDefinedHeaderPrefix),0,0,No,a7dc6c5e70b04f9d,llama3.1:8b,0,2026-06-16T23:01:47.637066,project_01,title_desc,ambiguity,zero_shot
ISSUE-3079,Deploy a new job module *after* XD-singlenode container has started.,0,1,Yes,fd76acfad9bc3a45,llama3.1:8b,0,2026-06-16T23:01:48.194421,project_01,title_desc,ambiguity,zero_shot
ISSUE-0367,Spike: Study scope to add support for hdfs commands in shell,0,0,No,f991f66c738511e2,llama3.1:8b,0,2026-06-16T23:01:48.765189,project_01,title_desc,ambiguity,zero_shot
ISSUE-3374,Documentation for AggregateCounter,0,0,No,bddb3d1877f48b40,llama3.1:8b,0,2026-06-16T23:01:49.306477,project_01,title_desc,ambiguity,zero_shot
ISSUE-0460,First deploy/launch of Pig job that includes yarn-site.xml file fails,0,0,No,98cef361200599bb,llama3.1:8b,0,2026-06-16T23:01:49.851300,project_01,title_desc,ambiguity,zero_shot
ISSUE-0456,Refactor Task parsing,0,0,No,2b75836b00feb493,llama3.1:8b,0,2026-06-16T23:01:50.395064,project_01,title_desc,ambiguity,zero_shot
