issue_id,title,ground_truth,prediction,raw_response,prompt_hash,model_version,temperature,timestamp_utc,project,input_mode,task,strategy
ISSUE-38493,Review API Runtime Services Documentation,0,0,No,f4baac8675a60b18,mistral:7b,0,2026-06-17T20:09:45.981266,project_02,title_desc,incompleteness,zero_shot
ISSUE-38975,Tutorial Series: Customize for Android,0,1,Yes,264562bbdc2d0945,mistral:7b,0,2026-06-17T20:09:46.377734,project_02,title_desc,incompleteness,zero_shot
ISSUE-40855,APIDoc: Window.modalStyle and modalTransitionStyle properties are undocumented,0,1,Yes,c0af63d497bfa498,mistral:7b,0,2026-06-17T20:09:46.858353,project_02,title_desc,incompleteness,zero_shot
ISSUE-40336,APIDoc: Check all deprecated API members for appropriate message,0,1,Yes,09725c49e9bd66d9,mistral:7b,0,2026-06-17T20:09:47.390540,project_02,title_desc,incompleteness,zero_shot
ISSUE-38324,Create Appcelerator Studio Guide page,0,1,Yes,92eb0eef15d0aaab,mistral:7b,0,2026-06-17T20:09:47.885826,project_02,title_desc,incompleteness,zero_shot
ISSUE-39589,Update Android Menu docs re: overflow (...) menu on devices with hardware menu button,0,1,Yes,90e5841eace9be9c,mistral:7b,0,2026-06-17T20:09:48.409301,project_02,title_desc,incompleteness,zero_shot
ISSUE-38275,Rename AMPLIFY Appcelerator Services to Axway Mobile Analytics,0,1,Yes,9f224726d35836e0,mistral:7b,0,2026-06-17T20:09:48.884467,project_02,title_desc,incompleteness,zero_shot
ISSUE-38193,Remove very outdated Ti.Map documentation,0,0,No,10ed4a8052028b5c,mistral:7b,0,2026-06-17T20:09:49.382687,project_02,title_desc,incompleteness,zero_shot
ISSUE-40376,Docs: Code highlighting incorrectly applied to some example blocks,0,1,Yes,8512f473e71069c5,mistral:7b,0,2026-06-17T20:09:49.884632,project_02,title_desc,incompleteness,zero_shot
ISSUE-39190,Fix link to View.touchEnabled from View.enabled,0,0,No,47181a7815fe8f69,mistral:7b,0,2026-06-17T20:09:50.373015,project_02,title_desc,incompleteness,zero_shot
ISSUE-38138,Create and publish release note for SDK 7.3.1.RC,0,1,Yes,fbee70817249da9b,mistral:7b,0,2026-06-17T20:09:50.859190,project_02,title_desc,incompleteness,zero_shot
ISSUE-38570,Create and publish release note for Arrow 1.10.0,0,1,Yes,364001c88d0f93bb,mistral:7b,0,2026-06-17T20:09:51.370482,project_02,title_desc,incompleteness,zero_shot
ISSUE-39606,APIDoc: Geolocation documentation - potential error add remove event listener,0,1,Yes,3bc4c1711a4a04cc,mistral:7b,0,2026-06-17T20:09:51.920864,project_02,title_desc,incompleteness,zero_shot
ISSUE-40579,Doc BUG: Titanium.UI.iPad.Popover explicitly requires a View as child but in fact requires a Window,0,0,No,d340a6b119f740e0,mistral:7b,0,2026-06-17T20:09:52.416916,project_02,title_desc,incompleteness,zero_shot
ISSUE-40465,APIDOC: Ti.UI.TableViewSection.borderRadius does not work,0,1,Yes,37ce1d7c935d093f,mistral:7b,0,2026-06-17T20:09:52.906935,project_02,title_desc,incompleteness,zero_shot
ISSUE-38497,New documentation page needed for API Builder -> Swagger Specifications,0,1,Yes,8b2265726d4a6339,mistral:7b,0,2026-06-17T20:09:53.384099,project_02,title_desc,incompleteness,zero_shot
ISSUE-39864,ACS User - need to be able to delete user without logging in as that user,0,1,Yes,1175ff6ec4f7cccd,mistral:7b,0,2026-06-17T20:09:53.908558,project_02,title_desc,incompleteness,zero_shot
ISSUE-38249,Create and publish release note for API Builder 3.0.0,0,1,Yes,a7555fff47621d6f,mistral:7b,0,2026-06-17T20:09:54.378100,project_02,title_desc,incompleteness,zero_shot
ISSUE-38348,Improve the doc navigation,0,0,No,5a577b2e5eccb927,mistral:7b,0,2026-06-17T20:09:54.840480,project_02,title_desc,incompleteness,zero_shot
ISSUE-38714,incorrect link,0,1,Yes,fda8ffa0018dfca6,mistral:7b,0,2026-06-17T20:09:55.390659,project_02,title_desc,incompleteness,zero_shot
ISSUE-38876,404 page is (unformatted) landing page,0,1,Yes,db213dd31ef3710e,mistral:7b,0,2026-06-17T20:09:55.884643,project_02,title_desc,incompleteness,zero_shot
ISSUE-38300,Add a migration banner to all pages in the guides2 space,0,1,Yes,ee0886704f7e56d6,mistral:7b,0,2026-06-17T20:09:56.403665,project_02,title_desc,incompleteness,zero_shot
ISSUE-38460,web site link doesn't exist,0,1,Yes,7c4f2d3666698da5,mistral:7b,0,2026-06-17T20:09:56.883477,project_02,title_desc,incompleteness,zero_shot
ISSUE-40544,Android: documentation about how to handle Android app first run is missing,0,0,No,02672a1d8ede8131,mistral:7b,0,2026-06-17T20:09:57.422114,project_02,title_desc,incompleteness,zero_shot
ISSUE-39279,iOS: createEmailDialog method doesn't work on some devices,0,1,Yes,079d0f0c176289d1,mistral:7b,0,2026-06-17T20:09:57.899710,project_02,title_desc,incompleteness,zero_shot
ISSUE-38926,Update iOS Interactive Notifications guide for Apple Watch,0,0,No,de819c35aa27c9d7,mistral:7b,0,2026-06-17T20:09:58.392282,project_02,title_desc,incompleteness,zero_shot
