issue_id,title,ground_truth,prediction,raw_response,prompt_hash,model_version,temperature,timestamp_utc,project,input_mode,task,strategy
ISSUE-251590,Test with latest versions of Boost,1,1,Yes,f0ba9aee21e6e7e9,qwen2.5:14b,0,2026-06-17T17:40:54.873187,project_04,title_only,incompleteness,zero_shot
ISSUE-252462,Determine C++ Driver version from examining the headers,0,1,Yes,a0debe32da5ceed6,qwen2.5:14b,0,2026-06-17T17:40:55.907193,project_04,title_only,incompleteness,zero_shot
ISSUE-250680,Use cmake,1,1,Yes,3a66a7e70555680d,qwen2.5:14b,0,2026-06-17T17:40:56.789017,project_04,title_only,incompleteness,zero_shot
ISSUE-252307,Include regex elements in BSONArrayBuilder,0,1,Yes,a2cc3e0ee749e04d,qwen2.5:14b,0,2026-06-17T17:40:57.841479,project_04,title_only,incompleteness,zero_shot
ISSUE-250777,Defer checking if a deployment supports sessions until the session's first operation,0,0,No,21313d157a33dad3,qwen2.5:14b,0,2026-06-17T17:40:58.794024,project_04,title_only,incompleteness,zero_shot
ISSUE-252448,Static archive fails to force inclusion of global initializers,0,1,Yes,e7a41b27935e6d0a,qwen2.5:14b,0,2026-06-17T17:40:59.840552,project_04,title_only,incompleteness,zero_shot
ISSUE-251874,Add ordered option to insert_many,1,1,Yes,4f72f0320cabbf46,qwen2.5:14b,0,2026-06-17T17:41:00.869237,project_04,title_only,incompleteness,zero_shot
ISSUE-251692,Bug When Trying to 'Make',1,1,Yes,9f12db11760d8ac4,qwen2.5:14b,0,2026-06-17T17:41:01.854969,project_04,title_only,incompleteness,zero_shot
ISSUE-251622,Can't construct operation_exception without a server error,0,1,Yes,d11b32c68f582da6,qwen2.5:14b,0,2026-06-17T17:41:02.837945,project_04,title_only,incompleteness,zero_shot
ISSUE-252149,Polyfill stdx::string_view,1,1,Yes,fffdb447ed0f1f9c,qwen2.5:14b,0,2026-06-17T17:41:03.757012,project_04,title_only,incompleteness,zero_shot
ISSUE-252321,Files dependent on make_shared should include make_shared.hpp,0,1,Yes,74d5b333082318d6,qwen2.5:14b,0,2026-06-17T17:41:04.831896,project_04,title_only,incompleteness,zero_shot
ISSUE-252438,Update travis configuration to run the client examples,0,1,Yes,e441739648db412a,qwen2.5:14b,0,2026-06-17T17:41:05.858364,project_04,title_only,incompleteness,zero_shot
ISSUE-251649,Add support for MongoDB 3.4 to the legacy C++ driver.,0,0,No,e0d92149cc6f3f4d,qwen2.5:14b,0,2026-06-17T17:41:06.811112,project_04,title_only,incompleteness,zero_shot
ISSUE-251049,Resync SDAM tests,1,1,Yes,08feca777bc80c46,qwen2.5:14b,0,2026-06-17T17:41:07.842790,project_04,title_only,incompleteness,zero_shot
ISSUE-252416,rotatable_file_writer_test does not compile in C++11 mode with libc++,0,0,No,820a23d5fb61f4c3,qwen2.5:14b,0,2026-06-17T17:41:08.801176,project_04,title_only,incompleteness,zero_shot
ISSUE-251115,Implement SASLPrep,1,1,Yes,df15fabddf6c2d10,qwen2.5:14b,0,2026-06-17T17:41:09.979393,project_04,title_only,incompleteness,zero_shot
ISSUE-250886,Investigate alternatives to Catch2,1,1,Yes,f39af8af571575a4,qwen2.5:14b,0,2026-06-17T17:41:10.858081,project_04,title_only,incompleteness,zero_shot
ISSUE-251990,missing bsoncxx::document::view::empty,1,1,Yes,a92b86685f44f503,qwen2.5:14b,0,2026-06-17T17:41:12.083324,project_04,title_only,incompleteness,zero_shot
ISSUE-252201,Create buildvariant for Ubuntu 12.04,0,1,Yes,63281ab399947872,qwen2.5:14b,0,2026-06-17T17:41:12.836488,project_04,title_only,incompleteness,zero_shot
ISSUE-251862,Backport server r3.0.7..r3.0.8 changes,0,1,Yes,912fff7729184f96,qwen2.5:14b,0,2026-06-17T17:41:13.868925,project_04,title_only,incompleteness,zero_shot
ISSUE-251902,Make special commands (inprog,1,1,Yes,769cbf3fdfecd6ad,qwen2.5:14b,0,2026-06-17T17:41:14.858711,project_04,title_only,incompleteness,zero_shot
ISSUE-250935,Create C++17 variants,1,1,Yes,3a67981565b7d64a,qwen2.5:14b,0,2026-06-17T17:41:15.867975,project_04,title_only,incompleteness,zero_shot
ISSUE-251484,collection::distinct return should allow iteration over results,0,1,Yes,f2c02af0566c9410,qwen2.5:14b,0,2026-06-17T17:41:16.863012,project_04,title_only,incompleteness,zero_shot
ISSUE-251767,Fix TODO comments about linking to documentation when available,0,1,Yes,abe251318ab9db9b,qwen2.5:14b,0,2026-06-17T17:41:17.832845,project_04,title_only,incompleteness,zero_shot
ISSUE-252082,Reparent OperationException below DBException,0,1,Yes,6f274058b30daace,qwen2.5:14b,0,2026-06-17T17:41:18.873203,project_04,title_only,incompleteness,zero_shot
ISSUE-251826,Stream builder error for invalid context is unfriendly,0,1,Yes,9e17a182191ec6e6,qwen2.5:14b,0,2026-06-17T17:41:19.861489,project_04,title_only,incompleteness,zero_shot
ISSUE-252418,Remove dependency on boost program_options,0,1,Yes,cd87e6f890765b65,qwen2.5:14b,0,2026-06-17T17:41:20.857927,project_04,title_only,incompleteness,zero_shot
ISSUE-250681,WINDOWS | Release build,1,1,Yes,459ba313b0d9adc6,qwen2.5:14b,0,2026-06-17T17:41:21.857456,project_04,title_only,incompleteness,zero_shot
ISSUE-251940,auto_reconnect using ConnectionString API,1,1,Yes,0748923d1dfedffd,qwen2.5:14b,0,2026-06-17T17:41:22.900561,project_04,title_only,incompleteness,zero_shot
ISSUE-252206,libmongoclient.so not generated when compling lateset c++ driver,0,1,Yes,dfd3a6f596f758f8,qwen2.5:14b,0,2026-06-17T17:41:23.846895,project_04,title_only,incompleteness,zero_shot
ISSUE-252474,Enforce /MD with Windows C++ DLL driver,0,1,Yes,00a9c852861541d2,qwen2.5:14b,0,2026-06-17T17:41:24.870270,project_04,title_only,incompleteness,zero_shot
ISSUE-251467,Mutator methods which return non-void should document their return value,0,0,No,0c2c40a4652b47a0,qwen2.5:14b,0,2026-06-17T17:41:25.858480,project_04,title_only,incompleteness,zero_shot
ISSUE-250928,Test with gcc 4.9?,1,1,Yes,f676c4a55b25f520,qwen2.5:14b,0,2026-06-17T17:41:26.873062,project_04,title_only,incompleteness,zero_shot
ISSUE-250906,Regenerate test certificates with SHA256 signatures,0,1,Yes,307948a23d077357,qwen2.5:14b,0,2026-06-17T17:41:27.862384,project_04,title_only,incompleteness,zero_shot
ISSUE-251809,Allow configuration of SSL independently of the C driver,0,0,No,211762c308420d91,qwen2.5:14b,0,2026-06-17T17:41:28.858237,project_04,title_only,incompleteness,zero_shot
ISSUE-251443,Update release documentation to discuss moving releases/stable branch,0,0,No,5fab1db772f55b5b,qwen2.5:14b,0,2026-06-17T17:41:29.880644,project_04,title_only,incompleteness,zero_shot
ISSUE-252069,Use of TARGET_OBJECTS in CMake build produces incorrect shared library,0,1,Yes,b623bcaac7fb0487,qwen2.5:14b,0,2026-06-17T17:41:30.861800,project_04,title_only,incompleteness,zero_shot
ISSUE-251960,clang-format the legacy driver,1,1,Yes,fde6951dd7f84d6a,qwen2.5:14b,0,2026-06-17T17:41:31.866790,project_04,title_only,incompleteness,zero_shot
ISSUE-252104,"improve handling of """"node is recovering"""" errors",0,1,Yes,cd90528972f6e105,qwen2.5:14b,0,2026-06-17T17:41:32.860095,project_04,title_only,incompleteness,zero_shot
ISSUE-250562,BSON UDL for from_json,1,1,Yes,0c0928442e32c22c,qwen2.5:14b,0,2026-06-17T17:41:33.853823,project_04,title_only,incompleteness,zero_shot
ISSUE-251355,Move mongocxx::libbson code somewhere where bsoncxx can access it,0,1,Yes,fa5512bed5091047,qwen2.5:14b,0,2026-06-17T17:41:34.846514,project_04,title_only,incompleteness,zero_shot
ISSUE-251652,Compile error with clang/libc++ on Linux due to ambiguous call to 'append' member function,0,0,No,b5f42d2c1c086dd3,qwen2.5:14b,0,2026-06-17T17:41:35.871384,project_04,title_only,incompleteness,zero_shot
ISSUE-251739,Backport server r3.0.8..r3.0.12 changes,1,0,No,72518be985848de9,qwen2.5:14b,0,2026-06-17T17:41:36.862318,project_04,title_only,incompleteness,zero_shot
ISSUE-250612,"Windows tasks failing with """"insufficient disk space"""" on Evergreen",0,0,No,a16d4be16d330158,qwen2.5:14b,0,2026-06-17T17:41:37.868807,project_04,title_only,incompleteness,zero_shot
ISSUE-252465,libmongoclient should not link db/commands.cpp,0,1,Yes,5b6cb7f77580d4c9,qwen2.5:14b,0,2026-06-17T17:41:38.848830,project_04,title_only,incompleteness,zero_shot
ISSUE-251807,Add VS2015 builders for legacy C++ driver,0,1,Yes,6d97f7c6bfec689a,qwen2.5:14b,0,2026-06-17T17:41:39.838333,project_04,title_only,incompleteness,zero_shot
ISSUE-250752,Update FLE documentation for community version demonstrating explicit encryption/decryption,0,0,No,a2b5eafeced25d3c,qwen2.5:14b,0,2026-06-17T17:41:40.859260,project_04,title_only,incompleteness,zero_shot
ISSUE-251483,Create C++ driver benchmark suite,0,1,Yes,070743c641b0375e,qwen2.5:14b,0,2026-06-17T17:41:41.855320,project_04,title_only,incompleteness,zero_shot
ISSUE-250688,Ubuntu 16.04's compressed debug symbols confuse Valgrind,0,0,No,0a173f6ec3d696ca,qwen2.5:14b,0,2026-06-17T17:41:42.847662,project_04,title_only,incompleteness,zero_shot
ISSUE-250556,Remove unused and add missing includes,1,1,Yes,64cd7d305414fc78,qwen2.5:14b,0,2026-06-17T17:41:43.858193,project_04,title_only,incompleteness,zero_shot
ISSUE-251543,Audit all libmongoc and libbson calls for error handling,0,1,Yes,b502b303dfc452ad,qwen2.5:14b,0,2026-06-17T17:41:44.870377,project_04,title_only,incompleteness,zero_shot
ISSUE-250593,Update Travis tests from Ubuntu 14.04 and test against latest server,0,1,Yes,6f6eb793da63b36a,qwen2.5:14b,0,2026-06-17T17:41:45.834700,project_04,title_only,incompleteness,zero_shot
ISSUE-250638,Resync SDAM error handling spec tests,0,1,Yes,eef67176315e57ea,qwen2.5:14b,0,2026-06-17T17:41:46.941360,project_04,title_only,incompleteness,zero_shot
ISSUE-251626,Misunderstanding about bsoncxx::document::element,1,1,Yes,11d7ab922de6cc02,qwen2.5:14b,0,2026-06-17T17:41:47.823217,project_04,title_only,incompleteness,zero_shot
ISSUE-252399,on linux systems it is customary to use sonames when creating shared libraries,0,1,Yes,0975a8fa59535bdf,qwen2.5:14b,0,2026-06-17T17:41:48.791235,project_04,title_only,incompleteness,zero_shot
ISSUE-252510,Default Windows builds of the C++ client driver to use /MD,0,0,No,e94c794290b1311a,qwen2.5:14b,0,2026-06-17T17:41:49.871617,project_04,title_only,incompleteness,zero_shot
ISSUE-251377,Implement unit tests for GridFS options and result classes,0,0,No,9877331c2ae61817,qwen2.5:14b,0,2026-06-17T17:41:50.840575,project_04,title_only,incompleteness,zero_shot
ISSUE-252499,ScopedDbConnection not being returned to the pool,0,1,Yes,b90ee58ed015f7df,qwen2.5:14b,0,2026-06-17T17:41:51.857755,project_04,title_only,incompleteness,zero_shot
ISSUE-252183,DBClientWithCommands::reIndex should not use getSystemIndexesCollection,0,0,No,fd53343b8e579ddc,qwen2.5:14b,0,2026-06-17T17:41:52.852272,project_04,title_only,incompleteness,zero_shot
ISSUE-251644,C++11 driver 3.0.1 so much slower than legacy C++ driver 2.6.11?,0,1,Yes,538f413180eb3140,qwen2.5:14b,0,2026-06-17T17:41:53.808979,project_04,title_only,incompleteness,zero_shot
ISSUE-251455,Provide more user-friendly constructor or factory function for builder::core,0,1,Yes,96d111ef813c6c4a,qwen2.5:14b,0,2026-06-17T17:41:54.858786,project_04,title_only,incompleteness,zero_shot
ISSUE-251387,Configurable connect timeout in C++ driver. Currently fixed at 5 secs.,0,0,No,f58972b597c630e5,qwen2.5:14b,0,2026-06-17T17:41:55.860111,project_04,title_only,incompleteness,zero_shot
ISSUE-251857,string_view.data() is unsafe,1,1,Yes,70c0accd10bba6f5,qwen2.5:14b,0,2026-06-17T17:41:56.920441,project_04,title_only,incompleteness,zero_shot
ISSUE-251284,Add RHEL 7 Evergreen builder,1,1,Yes,b6305ceb94993a09,qwen2.5:14b,0,2026-06-17T17:41:57.864722,project_04,title_only,incompleteness,zero_shot
ISSUE-250698,Properly deprecate create_collection methods,0,1,Yes,7f26bcfc3f661ff6,qwen2.5:14b,0,2026-06-17T17:41:58.876851,project_04,title_only,incompleteness,zero_shot
ISSUE-250784,Allow authentication to all server types except arbiters,0,1,Yes,19dd731699a8bb90,qwen2.5:14b,0,2026-06-17T17:41:59.838210,project_04,title_only,incompleteness,zero_shot
ISSUE-252291,MongoDB exception 17234,1,1,Yes,a6770241fd4fd2ff,qwen2.5:14b,0,2026-06-17T17:42:00.824915,project_04,title_only,incompleteness,zero_shot
ISSUE-250878,bsoncxx:to_json causes double value to truncate,0,1,Yes,5c98a93e03604e08,qwen2.5:14b,0,2026-06-17T17:42:01.871022,project_04,title_only,incompleteness,zero_shot
ISSUE-252519,Apply endian conversions where necessary in the C++ driver bson library,0,1,Yes,72db284fd6f47d10,qwen2.5:14b,0,2026-06-17T17:42:02.857614,project_04,title_only,incompleteness,zero_shot
ISSUE-250634,Use sort when verifying contents of outcome collections,0,1,Yes,269da31663c5b935,qwen2.5:14b,0,2026-06-17T17:42:03.822982,project_04,title_only,incompleteness,zero_shot
ISSUE-251786,coll.drop() throws if collection doesn't exist,0,0,No,da64fae3faccea2b,qwen2.5:14b,0,2026-06-17T17:42:04.848468,project_04,title_only,incompleteness,zero_shot
ISSUE-251038,Provide Transactions example for Docs,1,1,Yes,5b5547b2ddbf6f55,qwen2.5:14b,0,2026-06-17T17:42:05.864621,project_04,title_only,incompleteness,zero_shot
ISSUE-250701,spec tests that run count should not use estimated count helper,0,1,Yes,dc2cfb9f8b5df23e,qwen2.5:14b,0,2026-06-17T17:42:06.860421,project_04,title_only,incompleteness,zero_shot
ISSUE-250622,Remove the compatibility matrixes from documentation,0,0,No,aef92d06de11bd72,qwen2.5:14b,0,2026-06-17T17:42:07.884784,project_04,title_only,incompleteness,zero_shot
ISSUE-251804,Add ability to use document::view with stream builder,0,1,Yes,251699458d4640c7,qwen2.5:14b,0,2026-06-17T17:42:08.873347,project_04,title_only,incompleteness,zero_shot
ISSUE-252468,10gen repo for ubuntu does not provide mongodb-10gen-devel package,0,0,No,87fc9e34b8e9b7c4,qwen2.5:14b,0,2026-06-17T17:42:09.826989,project_04,title_only,incompleteness,zero_shot
ISSUE-251978,Unable to compile new CXX driver,0,1,Yes,e2dda6731a4461a6,qwen2.5:14b,0,2026-06-17T17:42:10.858795,project_04,title_only,incompleteness,zero_shot
ISSUE-252023,Backport server r3.0.0-rc6..r3.0.1 changes,0,0,No,1ad0b701aabb315c,qwen2.5:14b,0,2026-06-17T17:42:11.814364,project_04,title_only,incompleteness,zero_shot
ISSUE-252444,OID::init and mongo::jsTime unresolved in shared client (.so),0,1,Yes,aa49a7773db316bc,qwen2.5:14b,0,2026-06-17T17:42:12.867713,project_04,title_only,incompleteness,zero_shot
ISSUE-250789,mongocxx::uri call works with c char* parameter but not with c++ string parameter,0,1,Yes,3684d6b6b6fe1e5a,qwen2.5:14b,0,2026-06-17T17:42:13.861404,project_04,title_only,incompleteness,zero_shot
