issue_id,title,ground_truth,prediction,raw_response,prompt_hash,model_version,temperature,timestamp_utc,project,input_mode,task,strategy
ISSUE-251590,Test with latest versions of Boost,0,1,Yes,432fbde9468a00c3,mistral:7b,0,2026-06-17T20:32:40.325300,project_04,title_only,ambiguity,zero_shot
ISSUE-252462,Determine C++ Driver version from examining the headers,0,1,Yes,b445f426dee36144,mistral:7b,0,2026-06-17T20:32:40.762738,project_04,title_only,ambiguity,zero_shot
ISSUE-250680,Use cmake,0,1,Yes,3e02608e81b1286b,mistral:7b,0,2026-06-17T20:32:41.246285,project_04,title_only,ambiguity,zero_shot
ISSUE-252307,Include regex elements in BSONArrayBuilder,0,1,Yes,b7feef4dbd5a7661,mistral:7b,0,2026-06-17T20:32:41.763393,project_04,title_only,ambiguity,zero_shot
ISSUE-250777,Defer checking if a deployment supports sessions until the session's first operation,0,1,Yes,b5ccd96f53be3ef1,mistral:7b,0,2026-06-17T20:32:42.264427,project_04,title_only,ambiguity,zero_shot
ISSUE-252448,Static archive fails to force inclusion of global initializers,0,1,Yes,5faf8942e7a41753,mistral:7b,0,2026-06-17T20:32:42.764655,project_04,title_only,ambiguity,zero_shot
ISSUE-251874,Add ordered option to insert_many,0,1,Yes,affe8da82c6a9f86,mistral:7b,0,2026-06-17T20:32:43.264958,project_04,title_only,ambiguity,zero_shot
ISSUE-251692,Bug When Trying to 'Make',1,1,Yes,2171b56c4f5bb4d9,mistral:7b,0,2026-06-17T20:32:43.780897,project_04,title_only,ambiguity,zero_shot
ISSUE-251622,Can't construct operation_exception without a server error,0,1,Yes,0298b40c9f6ff830,mistral:7b,0,2026-06-17T20:32:44.278952,project_04,title_only,ambiguity,zero_shot
ISSUE-252149,Polyfill stdx::string_view,0,1,Yes,31ee8d17d7334db5,mistral:7b,0,2026-06-17T20:32:44.764619,project_04,title_only,ambiguity,zero_shot
ISSUE-252321,Files dependent on make_shared should include make_shared.hpp,0,1,Yes,838de2b13c3f6c65,mistral:7b,0,2026-06-17T20:32:45.280958,project_04,title_only,ambiguity,zero_shot
ISSUE-252438,Update travis configuration to run the client examples,0,1,Yes,678c0790219dbbb6,mistral:7b,0,2026-06-17T20:32:45.763814,project_04,title_only,ambiguity,zero_shot
ISSUE-251649,Add support for MongoDB 3.4 to the legacy C++ driver.,0,0,No,0efe41b279850923,mistral:7b,0,2026-06-17T20:32:46.282068,project_04,title_only,ambiguity,zero_shot
ISSUE-251049,Resync SDAM tests,1,1,Yes,f1fb3240be3d1aca,mistral:7b,0,2026-06-17T20:32:46.779305,project_04,title_only,ambiguity,zero_shot
ISSUE-252416,rotatable_file_writer_test does not compile in C++11 mode with libc++,0,1,Yes,1833f3f66e8d9a26,mistral:7b,0,2026-06-17T20:32:47.266741,project_04,title_only,ambiguity,zero_shot
ISSUE-251115,Implement SASLPrep,0,1,Yes,215d8e5145fc6952,mistral:7b,0,2026-06-17T20:32:47.760748,project_04,title_only,ambiguity,zero_shot
ISSUE-250886,Investigate alternatives to Catch2,1,1,Yes,cd99eabe1c549409,mistral:7b,0,2026-06-17T20:32:48.261220,project_04,title_only,ambiguity,zero_shot
ISSUE-251990,missing bsoncxx::document::view::empty,0,1,Yes,30518799861d8f95,mistral:7b,0,2026-06-17T20:32:48.766773,project_04,title_only,ambiguity,zero_shot
ISSUE-252201,Create buildvariant for Ubuntu 12.04,0,1,Yes,1261cd8ee8a43457,mistral:7b,0,2026-06-17T20:32:49.279964,project_04,title_only,ambiguity,zero_shot
ISSUE-251862,Backport server r3.0.7..r3.0.8 changes,0,1,Yes,011adb04554b5a25,mistral:7b,0,2026-06-17T20:32:49.784407,project_04,title_only,ambiguity,zero_shot
ISSUE-251902,Make special commands (inprog,1,1,Yes,9e782dfffd8ac2e3,mistral:7b,0,2026-06-17T20:32:50.262170,project_04,title_only,ambiguity,zero_shot
ISSUE-250935,Create C++17 variants,0,1,Yes,2de9646168f36c78,mistral:7b,0,2026-06-17T20:32:50.762059,project_04,title_only,ambiguity,zero_shot
ISSUE-251484,collection::distinct return should allow iteration over results,0,1,Yes,ecab5a185b91ca36,mistral:7b,0,2026-06-17T20:32:51.261648,project_04,title_only,ambiguity,zero_shot
ISSUE-251767,Fix TODO comments about linking to documentation when available,0,1,Yes,447560b3693eda08,mistral:7b,0,2026-06-17T20:32:51.779780,project_04,title_only,ambiguity,zero_shot
ISSUE-252082,Reparent OperationException below DBException,0,1,Yes,e607051d3bfef22f,mistral:7b,0,2026-06-17T20:32:52.279443,project_04,title_only,ambiguity,zero_shot
ISSUE-251826,Stream builder error for invalid context is unfriendly,0,1,Yes,f2882bca1d9c00d4,mistral:7b,0,2026-06-17T20:32:52.764446,project_04,title_only,ambiguity,zero_shot
ISSUE-252418,Remove dependency on boost program_options,0,0,No,1c93a8e593e2b323,mistral:7b,0,2026-06-17T20:32:53.250201,project_04,title_only,ambiguity,zero_shot
ISSUE-250681,WINDOWS | Release build,0,1,Yes,2449ccdd4eaa0614,mistral:7b,0,2026-06-17T20:32:53.763640,project_04,title_only,ambiguity,zero_shot
ISSUE-251940,auto_reconnect using ConnectionString API,0,1,Yes,17fe8f7cb1d495e8,mistral:7b,0,2026-06-17T20:32:54.281452,project_04,title_only,ambiguity,zero_shot
ISSUE-252206,libmongoclient.so not generated when compling lateset c++ driver,0,1,Yes,6ed1815baccba695,mistral:7b,0,2026-06-17T20:32:54.765975,project_04,title_only,ambiguity,zero_shot
ISSUE-252474,Enforce /MD with Windows C++ DLL driver,0,1,Yes,faa5c0f0aa08ae11,mistral:7b,0,2026-06-17T20:32:55.281068,project_04,title_only,ambiguity,zero_shot
ISSUE-251467,Mutator methods which return non-void should document their return value,0,0,No,dbb970624bfdd201,mistral:7b,0,2026-06-17T20:32:55.767688,project_04,title_only,ambiguity,zero_shot
ISSUE-250928,Test with gcc 4.9?,1,1,Yes,1ee959558c11d966,mistral:7b,0,2026-06-17T20:32:56.262551,project_04,title_only,ambiguity,zero_shot
ISSUE-250906,Regenerate test certificates with SHA256 signatures,0,1,Yes,639987c10297144c,mistral:7b,0,2026-06-17T20:32:56.781716,project_04,title_only,ambiguity,zero_shot
