issue_id,title,ground_truth,prediction,raw_response,prompt_hash,model_version,temperature,timestamp_utc,project,input_mode,task,strategy
ISSUE-207056,Build badges in several github repos have stopped working,0,1,"Final Answer: Yes

Reasoning: The issue is missing essential information such as the specific repositories affected, the exact changes needed in the readme.md files, and acceptance criteria for when the issue is considered resolved (e.g., all affected repos have been updated with the new CI URL and build badges for both master and stable branches are working). Additionally, it would be beneficial to know if there are any automated tools or scripts available to assist in updating multiple repositories simultaneously.",7f06373e78886cfd,mistral:7b,0,2026-06-17T20:31:10.458530,project_03,title_desc,incompleteness,few_shot_cot
ISSUE-206571,Indy-sdk integration,0,1,"Final Answer: Yes

Reasoning: The issue is missing essential information such as the specific steps for integration, the expected behavior after integration, and any acceptance criteria or affected components. It would be beneficial to have more details about the current CLI, the environment in which the integration will take place, and what success looks like post-integration.",a909bc2d8106f103,mistral:7b,0,2026-06-17T20:31:11.325715,project_03,title_desc,incompleteness,few_shot_cot
ISSUE-205754,Assist EV QA,0,0,"Final Answer: No

Reasoning: The issue provides clear acceptance criteria, a task description, and even mentions who will be providing instructions and feedback. It also specifies the expected activities (structured QA and exploratory testing). Therefore, it appears to have all essential information needed for understanding and addressing the issue.",ce1bf0c29fab4a20,mistral:7b,0,2026-06-17T20:31:12.206665,project_03,title_desc,incompleteness,few_shot_cot
ISSUE-206786,I should be able to load a .sovrin file from a URL directly into the CLI,0,1,"Final Answer: Yes

Reasoning: The issue description mentions that downloading .sovrin files before opening them in the CLI is awkward and suggests supporting loading files from a URL directly in the CLI. However, it lacks essential information such as the specific format of the .sovrin file, the expected behavior when loading a file from a URL, acceptance criteria, and any necessary environment details or affected components.",10d4c6c2b4f276f2,mistral:7b,0,2026-06-17T20:31:13.447023,project_03,title_desc,incompleteness,few_shot_cot
ISSUE-206184,Configurations should contain certain version of pip,0,1,"Final Answer: Yes

Reasoning: The issue is missing essential information such as the specific version of pip that should be present in configurations for the service to start successfully, and it does not specify the acceptance criteria or environment details.",347d7c2ea0c3b29b,mistral:7b,0,2026-06-17T20:31:14.387330,project_03,title_desc,incompleteness,few_shot_cot
ISSUE-205916,read_ledger tool is not able to read the sovrin plugin ledger,0,1,"Final Answer: Yes

Reasoning: The issue is missing essential information such as the expected vs actual behaviour, steps to reproduce, and affected components. It provides a solution but lacks details about the current error message or symptoms, the environment where this issue occurs, and whether the proposed changes resolve the problem in all scenarios.",b38036ca1cbfad18,mistral:7b,0,2026-06-17T20:31:15.437660,project_03,title_desc,incompleteness,few_shot_cot
ISSUE-206000,AttributeError: 'NoneType' object has no attribute 'request' during load,0,1,"Final Answer: Yes

Reasoning: The issue is missing essential information such as the affected component (in this case, it seems to be related to a pool and load test script), acceptance criteria (what constitutes a successful run of the script), and environment details like the specific version of the software being used or any required dependencies. Additionally, while there are steps to reproduce the issue, more context about the script and its purpose would be helpful for understanding the problem better.",6c03a4d24f4fd10e,mistral:7b,0,2026-06-17T20:31:16.608564,project_03,title_desc,incompleteness,few_shot_cot
ISSUE-207179,Make sure Nodes upgrade eagerly,0,1,"Final Answer: Yes

Reasoning: The issue description provides some context and high-level requirements but lacks essential details such as specific steps to reproduce the current behavior, expected behavior after the upgrade, affected components or modules, acceptance criteria, and any necessary environment details.",4a9314e93b2047e0,mistral:7b,0,2026-06-17T20:31:17.327572,project_03,title_desc,incompleteness,few_shot_cot
ISSUE-207175,Testing: do a lot of concurrent writes and reads to same values,0,0,"Final Answer: No

Reasoning: The issue provides a clear description of the scenario to be tested (concurrent writes and reads to same values), expected outcome (finding bugs), and includes test scripts written in scope of this ticket. It also mentions specific bugs found (INDY-354, INDY-355). Therefore, it appears to be complete.",7e97574a28279095,mistral:7b,0,2026-06-17T20:31:18.502182,project_03,title_desc,incompleteness,few_shot_cot
ISSUE-205301,Responses to client validator info requests very slow on a StagingNet node,0,1,"Final Answer: Yes

Reasoning: The issue lacks essential information such as the specific client requests affected beyond validator-info commands, and it does not provide acceptance criteria or steps to reproduce the slow response behavior consistently. It would be beneficial to have more details about the scope of the problem, potential causes, and any attempts at resolution to determine if this is an incomplete issue.",a488755755308114,mistral:7b,0,2026-06-17T20:31:19.855262,project_03,title_desc,incompleteness,few_shot_cot
ISSUE-206412,Create Entity Relationship Diagram of current ledger objects including primary and secondary keys used to link each object together.,0,1,"Final Answer: Yes

Reasoning: The issue is missing essential information such as the format of the Entity Relationship Diagram (ERD), the specific details about the primary and secondary keys used to link each object together, and any acceptance criteria or environment details.",00d6e278d463226b,mistral:7b,0,2026-06-17T20:31:20.792032,project_03,title_desc,incompleteness,few_shot_cot
ISSUE-206580,Explore: Can doing a ping in the Getting Started Tutorial delete the active wallet,0,1,Final Answer: Yes,93143fc042620e17,mistral:7b,0,2026-06-17T20:31:21.356851,project_03,title_desc,incompleteness,few_shot_cot
ISSUE-206497,Unclear messages appear during reading transactions,0,1,Final Answer: Yes,86290d009f937f17,mistral:7b,0,2026-06-17T20:31:22.298759,project_03,title_desc,incompleteness,few_shot_cot
ISSUE-205266,1.10.0 Release,0,0,"Final Answer: No

Reasoning: The issue provides a clear goal for the release, acceptance criteria, and detailed instructions on what should be included in the build, how it should be produced, and where it should be stored. It also includes steps to prepare documentation and release notes, and details about emailing stakeholders with links to the artifacts and release notes. Therefore, this issue is not INCOMPLETE.",869364c33e6f919e,mistral:7b,0,2026-06-17T20:31:23.664565,project_03,title_desc,incompleteness,few_shot_cot
ISSUE-206591,Incubation: Remove all non-Indy branding from indy-anoncreds repo,0,1,"Final Answer: Yes

Reasoning: The issue is missing essential information such as acceptance criteria (what constitutes ""all non-Indy branding""), the specific steps to implement the change, and any potential impact on functionality or dependencies within the indy-anoncreds repo.",e360d7f5a0b03e00,mistral:7b,0,2026-06-17T20:31:24.479856,project_03,title_desc,incompleteness,few_shot_cot
ISSUE-207055,Make the tests working using pure pytest,0,1,Final Answer: Yes,9159ccfdf4a658d0,mistral:7b,0,2026-06-17T20:31:24.767732,project_03,title_desc,incompleteness,few_shot_cot
ISSUE-206198,The node blacklisted the remaining nodes during network problems,0,0,"Final Answer: No

Reasoning: The issue provides steps to reproduce, actual results, and logs for reference. It also mentions the affected components (nodes in a pool) and environment details (load test with specific parameters). However, it lacks explicit acceptance criteria, which could be inferred from the context but is not explicitly stated. Therefore, while the issue is more complete than some examples provided, it still misses one essential piece of information - acceptance criteria.",07955fdab6e08dd6,mistral:7b,0,2026-06-17T20:31:26.126575,project_03,title_desc,incompleteness,few_shot_cot
ISSUE-205670,Tests using the sdk fail on the master branch,0,1,"Final Answer: Yes

Reasoning: The issue is missing essential information such as the affected components (specifically, which parts of indy-sdk and libindy are causing the problem), expected vs actual behaviour (it's not clear what the expected behaviour should be when using the new txn format), and environment details (the specific version of libsodium that is currently installed and whether a newer version is needed).",2a6fbf18cee9393d,mistral:7b,0,2026-06-17T20:31:27.684693,project_03,title_desc,incompleteness,few_shot_cot
ISSUE-205185,Write a script to upgrade audit ledger for the new state recovered from ledger,0,1,"Final Answer: Yes

Reasoning: The issue is missing essential information such as the specific steps for writing the script, the affected components (Indy networks and audit ledger), the expected behavior after the script runs, and any acceptance criteria or environment details.",4eb9cfb388283b54,mistral:7b,0,2026-06-17T20:31:28.513305,project_03,title_desc,incompleteness,few_shot_cot
ISSUE-205803,Find out maximal pool performance numbers for mixed mode (read and write),0,1,"Final Answer: Yes

Reasoning: The issue lacks essential information such as the specific software or system where this pool performance test should be conducted, the expected performance numbers, and acceptance criteria for what constitutes ""maximal"" performance. Additionally, it does not specify the details of the load script, including the types and quantities of transactions to be included in the mixed mode with FEEs.",9dbf57da7128ba42,mistral:7b,0,2026-06-17T20:31:29.448237,project_03,title_desc,incompleteness,few_shot_cot
ISSUE-206213,Read-ledger without storage copy in case of RocksDB (RocksDB read-only mode support),0,1,"Final Answer: Yes

Reasoning: The issue description provides some context about the difference between RocksDB and LevelDB regarding read-only mode support, but it lacks essential information such as specific steps to reproduce the current behavior, expected behavior after implementing the change, acceptance criteria, or affected components. It would be beneficial to have more details on how the current code behaves when trying to open a storage in read-only mode and what changes are required to support this functionality. Additionally, it is not clear whether there are any specific environment details that need to be considered for this issue.",86bdd33e944a9e0b,mistral:7b,0,2026-06-17T20:31:30.753390,project_03,title_desc,incompleteness,few_shot_cot
ISSUE-205553,Node that does not upgrade spams the config ledger,0,1,"Final Answer: Yes

Reasoning: The issue is missing essential information such as the specific steps to reproduce the problem, expected vs actual behaviour of the indy-node service, and acceptance criteria for a solution. While it provides some context and details about the problem, it does not clearly state what constitutes a successful resolution or how to consistently replicate the issue for testing purposes.",00f8d3fc72d8055a,mistral:7b,0,2026-06-17T20:31:31.738461,project_03,title_desc,incompleteness,few_shot_cot
ISSUE-206193,[QA] Script for filling the ledger doesn't work,0,1,"Final Answer: Yes

Reasoning: The issue is missing essential information such as the expected vs actual behaviour and acceptance criteria. It only provides steps to reproduce and actual results but not what the expected outcome should be or how the script's failure impacts the system, making it incomplete.",e70d85ba7f59b173,mistral:7b,0,2026-06-17T20:31:33.325256,project_03,title_desc,incompleteness,few_shot_cot
ISSUE-207334,Send NYM command is not executed on Shakedown Pool 1,0,0,Final Answer: No,874a8df93ec6da81,mistral:7b,0,2026-06-17T20:31:33.970322,project_03,title_desc,incompleteness,few_shot_cot
ISSUE-206998,roll back default where zmq high water mark = 0,0,0,"Final Answer: No

Reasoning: The issue provides a clear title, describes the follow-up action from another ticket (INDY-366), and outlines specific requirements for the ZMQ high water mark, detection of nearing the high water mark, error reporting, logic in STP, and graceful exit if the high water mark is exceeded. It also mentions that one requirement (item 3) could be omitted. The issue seems to have all essential information needed for further development or analysis.",eff8e2eea673234b,mistral:7b,0,2026-06-17T20:31:35.213568,project_03,title_desc,incompleteness,few_shot_cot
ISSUE-206222,Errors with configs during installation,0,1,Final Answer: Yes,7997d51568d5f925,mistral:7b,0,2026-06-17T20:31:35.505213,project_03,title_desc,incompleteness,few_shot_cot
ISSUE-207211,Node crashes if out of disk space,0,1,"Final Answer: Yes

Reasoning: The issue is missing essential information such as the specific steps to reproduce the crash, the expected behavior when out of disk space, and any acceptance criteria for a solution. Additionally, it does not specify which node or application is affected, nor does it provide details about the environment in which the issue occurred.",98d7f29c46fa41fe,mistral:7b,0,2026-06-17T20:31:36.565060,project_03,title_desc,incompleteness,few_shot_cot
ISSUE-205565,Unable to choose volume type using pool automation scripts,0,1,"Final Answer: Yes

Reasoning: The issue is missing essential information such as the specific pool automation scripts causing the problem, the environment details where these scripts are being used, and acceptance criteria for what constitutes a successful resolution. Additionally, it would be helpful to know if there are any error messages or logs that can help diagnose the issue further.",21005f305c84a650,mistral:7b,0,2026-06-17T20:31:37.476301,project_03,title_desc,incompleteness,few_shot_cot
