model,strategy,model_desc,project,input_mode,accuracy,precision,recall,f1,tp,fp,tn,fn,n_evaluated
llama3.1,zero_shot,Llama 3.1 8B,project_02,title_desc,0.8172,0.0,0.0,0.0,0,17,76,0,93
llama3.1,few_shot,Llama 3.1 8B,project_02,title_desc,0.7097,0.0,0.0,0.0,0,27,66,0,93
llama3.1,cot,Llama 3.1 8B,project_02,title_desc,0.7419,0.0,0.0,0.0,0,24,69,0,93
llama3.1,few_shot_cot,Llama 3.1 8B,project_02,title_desc,0.0769,0.0,0.0,0.0,0,84,7,0,91
mistral,zero_shot,Mistral 7B Instruct v0.3,project_02,title_desc,0.5376,0.0,0.0,0.0,0,43,50,0,93
mistral,few_shot,Mistral 7B Instruct v0.3,project_02,title_desc,0.5054,0.0,0.0,0.0,0,46,47,0,93
mistral,cot,Mistral 7B Instruct v0.3,project_02,title_desc,0.4086,0.0,0.0,0.0,0,55,38,0,93
mistral,few_shot_cot,Mistral 7B Instruct v0.3,project_02,title_desc,0.3871,0.0,0.0,0.0,0,57,36,0,93
qwen2.5,zero_shot,Qwen 2.5 14B Instruct,project_02,title_desc,0.8065,0.0,0.0,0.0,0,18,75,0,93
qwen2.5,few_shot,Qwen 2.5 14B Instruct,project_02,title_desc,0.8387,0.0,0.0,0.0,0,15,78,0,93
qwen2.5,cot,Qwen 2.5 14B Instruct,project_02,title_desc,0.2473,0.0,0.0,0.0,0,70,23,0,93
qwen2.5,few_shot_cot,Qwen 2.5 14B Instruct,project_02,title_desc,0.2258,0.0,0.0,0.0,0,72,21,0,93
ensemble,zero_shot,ensemble,project_02,title_desc,0.7826,0.0,0.0,0.0,0,20,72,0,92
ensemble,few_shot,ensemble,project_02,title_desc,0.75,0.0,0.0,0.0,0,23,69,0,92
ensemble,cot,ensemble,project_02,title_desc,0.4674,0.0,0.0,0.0,0,49,43,0,92
ensemble,few_shot_cot,ensemble,project_02,title_desc,0.1304,0.0,0.0,0.0,0,80,12,0,92
