issue_id,title,description,ambiguous,incomplete
ISSUE-0001,Fix login bug #1,Users cannot log in sometimes. Please fix it.,0,0
ISSUE-0002,Update UI #2,The interface needs updating.,1,0
ISSUE-0003,Add export feature #3,We need to export data to CSV format from the reports page.,0,0
ISSUE-0004,Performance issue #4,The app is slow.,0,0
ISSUE-0005,Null pointer exception #5,NullPointerException occurs in UserService.java at line 142 when userId is null.,1,0
ISSUE-0006,Search not working #6,Search returns no results.,0,0
ISSUE-0007,Add dark mode #7,Implement dark mode toggle in settings with persistent preference via localStorage.,0,0
ISSUE-0008,Crash on startup #8,App crashes when opened.,0,0
ISSUE-0009,Email validation #9,Validate email format on registration form and show inline error messages.,1,0
ISSUE-0010,Database timeout #10,DB queries timeout after 30 seconds under heavy load with more than 500 concurrent users.,1,1
ISSUE-0011,Missing error handling #11,Handle errors properly.,0,0
ISSUE-0012,API rate limiting #12,Implement rate limiting of 100 requests per minute per API key with 429 responses.,1,1
ISSUE-0013,Button color #13,Change the button color.,1,0
ISSUE-0014,Memory leak #14,Memory usage grows unbounded in the background sync service over 24 hours.,0,1
ISSUE-0015,Update docs #15,Documentation is outdated.,0,0
ISSUE-0016,File upload fails #16,Uploading files larger than 10MB fails with a 413 error on the /upload endpoint.,1,0
ISSUE-0017,Wrong total #17,The total is wrong in the cart.,1,1
ISSUE-0018,Session expiry #18,Implement automatic session expiry after 30 minutes of inactivity with a warning dialog.,1,0
ISSUE-0019,Fix typo #19,There's a typo somewhere.,1,0
ISSUE-0020,Pagination broken #20,Pagination does not work when filter is applied on the user management table.,1,0
ISSUE-0021,Add logging #21,Add proper logging.,1,1
ISSUE-0022,Two-factor auth #22,Add TOTP-based 2FA support for admin accounts with backup codes.,0,0
ISSUE-0023,Improve something #23,Something needs to be improved.,0,0
ISSUE-0024,CSV import fails #24,Importing CSV files with special characters (commas in fields) fails silently.,1,0
ISSUE-0025,Profile page slow #25,The profile page takes 8+ seconds to load due to unoptimized image loading.,0,0
ISSUE-0026,Notifications broken #26,Push notifications are not delivered to Android devices running Android 13+.,1,1
ISSUE-0027,Timezone bug #27,Timestamps display in UTC instead of user's local timezone in the event log.,1,1
ISSUE-0028,Dropdown empty #28,Country dropdown is empty on the registration form for new users.,0,1
ISSUE-0029,Report generation #29,"The monthly report generation times out for datasets with more than 10,000 rows.",1,0
ISSUE-0030,Missing feature #30,Add the thing we discussed in the meeting.,1,0
ISSUE-0031,Concurrent edit conflict #31,Two users editing the same record simultaneously causes data loss silently.,0,0
ISSUE-0032,Wrong redirect #32,"After logout, users are redirected to dashboard instead of the login page.",0,1
ISSUE-0033,Image resize #33,"Profile images are not resized/compressed on upload, causing slow page loads.",1,1
ISSUE-0034,Filter not saving #34,Applied filters are reset when navigating back to the list view.,0,1
ISSUE-0035,Audit log missing #35,Admin actions are not being recorded in the audit log table.,0,0
ISSUE-0036,Language switch broken #36,Switching language mid-session reverts to English after page refresh.,0,1
ISSUE-0037,Role permission #37,Users with 'viewer' role can access admin endpoints via direct URL.,1,1
ISSUE-0038,Broken link #38,There is a broken link on the page.,0,0
ISSUE-0039,Chart rendering #39,Bar chart renders incorrectly when data contains negative values.,1,0
ISSUE-0040,Delete confirmation #40,Add a confirmation dialog before deleting records permanently.,1,1
ISSUE-0041,Fix login bug #41,Users cannot log in sometimes. Please fix it.,1,0
ISSUE-0042,Update UI #42,The interface needs updating.,1,0
ISSUE-0043,Add export feature #43,We need to export data to CSV format from the reports page.,0,1
ISSUE-0044,Performance issue #44,The app is slow.,1,1
ISSUE-0045,Null pointer exception #45,NullPointerException occurs in UserService.java at line 142 when userId is null.,1,0
ISSUE-0046,Search not working #46,Search returns no results.,0,1
ISSUE-0047,Add dark mode #47,Implement dark mode toggle in settings with persistent preference via localStorage.,0,0
ISSUE-0048,Crash on startup #48,App crashes when opened.,0,0
ISSUE-0049,Email validation #49,Validate email format on registration form and show inline error messages.,0,1
ISSUE-0050,Database timeout #50,DB queries timeout after 30 seconds under heavy load with more than 500 concurrent users.,0,1
ISSUE-0051,Missing error handling #51,Handle errors properly.,1,1
